lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
103485.07788085938,100364.10478210448,101218.09971618652,111419.57409667967,131095.49877929688,186020.29258728027
91825.25062561037,91435.1429901123,91123.86251831056,93741.0601348877,98953.26025390624,107346.2301940918
88384.20094299316,88317.20649719238,88069.08363342285,90706.31788635254,95040.14456176758,102746.87170410156
86974.87684631348,86393.22621154785,86017.38011169434,88492.0516204834,92328.40969848631,100027.22203063965
85346.45143127441,84603.02510070801,84423.38807678223,86845.78005981445,90364.34188842772,97681.71966552734
83951.30726623535,83209.99098205566,83008.22541809082,85210.70439147949,88851.15924072266,95552.1157836914
82763.2184753418,82197.64794921875,82022.08026123047,83671.06893920898,87348.00866699219,94020.50772094727
81815.5345916748,81054.80299377441,80977.68336486816,82632.87530517578,86036.12626647949,92455.5583190918
81053.39100646973,80081.8080444336,80172.35777282715,81491.09875488281,84921.14942932129,91223.79513549805
79947.26884460449,79197.01889038086,78960.15994262695,80405.1957244873,83842.8373413086,90158.76382446289
79218.66348266602,78500.65754699707,78109.43563842773,79506.41813659668,82783.91481018066,88983.80126953125
78424.98970031738,77518.0444946289,77102.14855957031,78432.44653320312,81702.10420227051,87946.3564453125
77716.33215332031,76519.60587310791,76418.30598449707,77852.17649841309,80931.90036010742,87074.77615356445
76974.1840057373,75752.17588806152,75676.93653869629,76801.66015625,80158.29618835449,86234.31030273438
76420.12986755371,74957.6183013916,75025.92990875244,75933.94190979004,79204.48008728027,85348.93434143066
75591.79986572266,74244.77780914307,74131.28889465332,75035.84683227539,78201.95977783203,84709.13610839844
74858.88138580322,73384.40029144287,73200.54039001465,74233.59228515625,77536.51930236816,84015.95938110352
74203.56233978271,72816.11182403564,72262.04775238037,73491.30265808105,76969.36410522461,83307.10632324219
73469.5357131958,72081.66775512695,71373.3475265503,72678.93139648438,76210.06742858887,82724.55192565918
72755.20273590088,71143.86086273193,71083.48330688477,72056.61770629883,75406.06643676758,82189.02841186523
72176.84790039062,70298.56552124023,69775.22719573975,71399.78064727783,74789.54957580566,81733.59684753418
71515.59100341797,69427.85040283203,69063.92837524414,70360.54802703857,74421.56262207031,80868.37734985352
70906.60429382324,68881.65464782715,68162.98748016357,69419.45822906494,74150.00520324707,80675.74154663086
70237.94458770752,68267.4017944336,67269.94869995117,68797.71179199219,73451.0683670044,79954.77558898926
69343.91143798828,67187.05200195312,66489.69261169434,68286.20336914062,72743.01099395752,79709.51165771484
