lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
93685.27243041992,92246.81761932372,95574.67210388184,106409.6470336914,128764.21391296388,187452.4785308838
86987.57824707031,86639.04704284668,87775.75718688965,91749.7425994873,98020.91862487792,107225.12817382812
84376.67539978027,83942.8851776123,84853.23963928223,88080.04232788086,93514.15614318848,102045.40962219238
82226.5968170166,81740.21792602539,82826.6682434082,85448.93428039551,90334.00636291504,98474.00434875488
80469.2156829834,80308.4125213623,81185.61924743652,83697.67987060547,88181.93684387207,95486.50686645508
79226.6072845459,79011.8804321289,79651.38369750977,81943.93788146973,86278.15335083008,93041.7953491211
77981.02561950684,77665.14782714844,78268.56739807129,80631.72512817383,84426.25286865234,91050.85713195801
76935.03289794922,76462.46501159668,77363.85244750977,79143.05178833008,83186.78025817871,89609.59815979004
75848.32458496094,75128.87770080566,76073.95928955078,77890.22076416016,81659.25646972656,88265.56463623047
74778.31625366211,74248.91380310059,74824.8076171875,76802.23518371582,80715.52090454102,87175.59056091309
73981.24658203125,73296.06580352783,74026.12271118164,75233.30882263184,79244.68788146973,86273.19268798828
72632.75672912598,72127.84781646729,72560.07774353027,74290.85042572021,78406.66687011719,85223.73873901367
72125.11321258545,70874.75812530518,71486.41827392578,73340.80417633057,77664.8461151123,84570.45680236816
71274.86418914795,70232.95812225342,70558.0251083374,72374.27798461914,76545.03205871582,83649.00796508789
70263.27796173096,69343.251121521,69854.09516906738,71685.81815338135,75532.85517883301,83050.55870056152
69372.22583007812,67998.14933776855,68724.6773071289,70380.87870788574,74987.72631835938,82343.94233703613
68516.8194656372,67136.11554718018,67613.34956359863,69563.49085998535,74294.79441833496,81762.11878967285
67840.53616333008,66332.84261322021,66781.44761657715,68775.98075866699,73543.99418640137,81104.77159118652
67023.1919631958,65326.25882720947,65940.23435211182,67645.3349533081,73069.30199432373,80291.91525268555
65968.09352111816,64370.28549194336,65125.26124572754,66835.81042480469,71871.43533325195,79877.86666870117
65345.158462524414,63626.89366149902,64214.10356140137,65768.9995803833,71396.95449066162,79298.93064880371
64416.544090271,62736.08142852783,63161.06283569336,65031.07991790772,70912.74287414551,78816.62780761719
63621.46656036377,61738.53789520264,62074.67958831787,64137.789894104,70264.51132202148,78423.83560180664
62752.13712310791,60525.09307098389,60806.14666748047,63083.13735198975,69900.42886352539,77781.43653869629
61952.07250213623,59978.13021087647,60116.9485244751,62234.87461090088,69143.39688873291,77463.87596130371
