"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
101822.97325134276,103862.9962310791,105019.8285522461,103554.4270324707,104197.50758361816,103712.06268310548,98899.90084838869,98913.74592590332,99965.9016418457,100084.6867980957,99213.67108154295,99690.12965393066,102827.73930358888,101700.72660827637,100770.9494781494,103587.96046447754,101881.02894592284,101406.5510559082,119919.72219848631,113082.52467346191,112870.31713867188,117827.71061706544,114797.6239013672,110991.52407836914,156998.73762512207,137120.98919677734,133592.66757202148,155410.34675598145,138959.71351623535,133531.1837158203,255215.7933654785,208126.33781433103,197644.1803283692,242479.00457763672,207439.0966796875,193162.59930419922
91190.8591156006,91229.78569030762,92115.2227935791,92350.90908813477,92093.51586914062,91970.15560913086,90211.4640197754,90582.96697998048,90886.76831054688,91025.33848571776,90682.02365112305,90858.12782287598,91545.24397277832,90778.02836608888,90803.39212036131,91719.04026794434,91363.72326660156,90901.46517944336,96462.09321594238,94676.2977142334,94214.541305542,96248.57746887208,94414.283203125,93932.1202392578,103409.25207519533,100442.12260437012,99453.29699707033,102927.03605651855,100229.44622802734,99276.99336242676,127755.20361328124,108869.34719848631,107140.12977600098,122268.62255859376,111494.84211730956,107823.75534057617
87998.54890441895,88057.40042114258,89021.50410461426,88730.9799041748,88753.28248596191,88617.07823181152,87147.36492919922,87589.72175598145,88115.10354614258,87875.71961975098,87438.48023986816,87747.09548950195,88362.82879638672,88008.32717895508,87877.42114257812,88743.53256225586,88062.99626159668,88065.53298950195,92493.8999786377,91116.61534118652,90972.11512756348,92577.25827026369,91126.12228393556,90692.25100708008,99478.97413635254,96487.8232421875,95107.79095458984,98519.17906188963,96545.09020996094,94999.80340576172,108278.00601196288,103209.46946716309,102625.878616333,107126.00834655762,104000.86424255373,103381.30987548828
85861.87098693848,85892.79026794434,86954.93118286133,86460.45088195801,87071.04809570312,86610.43687438965,85105.92387390137,85480.2924194336,85980.41139221191,85939.79893493652,85511.60145568848,85695.76065063477,86312.20303344727,85955.01522827148,85932.33505249023,86602.18600463867,86147.71746826172,86086.27680969238,90216.9429473877,88801.78833007812,88764.38182067871,90145.52381896973,88924.4165802002,88289.63465881348,96343.62268066406,93760.51309204102,92723.95848083496,95686.3066558838,93772.88398742676,92715.66345214844,104526.81327819824,100524.05877685548,99958.43395996094,103727.94464111328,101177.17547607422,100682.13565063477
84050.92002868652,84424.94462585449,85234.31106567383,84981.40435791016,84890.70506286621,85101.3765258789,83583.62478637695,83873.34715270996,84567.14233398438,84052.4437866211,83979.07803344727,84203.03071594238,84720.14010620117,84479.60917663574,84603.12940979004,85138.1516418457,84572.0345916748,84544.30596923828,88302.51249694824,86723.73274230957,86881.39790344238,88314.68962097168,87100.54489135742,86772.5220336914,93957.98336791992,91650.10983276369,90514.42405700684,93393.83346557616,91875.63415527344,90502.26109313963,102463.75148010254,98263.24459838869,97764.07991027832,101727.48532104492,99081.48782348631,98330.20219421387
82950.0666809082,83101.29833984375,84025.00506591797,83333.71876525879,83499.99055480957,83699.45803833008,82470.25643920898,82712.30075073242,82979.53276062012,82806.76635742188,82638.29942321777,83019.37265014648,83437.06072998047,83095.62495422363,83136.04174804688,83444.49252319336,83128.8309173584,83132.47009277344,86749.15348815918,85382.18194580078,85566.19731140137,86788.01809692383,85556.8992767334,85214.18913269043,91997.7797088623,89991.60078430176,89109.81172180176,91735.04168701172,90163.82350158691,88744.81454467773,100873.4826812744,96401.3865814209,95844.19760131836,99939.45715332033,97216.4588470459,96215.2359161377
81540.30535888672,81755.11424255371,82682.01531982422,82333.80380249023,82155.25813293457,82746.8695526123,81343.84280395508,81436.34382629395,81838.43533325195,81680.9274597168,81406.83465576172,81770.80780029297,81954.27047729492,81793.34950256348,81921.13926696777,82490.12532043457,81957.27809143066,82159.95748901367,85384.85054016113,83818.28286743164,83909.94541931152,85316.82386779785,84400.76196289062,83748.26786804199,90622.18200683594,88408.65217590332,87752.19970703125,90144.61120605467,88639.8065032959,87188.32333374023,99190.4045715332,94701.44259643556,94217.99487304688,98331.28273010254,95597.70161437988,94299.17446899414
80461.92906188965,80847.13037109375,81936.18450927734,81148.2053527832,81709.91435241699,81576.1083984375,80250.15786743164,80557.57824707031,80754.11437988281,80449.4404296875,80579.43301391602,80540.90518188477,80676.998046875,80707.60011291504,80806.85386657715,81279.01052856445,80936.44758605957,81051.77702331543,84123.52906799316,82753.85803222656,82733.16421508789,84220.48748779297,83070.11372375488,82642.50434875488,89115.02763366699,87280.70069885254,86420.76210021973,89182.99569702148,87316.46517944336,86104.6904296875,97582.42457580566,93479.85885620116,92570.66525268556,96811.64636230467,94021.81814575195,92870.88548278809
79686.74296569824,79871.89839172363,80951.1489868164,80357.46607971191,80481.38740539551,80730.94076538086,78953.21852111816,79489.88854980469,79960.11999511719,79319.32510375977,79707.57843017578,80043.97080993652,79959.76515197754,79715.46296691895,79955.8599395752,80252.82934570312,79755.32453918457,80025.13569641113,83150.02665710449,81618.57243347168,81723.0888671875,83024.3017578125,81880.41539001465,81500.98500061035,87985.80683898926,85969.53477478027,85357.52360534668,87667.27268981934,86086.71391296387,84851.73664855957,95921.85591125488,92173.2349395752,91370.15048217772,95398.17695617676,92734.34390258788,91553.45042419434
78503.53379821777,78978.43231201172,80163.4416809082,79214.14790344238,79340.25439453125,80028.18821716309,78432.4122467041,78288.97207641602,78886.27032470703,78587.01205444336,78589.51759338379,78813.48672485352,78677.62739562988,78767.10292053223,78965.13453674316,79537.63642883301,79007.74877929688,79201.15165710449,81989.6058807373,80531.38577270508,80683.22967529297,82098.07655334473,80866.11026000977,80450.24508666992,86836.82554626465,84746.74217224121,84135.89700317383,86555.28852844238,85072.71391296387,83671.81079101562,94829.3827972412,91199.03744506836,90265.52572631836,94316.90901184082,91587.5493774414,90447.0553894043
