"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
102831.0272064209,102684.71859741212,104562.55126953124,105017.94874572754,103962.97731018066,103769.61672973631,98606.48036193848,97442.0962677002,97923.7314453125,99385.7692565918,97817.87141418456,97493.51527404784,101537.31665039062,100152.7946472168,98793.44575500488,101341.87084960938,99584.58436584473,99706.49057006836,111810.67924499512,107742.71110534668,107268.53369140624,112258.20179748537,109665.55844116212,107701.51460266112,138257.05545043945,125777.1105041504,125788.85958862305,140609.68005371094,125535.5765991211,125714.13313293456,225945.2972412109,198373.46142578125,178595.38441467285,229945.14973449707,196354.39558410645,180379.7238922119
92387.31407165527,94858.29866027832,93636.1459197998,93001.85446166992,93142.62092590332,91605.18815612792,91716.18203735352,91048.41604614258,91242.55403137208,91738.0440979004,91508.05044555664,91731.51856994627,92794.89184570312,91488.03025817873,91954.34170532228,92865.12983703612,91638.3365020752,91096.80024719238,95151.939163208,89830.42739868164,92872.38905334473,94733.8976135254,94825.94219970705,91156.50018310548,94879.03160095216,94228.30123901369,98436.51382446288,98087.26400756836,94127.98083496094,97489.97518920898,110815.66195678712,103472.30014038086,97676.03356933594,114645.33320617676,104179.88160705566,99091.27520751953
87997.93816375732,91525.3772277832,90373.86129760742,89139.66903686523,89493.60859680176,88069.49034118652,88468.59703063965,88446.90692138672,85758.12316894531,88736.19387817383,87164.73023986816,88652.58393859863,89720.98345947266,88434.8233795166,88990.03074645996,89606.62518310547,88688.43229675293,88439.40524291992,91748.93013000488,82177.64619445801,88301.92016601562,90771.57647705078,91361.72799682616,84991.01142883301,90053.61933898926,89084.15672302246,94576.65643310548,94219.06163024902,88341.3053894043,93191.55946350098,98370.60934448242,97070.58299255373,92055.26858520508,101645.2968902588,98691.16061401369,93340.82249450684
88677.96411132812,88953.44592285156,88799.94995117188,83227.45838928223,90179.53968811037,87755.89147949219,86202.7173461914,84230.09133911133,78508.4822769165,87080.75231933594,82475.63667297363,84004.34634399414,87249.99877929688,86550.90280151367,86346.74389648438,87662.02630615234,86674.60768127441,85777.62330627441,89425.08618164062,75248.24407196045,83963.2993774414,86769.87203979492,88696.73377990723,79421.64482116699,85979.0938873291,85113.02128601074,92023.2433013916,90851.25302124023,83535.36282348633,89366.68865966797,94902.8063812256,95077.74531555176,89209.56094360352,97585.53677368164,96239.08346557616,89568.5866394043
87202.35943603516,87511.19973754883,87481.83270263672,84374.39459228516,89441.53852844238,84275.62406921387,84664.09376525879,78165.5545501709,79442.91063690186,85613.50718688965,78186.6869430542,86194.07790374756,85631.87042236328,84963.36572265625,84692.90409851074,85766.10165405273,85346.20100402832,83981.18440246582,87687.11363220215,70400.37314605713,78337.77146911621,83198.89204406738,87153.97639465332,74283.8104019165,82517.58241271973,81500.30648803711,90008.67149353027,87827.18815612793,79110.23942565918,85216.95114135742,93902.92123413086,92737.8298187256,86420.19578552246,95483.85078430176,93543.8476409912,86223.33044433594
85990.53170776367,86288.21894836426,86804.78051757812,82911.23742675781,87736.7505645752,81083.14798736572,83617.09951782227,76393.34901428223,76975.16540527344,85231.72239685059,72331.9871673584,85116.79118347168,84195.26852416992,83608.17308044434,84228.95336914062,84412.83045959473,83973.04585266113,80996.09954833984,85982.87718200684,66512.43369293213,72531.84628295898,79746.50653076172,85399.79606628418,69240.21402740479,79406.42852783203,78200.43473052979,88323.46499633789,85066.3923034668,75479.40077209473,81475.87185668945,93905.38412475586,90545.25289916992,84669.77465820312,93693.77613830566,90843.65713500977,83534.77476501465
84937.69276428223,85013.75709533691,85562.37825012207,79412.67651367188,87054.6068725586,73193.84313201904,82412.53125,68970.61669158936,74362.16411590576,82965.40426635742,69375.29797363281,84247.57350158691,83168.20123291016,82378.6039276123,82654.35827636719,83547.90753173828,83103.4259185791,71640.3595123291,84872.37785339355,62499.39543151856,65980.2133026123,76732.52480316162,84098.40245056152,65635.43072509766,76680.15799713135,74834.14654541016,86558.84976196289,82679.97248840332,72333.06826782227,78018.549659729,92502.37637329102,88183.35038757324,81450.59642028809,91967.86447143556,88863.4144744873,80973.7331237793
83923.43646240234,83870.10713195801,84581.33099365234,77689.60469818115,85714.0598449707,63757.75671386719,81843.60545349121,86950.96683502197,67057.72543334961,82199.73614501953,60478.332359313965,82693.15507507324,82077.51364135742,81562.11462402344,81599.20471191406,81932.01113891602,82291.9447631836,63547.771743774414,83481.52275085449,60531.27579498291,63031.87782287598,73535.29754638672,82785.31471252441,61715.53702545166,73950.42659759521,72205.02828979492,85539.91987609863,80477.49629211426,69367.85313415527,74757.54956817627,90949.89572143556,86368.8599243164,79947.09028625488,90132.87908935548,86725.35307312012,78889.09606933594
83360.60655212402,83078.58403015137,85220.42658996582,72542.6180267334,85268.67456054688,59787.48472595215,80896.55674743652,83327.64317321777,65658.53044891357,81392.0408782959,55673.99778747559,82742.69067382812,81186.48309326172,80466.02304077148,80654.08711242676,80993.72009277344,81308.93229675293,58681.8263092041,81985.79527282715,55722.784240722656,58925.88967132568,69434.14387512207,81171.30615234375,59813.97540283203,71725.81072235107,68935.64549255371,84201.07652282715,78092.6935043335,67911.67743682861,71490.75754547119,89938.12998962402,84478.6770324707,76867.90643310547,88701.45411682129,84648.11943054199,76811.47798156738
82481.96208190918,82375.96830749512,83115.314453125,62692.62781524658,84072.44427490234,58842.93103790283,80011.44929504395,82129.94120788574,57989.330825805664,80715.77217102051,54010.6018447876,81468.59410095215,80460.19813537598,79768.51011657715,80079.56153869629,79963.27639770508,80317.72093200684,55838.35062408447,80355.97196960449,52582.60689544678,54876.156326293945,66045.94487762451,79230.6664428711,56692.97658538818,69673.16333770752,67206.98540496826,83157.42655944824,76066.01165771484,64680.54207611084,68207.34474945068,88248.41543579102,82738.271484375,75113.09676361084,87320.48736572266,83071.12048339844,75061.44021606445
