"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
153450.2716064453,141207.08984375,138515.133102417,158217.67013549805,139920.16778564453,139049.13360595703,137189.77836608887,130016.68260192873,135957.2586517334,134922.93090820312,129137.982711792,132728.24906921387,114924.84530639648,113026.8454284668,111149.57342529295,117208.05741882324,112573.61643981934,112247.2100830078,112262.27618408205,109258.6333770752,107403.18681335448,112994.77156066896,108745.36465454102,107534.86407470705,119819.08549499512,115683.87635803224,112591.80404663086,120480.67956542967,115334.72596740724,112298.5097808838,165817.5026397705,147553.0251312256,142812.5108795166,162148.18968200684,148836.57112121582,141204.5002593994
131987.21784973145,113174.06274414062,110740.51399230956,123355.25062561037,115608.79508972168,123915.44519042967,107763.29446411131,101163.9550933838,108809.14672851562,103444.51989746094,101015.77377319336,105383.97518920898,98915.08403015137,98090.8761138916,96546.3960723877,100163.22212219238,98679.32315063477,97208.10693359376,99856.28419494627,98640.23609924316,97592.10356140137,99637.34126281738,98131.81202697754,97874.4835205078,101947.94416809082,99557.06051635742,99558.23815917967,101521.41734313963,100613.08164978027,98648.43180847168,109386.81385803224,104798.40272521973,103826.49348449708,108287.45707702637,104193.56803894044,103060.34350585938
106824.79536437988,104097.5364074707,105297.73184204102,99413.8482055664,102070.16410827637,101175.04147338869,96038.94178771973,92819.33335876463,94074.8371887207,96559.67974853516,94637.81884765624,95169.26187133788,94759.57299804688,92999.1502532959,94002.7550048828,95056.88716125488,92281.70401000977,91016.37600708008,96382.8959197998,94943.65238952637,95474.97721862792,97235.17320251463,94944.30337524414,94882.4179840088,99181.7755279541,97459.462890625,97495.32307434082,98824.3510131836,98469.25291442873,96003.36064147948,103542.65600585938,100894.35522460938,100373.35118103027,103198.18984985352,100284.78549194336,99477.95442199707
97845.07843017578,100802.3610534668,95884.47480773926,97329.01237487792,99687.1032562256,98454.37992858888,89935.81489562988,89057.63887023926,90112.894821167,89566.97828674316,89880.92938232422,89568.13148498535,90704.30558776855,89210.42381286621,89321.71762084961,90848.28782653809,89668.90818786621,88869.16246032715,94285.61572265624,92608.98789978027,91104.39460754396,95609.35862731934,92190.81468200684,91810.0284729004,97568.04928588869,95317.82485961914,94986.56294250488,97390.12840270996,96472.90559387208,94156.09889221191,101310.62727355956,99046.37925720216,98571.59780883788,100968.62818908691,98676.71365356444,97959.45651245117
93173.0053100586,96491.68019104004,94690.1616821289,92152.92556762695,94614.52284240724,97033.82397460938,87973.3828125,86879.43812561035,87957.59930419922,87078.94720458984,86947.49435424805,87304.15803527832,87587.73023986816,87944.56517028809,86801.85920715332,89426.42962646484,87439.46966552734,89062.34303283691,93673.49423217772,90718.32179260254,90508.2432861328,92680.46159362792,90668.6098022461,90586.20948791504,96006.53442382812,94084.05659484863,93672.03634643556,95592.5186767578,94954.43589782716,93652.43370056152,99913.03109741212,97829.49029541016,97347.89067077637,99590.667678833,97546.73506164552,96878.15518188477
91478.0635986328,93932.03630065918,94936.43014526369,88677.24278259277,90121.23701477052,92876.79153442384,85027.28373718262,84622.55938720703,86015.06159973145,84790.3953704834,84998.08869934082,94259.57850646973,86590.44480895996,85799.59797668457,85554.52198791504,87414.12605285645,85551.21873474121,85242.57386779785,91502.19038391112,89976.29612731934,88590.99024963379,91122.99789428712,90321.79357910156,88922.1611328125,95428.42309570312,93084.73254394533,92520.50329589844,94968.45066833496,93522.98681640624,92585.31985473631,98980.74928283691,97161.22816467284,96387.37356567384,98801.75471496582,96696.6914215088,95966.52250671387
89968.45698547363,91050.2105255127,89263.25379943848,87798.02201843262,89757.85475158691,91061.48077392578,82973.1888885498,83749.70196533203,84283.37872314453,83023.9006652832,83800.2719116211,87306.02687072754,85177.76808166504,83918.40460205078,83984.5922241211,86145.97659301758,85510.82781982422,84482.81135559082,90322.39260864258,88795.32377624512,87661.36918640137,90227.90278625488,88334.64781188965,87741.15731811523,94043.55854797363,91956.03779602052,91713.36711120604,94600.31768798828,92658.84954833984,91281.65713500977,98013.9941558838,96293.91242980956,95921.31910705566,98212.8281097412,95824.52671813963,95156.2149810791
85789.54011535645,89039.57136535645,88288.99154663086,87267.0193939209,87698.33532714844,89963.8853149414,80689.49504089355,80941.89367675781,82666.85173034668,81731.8480682373,82105.5207824707,84756.58708190918,83795.86572265625,83067.45036315918,82643.48626708984,84625.88075256348,83008.60054016113,82608.44619750977,88815.33573913574,87444.26223754883,87089.00947570801,90406.12200927734,87488.48561096191,86615.56579589844,93506.83569335938,91343.7929840088,90912.29258728027,93255.8046875,91810.7452697754,90731.80688476562,97573.5591430664,95620.63928222656,94943.39735412598,97501.72789001463,95417.94619750977,94399.4390411377
85016.65965270996,86764.43821716309,85970.77046203613,86293.44815063477,86091.05729675293,89502.10401916504,78990.38319396973,79945.2103881836,81615.96594238281,79983.70422363281,80734.95866394043,83775.05624389648,82745.47085571289,81884.96737670898,81269.83879089355,84139.65704345703,82701.45901489258,81100.96690368652,87661.42289733887,86742.7333984375,86500.7933807373,88672.01834106445,86536.68724060059,86502.95959472656,92745.27267456056,90697.92111206056,89972.69738769531,92415.67738342284,91238.38671875,90606.9582824707,96911.90577697754,95271.2487487793,94240.61338806152,96989.45069885254,94754.99055480956,93912.27967834473
82875.9838256836,85524.93617248535,84091.92890930176,83520.48553466797,85416.67723083496,87576.64646911621,77065.28481292725,77596.57661437988,80357.6431274414,78341.87675476074,79076.17575073242,82308.59078979492,81314.49603271484,80930.02645874023,80754.71876525879,82238.71081542969,80824.98710632324,80139.77284240723,87328.84690856934,85880.21350097656,84696.2405090332,87416.21632385254,85680.06491088867,85074.78578186035,92034.96716308594,90341.69256591795,89277.60052490234,91972.51686096191,90290.73776245116,90126.880859375,96173.9340057373,94743.48559570312,93900.52976989746,96414.11820983888,94384.69110107422,93406.24583435059
