"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
160831.67944335938,155449.02658081055,142674.2155303955,164382.1654510498,150054.2822418213,144368.47047424316,150414.7599182129,152687.72428894043,146739.04824829102,164770.62825012207,141760.3440093994,143448.5976409912,125235.60234069824,117568.86422729492,115927.92953491212,124701.09182739258,120279.60594177246,116204.76187133788,121355.24700927734,115263.48527526855,114110.37396240234,122335.47956848145,116694.49398803712,113340.66897583008,130227.63491821288,120746.76919555664,117129.22135925292,126929.30418395996,120246.849319458,117232.9284362793,177867.55528259277,153267.59211730957,148381.95175170898,177275.0259552002,158722.17581176758,146735.62661743164
102814.2515411377,106291.52714538574,102399.5128173828,105043.59725952148,104720.41929626463,104699.18682861328,102292.44972229004,100050.78427124023,97464.8770904541,103930.40576171876,97769.9599609375,97490.84228515624,98724.73710632324,96312.17440795898,95401.08782958984,98824.59880065918,96624.30143737792,95159.38887023926,100588.59072875977,98571.87016296388,97769.00469970705,100700.29718017578,98828.28987121582,97288.83729553224,101017.4873046875,99275.69012451172,98500.99559020996,101181.47312927246,99279.48788452148,98613.60234069824,111416.15092468262,105881.43058776855,104441.63653564452,112128.20429992676,106769.51097106934,104185.86033630371
97215.31385803224,99956.64804077148,96988.82708740234,99456.0399169922,99939.8754272461,100049.033493042,95096.97407531738,93493.3624572754,91698.00105285645,96504.40913391112,93406.00315856934,92325.2347869873,94786.82559204102,92559.8956451416,92121.18417358398,95434.3643951416,92600.61920166016,91770.21542358398,97479.30004882812,95029.96995544434,94284.11392211914,96741.76080322266,95002.0005645752,94191.40002441406,98372.5493774414,96745.75689697266,96035.6605682373,98389.72659301758,96752.13055419922,96197.6939239502,105017.43756103516,101332.9722442627,100624.5862121582,104167.78063964844,100959.36770629884,100534.4722442627
94423.35537719728,96247.92866516112,94277.55258178712,96386.55995178224,96388.43405151369,97033.23445129396,91764.2760925293,90666.55165100098,89375.16471862793,93248.31002807616,91159.2883605957,90026.91793823242,92497.5401916504,90393.30227661131,89904.94694519043,92498.87535095216,90917.92840576172,89644.37182617188,94895.86627197266,92672.08798217772,92315.81512451172,94925.59251403809,93452.2248687744,92241.36698913574,96332.21530151369,94976.93550109863,94572.97790527344,96596.73057556152,94586.40826416016,94446.25062561037,102228.5334625244,99259.896774292,98456.48042297363,101564.89164733888,98771.67979431152,98598.67533874512
92494.51908874512,93809.7412109375,92407.95503234863,94652.82713317873,94476.05422973631,95061.07453918456,90686.94520568848,89018.32215881348,87609.81796264648,90741.70635986328,89597.66986083984,88263.4561920166,90574.90892028809,89190.81777954102,88156.51550292969,91045.69857788086,88825.66172790527,88318.99580383301,93414.21072387695,91516.624710083,90893.7751312256,93004.99029541016,91838.2235107422,90854.65754699708,95195.84616088869,93961.07452392578,93300.15788269044,95534.0492401123,93860.45559692384,93397.81674194336,100502.0466156006,98105.22332763672,97233.47198486328,100059.45887756348,97547.3482055664,97196.72129821777
90899.20065307616,92207.4333343506,90559.25466918944,92620.03479003906,92769.62153625488,93246.17637634276,88989.7181854248,87610.57113647461,86305.2233581543,89379.86431884766,88204.48825073242,87508.88134765625,89384.73051452637,87811.05278015137,87043.29336547852,89634.41636657715,87859.30073547363,87044.14144897461,92192.7906036377,90191.53186035156,89914.96131896973,92003.36094665527,90551.40130615234,89658.93829345703,94236.08917236328,92890.69689941406,92468.99530029295,94538.63217163086,92805.63122558594,92188.0820465088,99385.24085998537,97069.34773254396,96211.43464660645,98881.46882629396,96380.37199401855,96365.94946289062
90052.26254272461,90717.83020019533,89356.97164916992,91383.29766845705,91451.269821167,92084.19483947754,87814.55223083496,86539.58949279785,85297.16368103027,88196.94786071777,87200.17782592773,85855.32641601562,88540.21533203125,86677.62573242188,86022.29856872559,88870.96435546875,86571.03443908691,85882.04475402832,91205.32501220705,89434.92887878418,88718.31309509277,91185.19157409668,89426.3500366211,88697.30209350586,93358.82705688477,92014.68130493164,91562.59797668456,93800.02587890624,91723.48977661131,91429.68399047852,98476.13194274902,96215.21502685548,95124.21640014648,97904.69454956056,95644.01461791992,95494.89283752441
89029.93312072754,89730.93687438965,88404.91465759277,90441.90759277344,90684.37178039552,91119.45526123048,87213.77514648438,85582.70753479004,84358.48109436035,87371.50994873047,85997.84989929199,84897.32662963867,87689.12489318848,85578.78169250488,84942.6332244873,87667.48080444336,85822.04817199707,85239.75848388672,90228.9255218506,88560.57241821289,87875.50399780273,90251.18539428712,88644.77844238281,87857.7007446289,92649.4889831543,91411.31048583984,90938.91390991212,92766.26417541504,91260.96022033691,90603.77696228027,97786.84190368652,95559.22193908691,94695.2444000244,97256.1964416504,94847.26475524902,94919.30838012695
87866.98733520508,89124.62313842773,87306.26622009277,89595.97129821777,89611.75477600098,90239.34344482422,86176.9478149414,84504.69287109375,83225.63288879395,86885.23780822754,85162.91535949707,83984.38545227051,86768.5890045166,84788.63990783691,84273.3823852539,86684.03535461426,85042.66091918945,83990.54409790039,89825.98086547852,87896.95832824707,87113.77479553223,89664.73077392578,88007.36108398438,87318.68516540527,92113.289352417,90675.49421691896,89998.2208404541,92249.06484985352,90463.74034118652,90112.49725341795,97157.68821716309,94955.7726135254,93911.89192199708,96631.52954101562,94196.06663513184,94039.22888183594
87055.30815124512,87941.02354431152,86316.43768310547,88729.36016845703,88920.21098327637,89449.22772216797,85011.01406860352,84043.26258850098,82937.19592285156,85426.64837646484,84136.2230834961,83248.0941619873,85888.5774230957,84108.57279968262,83379.96571350098,86072.86599731445,84160.21228027344,83382.4913482666,88803.61253356934,87182.74746704102,86375.05250549316,88944.58595275879,87338.07913208008,86402.47190856934,91526.2869720459,89948.7398223877,89415.99438476562,92043.10354614258,89871.73332214355,89184.40071105957,96533.3080444336,94368.54107666016,93306.05683898926,95988.50343322754,93728.8934173584,93601.94136047363
