"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
153998.9239654541,136535.54330444336,139508.89866638184,146627.45556640625,131181.99949645996,142441.19917297363,116062.97779846191,124724.24165344238,116407.67593383788,119791.77674865724,121661.25482177734,119158.68772888184,111166.30326843262,107628.87683105467,105911.76486206056,110747.74572753906,108031.7066192627,106212.98071289062,111221.12251281738,107613.2289428711,106083.0775756836,110771.76037597656,107437.9602355957,106432.28547668456,129215.68533325195,118346.39280700684,116728.1849822998,129062.08256530762,119011.12384033205,116301.45527648926,178130.66049194336,159036.56538391113,149882.2967376709,177375.5527496338,158184.9652709961,151999.3681640625
102577.37562561037,97977.23034667967,98955.70300292967,97686.34225463869,98369.83840942384,99561.8222503662,94386.68031311037,96536.63316345216,93670.40432739258,94889.97695922852,94370.59202575684,94716.20823669434,95583.46165466309,94457.59086608888,93652.41114807127,96042.32743835448,94756.923828125,93506.39717102052,97280.28031921388,95979.96350097656,95172.90771484376,97668.13163757324,96015.25538635254,95530.81130981444,100384.5115814209,98087.99032592772,97866.23452758788,100550.51171875,98423.10122680664,97217.26023864746,113315.31022644044,107134.65084838869,104416.81059265137,111531.24784851074,106511.75961303712,104508.71466064453
97145.25730895996,93654.27250671388,94814.91203308104,94038.2670135498,94279.701461792,95203.83554077148,90998.58319091795,91310.49111938477,89685.21508789062,91502.10093688963,90544.927734375,90552.39930725098,92547.20973205566,91551.61926269533,90876.28977966309,93026.4761505127,91643.75659179688,90738.04667663574,94309.6595916748,93399.67765808104,92702.87948608398,95002.81916809082,93623.63583374023,92659.79049682616,97731.51098632812,95560.23442077637,95587.4814453125,97753.72723388672,96035.0933227539,94761.8660583496,105266.63388061523,101978.2752532959,100295.72360229492,105257.52864074708,101222.92488098145,100229.98654174805
93718.2667541504,91573.1156616211,92267.30940246582,91523.50756835938,91875.23274230956,92617.76489257812,89076.41105651855,88201.97085571289,87705.50285339355,89663.1413269043,88260.82678222656,88200.8324584961,90752.01901245116,89557.36227416992,88864.4376373291,90841.7010345459,89773.33865356445,88908.7794342041,92981.99668884276,91835.28507995604,91156.63809204102,93326.22624206544,91843.61851501463,91250.26817321776,95917.89888000488,94172.85580444336,93791.230178833,96038.59176635742,94328.1654510498,93369.09675598145,102496.06146240234,99956.24800109863,98244.994140625,102520.45971679688,99071.05242919922,98486.92463684082
91635.00273132324,89905.52925109863,90339.31838989258,90181.64747619627,90075.05766296388,90938.6736907959,87563.39501953125,86573.12274169922,86057.63804626465,88126.48034667969,86894.48341369629,86592.552734375,89170.93081665039,88120.26007080078,87406.79051208496,89373.17623901367,88238.16764831543,87301.58018493652,91589.32118225098,90619.35055541992,89841.84535217285,91936.30569458008,90783.89302062988,89692.7640991211,94684.92938232422,92870.05877685548,92510.5237121582,94696.2081298828,93191.4648590088,92291.55429077148,100627.25553894044,98541.8235168457,97056.79473876952,100181.435836792,97874.48196411131,97237.6513671875
89992.8857421875,88563.41387939453,89224.68118286133,88649.48031616211,88785.49230957031,89576.03848266602,86206.76493835449,84870.18200683594,84965.18389892578,86825.73348999023,85589.68925476074,85059.42115783691,88021.22640991211,87139.75881958008,86188.04585266113,88180.95846557617,87200.69151306152,86144.48023986816,90332.0297088623,89425.08020019531,88657.11360168457,91057.57234191896,89790.92738342285,88663.50166320801,93789.2631072998,91869.24774169922,91743.50621032716,93758.40869140624,92219.20500183104,91329.41677856444,99358.10037231444,97379.0627593994,95980.52072143556,98701.66218566896,96902.63821411131,96063.3998413086
88653.41186523438,87575.82341003418,87844.18850708008,87132.65348815918,87875.38925170898,88289.67890930176,85434.79086303711,84085.61688232422,83894.13363647461,85670.7728729248,84393.55740356445,84174.11474609375,87216.87475585938,85987.81332397461,85217.15859985352,87321.66778564453,86066.3528137207,85127.6301574707,89553.50509643555,88675.5767364502,88037.95182800293,89940.84896850586,88601.7721862793,87729.16567993164,92867.30953979492,91179.0132446289,90766.00401306152,92946.68159484863,91350.46072387695,90435.69937133788,98407.81541442873,96579.34294128418,94985.8169555664,98076.44610595705,95966.49256896973,95308.591796875
87707.5661315918,86543.91069030762,87184.87232971191,86038.5870513916,86855.9197845459,87395.94180297852,84131.8018951416,83216.54954528809,83052.66038513184,84655.70785522461,83349.65341186523,83143.3744354248,86258.20568847656,85155.8157043457,84524.84407043457,86564.68203735352,85164.25465393066,84124.08592224121,88709.2798461914,87653.86476135254,87071.98709106445,89332.39033508301,87755.99560546875,87003.26425170898,92255.68615722656,90485.9587097168,90114.08840942384,92232.80264282228,90577.3088531494,89700.46086120605,97819.07955932616,95760.90635681152,94288.43064880373,97082.08218383788,95169.12396240234,94695.40222167969
86806.29345703125,85670.42079162598,85917.09576416016,85027.94715881348,85924.60940551758,86262.05537414551,83521.1724395752,82245.41708374023,82139.111328125,83704.7456665039,82689.9518737793,82178.26440429688,85465.83413696289,84395.12852478027,83584.6706237793,85480.34677124023,84222.20223999023,83327.42956542969,88237.43360900879,87157.6808013916,86359.13815307617,88511.40135192871,87076.41482543945,86055.76815795898,91829.5258026123,89536.7548828125,89421.77285766602,91617.09085083008,90204.06176757812,89155.38385009766,96942.20025634766,95371.28968811037,93688.10223388672,96504.36766052246,94452.55841064452,93872.1312866211
85995.84439086914,84709.99896240234,85149.41500854492,84345.92724609375,85046.8575592041,85787.17742919922,82834.31448364258,81461.48881530762,81296.85305786133,82943.73570251465,81650.3514251709,81220.9672088623,84541.18606567383,83533.12879943848,82743.02990722656,85043.58697509766,83578.22479248047,82630.04159545898,87330.93008422852,86390.94645690918,85757.57690429688,87794.75718688965,86390.32049560547,85599.97242736816,91078.15023803712,89217.96836853027,88699.15246582031,91159.47528076172,89532.65686035156,88492.43435668945,96438.2020263672,94615.09326171876,93142.36573791504,95891.96357727052,94012.70948791504,93513.35922241211
85192.68605041504,84050.69165039062,84268.34101867676,83628.76704406738,84160.34251403809,84973.30749511719,81846.56079101562,80790.45185852051,80280.2042388916,82169.51126098633,81088.03108215332,80749.23251342773,83790.24006652832,82541.1178894043,82008.25144958496,84080.90324401855,82626.79238891602,81769.27032470703,86910.47640991211,85911.71514892578,85211.77474975586,87199.42558288574,85655.2540435791,84963.75923156738,90485.89859008788,88850.4716796875,88126.12698364258,90567.91886901855,88943.61752319336,87932.38636779785,95839.988571167,94311.93493652344,92853.23625183104,95424.53009033205,93430.13920593262,92776.52656555176
84288.76448059082,82912.35572814941,83600.55688476562,83107.13101196289,83310.89549255371,84338.06234741211,81049.20146179199,79784.67102050781,79860.58975219727,81620.50244140625,80349.05596923828,79993.646484375,83323.99806213379,82313.40252685547,81229.47296142578,83343.73379516602,82064.51588439941,81136.32666015625,86066.52909851074,85299.9105834961,84416.89845275879,86750.47886657715,85277.41993713379,84395.88465881348,90291.43222045898,88196.16094970703,87855.60043334961,90031.67381286621,88410.22918701172,87320.48825073242,95313.35942077637,93676.11808776855,92418.32554626463,94834.14678955078,93094.47296142578,92379.90626525879
83551.61996459961,82422.7986907959,82983.6759185791,82418.95281982422,82567.32569885254,83594.48791503906,80557.54582214355,79282.55653381348,78955.03295898438,80847.24926757812,79525.36749267578,79120.88395690918,82556.90702819824,81594.2788848877,80799.64971923828,83038.9552154541,81439.47874450684,80364.47555541992,85917.06283569336,84516.47842407227,83877.63191223145,86246.08628845215,84461.91226196289,83557.26013183594,89635.55389404297,87476.5200958252,87358.37783813477,89660.6721496582,87885.05519104004,86955.00028991699,94857.73928833008,93437.47958374023,92032.43267822266,94646.14559936523,92514.52247619627,92026.77282714844
82662.99057006836,81716.35726928711,82329.9790802002,81685.28092956543,81903.27436828613,82617.18341064453,79722.91409301758,78512.30358886719,78247.30094909668,80233.70048522949,78729.45468139648,78257.36833190918,81839.4301147461,80821.22138977051,80027.77696228027,82197.56356811523,80664.47929382324,79836.11735534668,85153.56602478027,84158.44306945801,83259.48321533203,85772.43232727051,84128.00888061523,83193.46073913574,89171.1468963623,87575.16329956055,86658.44923400879,89162.51889038086,87513.47108459473,86345.1192779541,94551.1231842041,92871.28285217284,91427.95207214355,94183.08152770996,92177.41361999512,91809.50869750977
82161.51644897461,81019.18270874023,81641.93725585938,80946.38999938965,81499.19984436035,82404.61643981934,79105.07400512695,77948.2407989502,77716.04820251465,79470.04821777344,78313.23558044434,77456.14796447754,81255.97912597656,80448.16606140137,79435.98287963867,81682.64822387695,80004.02565002441,79162.4430847168,84687.07749938965,83594.60710144043,82856.8137512207,85441.89385986328,83550.87333679199,82625.95294189453,88804.5107421875,86945.54888916016,86505.61709594727,88829.80516052246,87020.61854553223,85952.50592041016,94321.60792541504,92440.88076782228,91000.91790771484,93755.47938537598,91828.06875610352,91208.73022460938
