lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
144978.1847076416,140131.23348999023,113569.02401733398,113441.50106811523,116409.51168823242,141707.73307800293
105605.13012695312,96324.9702911377,95050.15670776369,97154.00393676758,98571.6693725586,102195.05570983887
99722.23257446288,92336.16680908205,91612.44436645508,94050.02366638184,95726.97023010254,99101.69944763184
96344.05397033691,89761.3678894043,89621.38290405273,92078.32443237305,93963.8013305664,97277.66087341309
94461.10688781738,88219.42280578613,87976.89637756348,90487.18002319336,92720.76473999023,96119.16612243652
92735.78164672852,87103.71067810059,86755.66535949707,89350.04174804688,91403.58609008788,95104.98512268066
91540.15335083008,85734.15579223633,85583.43478393555,88382.91023254395,90658.25106811523,94317.05665588379
90260.72328186037,84881.40907287598,84746.25483703613,87500.40829467773,89965.70401000977,93786.91081237793
89407.37956237793,83769.08711242676,83891.70875549316,86930.52297973633,89362.69303894043,93228.10963439941
88507.14010620117,82497.82275390625,83095.81211853027,85997.38751220703,88756.51675415039,92529.16201782227
87958.40579223633,81972.76676940918,82328.21627807617,85173.80015563965,87997.33892822266,92159.31532287598
87203.0354309082,81275.4129486084,81666.02568054199,84742.16445922852,87585.9168548584,91643.96244812012
86461.83711242676,80542.53114318848,80654.10998535156,84149.64468383789,86990.19786071777,91248.17213439941
86162.59803771973,80093.57106018066,80209.38273620605,83640.4828338623,86455.94050598145,91096.63813781738
85219.96615600586,79258.76802062988,79775.23846435547,83160.11892700195,86150.51368713379,90611.1661529541
84888.54100036621,78514.55267333984,79127.1516418457,82557.71418762207,85643.62762451172,90244.44351196289
84272.59884643555,78095.3175201416,78496.79252624512,82227.36030578613,85100.27912902832,90016.15310668945
83656.91021728516,77397.7861328125,77938.24743652344,81556.70349121094,84979.21101379395,89673.1181640625
83102.11544799805,76901.89164733887,77528.27177429199,81033.66679382324,84553.31562805176,89252.86282348633
82579.68048095703,76096.35278320312,77074.76710510254,80663.18473815918,84206.46556091309,88914.62451171875
82191.5834350586,75685.93688964844,76413.74919128418,80163.43658447266,83837.37840270996,88783.86912536621
81785.99488830566,75374.42611694336,76108.29824066162,79741.74697875977,83501.01565551758,88549.79180908203
81149.4567565918,74548.45458984375,75585.3717956543,79392.03273010254,83097.57955932617,88184.28930664062
81020.88990783691,74124.78639221191,75120.81882476807,79040.32902526855,82858.8897857666,87998.55122375488
80218.43598937988,73546.5696105957,74632.4366531372,78766.35055541992,82334.92260742188,87632.86340332031
