lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
143014.56497192383,117686.29032897948,105667.3477935791,105835.98765563963,115008.83209228516,147064.28916931152
98777.0473022461,94283.87425231934,93336.24194335938,95528.04455566406,96972.84407043456,103053.46122741699
94503.42320251463,90519.96867370604,90312.26191711426,92654.640625,94868.81492614746,99247.94761657715
92285.79525756836,87818.07731628418,88588.00068664551,90987.06942749023,93141.32189941406,97181.30247497559
90795.77786254884,86314.4529876709,87308.6056060791,89547.37538146973,91893.673538208,96007.2780456543
89429.45108032227,85054.09519958496,85961.08383178711,88613.56428527832,91003.07376098631,95034.26193237305
88498.69203186035,84116.46505737305,85019.35087585449,87588.29936218262,90147.77198791504,94077.0558013916
87574.57144165039,82790.88366699219,84026.68870544434,86633.49797058105,89449.03735351562,93640.69519042969
86761.87158203125,81913.94905090332,83254.22961425781,86148.23011779785,88882.83457946777,93040.50067138672
85964.8980255127,81113.81285095215,82323.6251373291,85241.40768432617,88008.0408782959,92336.89358520508
85093.66946411133,80466.19177246094,81605.48196411133,84682.18388366699,87571.86373901367,92011.9496307373
84767.27143859863,79997.24639892578,81095.43576049805,84037.01022338867,87218.18560791016,91537.50579833984
84023.71655273438,79167.79978942871,80322.71801757812,83360.75511169434,86612.0990600586,91055.53393554688
83250.42024230957,78007.69189453125,79463.84303283691,82870.07550048828,86160.33462524414,90744.19816589355
82854.01399230957,77661.31223297119,79014.73432922363,82046.73500061035,85698.68589782715,90315.13201904297
82113.95985412598,76830.515625,78553.8031463623,81701.76736450195,85098.13563537598,90160.34939575195
81945.16409301758,76484.7221069336,77936.74256896973,81196.43196105957,84879.83096313477,89811.25952148438
81029.04112243652,75625.71369934082,77115.19888305664,80745.5573425293,84232.39289855957,89270.61251831055
80538.62463378906,75348.91156768799,76795.22756195068,80410.43894958496,84206.9819946289,89058.58531188965
80250.03858947754,74724.27629852295,76016.51664733887,80040.51126098633,83564.81481933594,88780.56787109375
79428.32817077637,74395.89891052246,75759.63053131104,79460.00552368164,83153.5016784668,88666.83122253418
79313.04550170898,73776.91204833984,75162.35949707031,79172.49545288086,82822.38018798828,88390.4471282959
78773.80096435547,73135.05801391602,74688.70617675781,78565.05001831055,82338.94998168945,88260.17889404297
78442.91149139404,72600.32168579102,74173.08164978027,78287.57249450684,81968.4917755127,87960.66918945312
78106.48263549805,71905.68793487549,73679.62438964844,78060.37690734863,81736.01982116699,87642.13275146484
