lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
85764.70209503174,73817.81037902832,69025.16050720215,75265.26180267334,91971.46141815186,129216.6809387207
58713.66172027588,52012.661560058594,48529.91693878174,50273.74094390869,56851.29360961914,67957.89753723145
47237.95848083496,41683.22522354126,39350.98414230347,40340.94005203247,45034.08940505981,56927.65784454346
40107.342739105225,34976.828495025635,32961.44979476929,32787.36801147461,34604.29996109009,47450.82053756714
34033.86748504639,30360.561233520508,27843.98718833924,26747.62829208374,24658.795139312744,37923.8055267334
28223.052333831787,25581.356950759888,23363.45067214966,21006.157680511475,16759.537064552307,28391.414108276367
23847.336936950684,21079.994554519653,19331.21540451049,16052.681664466858,11171.500308036804,20082.037826538086
19445.049639701843,17132.012128829956,15765.543704032898,12605.78422832489,8885.464510917664,13489.409636497498
16193.290927886965,13759.541363716124,12783.50802707672,10289.77038383484,7158.96125793457,8849.007663726807
13151.739543914797,11066.729994773865,10434.58464050293,8137.170434951782,6312.114456415176,6117.418779373169
10823.510469436646,8757.520660877228,8444.921193599701,7452.25247168541,5476.095729351044,4387.048310518265
9068.07237958908,7327.899244427681,7125.304398536682,6279.579091310501,5336.543621063232,3530.5660874843597
7773.947316169739,6168.984080076218,6328.337934017181,5814.876198530197,4933.803626060486,3201.2872515916824
6682.041885137558,5693.960641860962,5933.600247979164,5346.844440102577,4374.810954928398,3175.9730726480484
6145.12110209465,5139.994289636612,4917.560034751892,4754.287621736527,4399.86470413208,2733.476279616356
5358.948531866074,4394.387531161308,4609.236961722374,4796.737482190132,4227.262457489967,2436.584530353546
5083.504190325737,3995.320398032665,4068.776130497456,4245.272925019264,3540.9470497369766,2592.974057972431
4675.365587115288,4262.479647934437,4096.076339304447,3956.408161461353,3535.594124376774,2372.232678234577
4505.238879919052,3380.4744520783424,3895.467031061649,3889.204577893018,4292.704261481762,2312.959186732769
4530.712751150131,3720.9548139870167,3428.9808514118195,3552.400612950325,3367.614233016968,2207.1489637494087
3571.323271512985,3131.556246370077,3572.848053574562,3515.965781629085,3307.2505261301994,1852.5523703098297
3710.29033446312,3071.7949383556843,2814.2011952102184,3156.8562197983265,2911.122380197048,1955.6312971115112
3362.8213290572166,2949.080759227276,3032.2059916853905,3262.77258425951,3624.344146579504,1540.714559480548
3244.814981788397,3172.076736629009,2851.103724986315,3153.2560692429543,2928.4117917716503,2004.51794937253
3800.1963564157486,2440.7491317242384,2753.4644525647163,3039.8914356827736,2647.8849118351936,1846.3451313078403
