lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
62941.450019836426,52681.74904632568,51668.78559112549,60600.72505950928,84285.97453308105,128612.09671783447
41947.2893371582,38429.03052902222,38486.856506347656,42309.57237625122,49238.68891906738,66934.81122589111
32133.55062866211,30237.88019180298,30058.91347885132,31145.21146774292,35013.49179840088,54486.67436218262
24745.60206604004,24193.10994720459,23505.98624801636,21459.05172920227,21172.060495376587,43865.690044403076
18028.81992149353,18349.711133003235,17398.38701248169,13549.838232040403,9439.392258644104,33462.94366836548
11394.746923446655,12857.853204727173,12114.8147854805,6651.913740634918,3286.348863363266,23772.74242401123
6446.199214458466,8031.267035961151,7219.378023147583,2892.880738735199,1204.7951443195343,15521.307683944702
3005.2461569309235,4336.582201004028,3748.340920686722,1309.2984917759895,663.3264706134796,9322.342095375061
1466.1475384831429,2261.073633670807,1958.826308012009,784.8364024758339,493.4321582913399,5328.506055831909
851.9910309612751,1085.8221960365772,1037.920213997364,624.9490184783936,423.9905332326889,3143.33180809021
611.3970854580402,753.3191509842873,803.8700314760208,469.7606861591339,334.5339256823063,1893.0726970434189
536.0455793887377,516.5385611951351,517.2083546817303,451.898368537426,294.85721853375435,1187.169851899147
359.3225162178278,426.1216668337584,414.3282806426287,349.57462537288666,273.1026677042246,792.3210871219635
329.56587259471416,352.0633696615696,380.61563600599766,322.43770295381546,248.99600626528263,570.1866243779659
334.0714343190193,281.9570947289467,319.116079390049,297.1360479593277,234.8587551265955,465.5697938799858
286.79905005544424,274.43884870409966,271.1769419908524,251.42725491523743,206.20333424210548,372.6765480041504
263.9150996506214,213.50266537815327,227.50718563050032,245.19432124495503,197.41719272732732,339.6271764934063
228.8657618239522,187.78254847228527,202.25379529967904,238.720858424902,192.8943695127964,292.2177101522684
193.84179278463125,191.82641832903028,208.66160489618773,198.591916397214,182.83513809740543,264.79680824279785
251.8046717122197,176.4048567339778,184.5485330820084,210.83067473769188,173.4766000509262,235.66417659819126
196.41930492967367,156.32835215330124,182.2826184630394,185.09683377295727,158.56089478731155,215.70540143549442
266.966941177845,141.24022470787168,163.20876950025558,165.8973921611905,144.1307249367237,188.51401223242283
224.82986246049404,150.09024479985237,140.70985858142376,159.54462851583958,147.69930029660463,182.15807085484266
183.7540381029248,125.37273652479053,136.0637901686132,162.73545975238085,144.13400295376778,173.79661858081818
134.22127579152584,108.90852442756297,131.28716269508004,158.79748533666134,133.85582344979048,164.761004909873
