"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
79802.74536132812,78879.50151824951,83786.84577178955,83678.20249176025,82965.51042175293,83072.98977661133,68861.4942855835,69954.27017974854,72800.73309326172,71683.63929748535,71794.02509307861,73673.64225006104,69392.41452026367,68929.29788208008,69040.57946014404,71340.16626739502,69086.57150268555,69236.5103302002,82175.58428192139,76963.03542327881,77224.13204193115,81218.04022216797,76250.83903503418,75833.42719268799,106484.345703125,96959.78101348875,93489.25295257568,106492.10836029051,96105.91646575928,92518.50657653809,182526.04040527344,149114.93380737305,134687.46528625488,180796.3812408448,145880.70486450195,138253.22212219238
54633.173820495605,54852.9281539917,57020.022605896,58347.33703613281,57311.92630767822,56962.94129943848,47586.46914672852,48727.53287887573,50139.76802062988,49579.74001312256,49876.579246521,51091.34780883789,48039.845291137695,47060.01800537109,47663.90758514404,49013.81456756592,48006.88243865967,47944.7467918396,54047.3364944458,51925.25715637207,51377.18277740479,54621.1071472168,51481.17007446289,51058.23546600342,62620.66979217529,59293.59242248535,57243.88143157959,62480.04201507568,59175.12413024902,58108.58985900879,83303.76526641846,72570.09552001953,69977.88742828369,83443.1997680664,73754.83497619629,69800.9281463623
43520.25413131714,43740.15768051148,45349.217487335205,46425.96460723877,45418.25519561768,45190.355392456055,38835.127140045166,39711.48439788818,40459.60220718384,40641.43938064575,40044.6456451416,41581.83893966675,38876.38740158081,38165.25926971436,38736.02166366577,39947.87438583374,39169.2113571167,39001.40845870972,43090.30842590332,41549.93637084961,41147.15130996704,43845.14772796631,41182.698139190674,41090.14323425293,50759.33213043213,47346.54596328735,45572.79836273193,50683.905113220215,47130.113761901855,45983.1545715332,69298.55892181396,61347.97979736328,59142.80927276611,69188.23839569092,62329.161628723145,58207.25602722168
36631.30206680298,36707.75086593628,38097.28126144409,38625.44609069824,37869.55876541138,38332.11031341553,32752.47713470459,33603.113468170166,33913.25142288208,34065.30080413818,33804.00651931763,34869.35639190674,32375.18347930908,32209.003425598145,32606.58162689209,33208.22800064087,33026.03093338013,32982.77157974243,33739.47443008423,33317.23805618286,33125.78958892822,34765.829135894775,33048.5690536499,33355.22847366333,39741.03280639648,35859.26200866699,35051.55518722534,39794.64023590088,36142.73643493652,34709.868381500244,61001.42194366455,52888.44208526611,50069.29322814941,60773.765716552734,53659.08335113525,48921.86223602295
30570.08044052124,31197.61709022522,32544.592864990234,32697.4321975708,32192.19905090332,32537.792377471924,27634.822536468502,28297.60959625244,28860.15379333496,28714.018104553223,28652.69912338257,29782.89684867859,26535.18879890442,26933.18590164185,27463.984394073486,27624.148096084595,27728.99481964112,27674.887887954712,25201.043394088745,26110.395849227905,26435.83650970459,26579.407974243164,26180.53138542176,26441.985027313232,28486.826000213623,24906.89663887024,25100.831912994385,28998.42607498169,25091.27568244934,24374.096115112305,54381.48918914795,44675.06838226318,41413.884689331055,53757.84770965576,45389.9497756958,39899.06588745117
25813.92813873291,26120.078134536743,27805.49991798401,27317.85280227661,27229.04295539856,27632.780765533447,22996.390687942505,23732.845151901245,24156.07412910461,24019.634023666385,23757.893100738525,25168.86459159851,21501.18254852295,22376.64356613159,23115.935722351074,22590.68227005005,23011.66453552246,22792.75364112854,18160.28688812256,20184.397651672363,20525.650604248047,19452.23399734497,19839.100189208984,20747.40487098694,18629.31273460388,15785.841265678406,16385.181651115417,19011.38831138611,16406.493447303772,15741.747331619265,47963.82039642334,36530.03128433228,32525.663536071777,47354.05855560303,37159.0870475769,31145.65464401245
20788.150466918945,21795.595434188843,22938.40617370605,22317.3097076416,22635.064249038696,23312.57124710083,19034.517879486084,19648.12124156952,19985.34901618957,19539.83001804352,19582.48320198059,20765.539699554443,17068.89468574524,18101.82582473755,18836.31267356873,17969.841639518738,18838.139932632446,19012.593576431274,13127.867156028748,15204.930587768557,15821.56146621704,13885.839820861816,15242.317763328552,16014.876427650452,11396.197622299194,10298.885401725767,11280.65806865692,11955.272376060486,10301.053869247437,10550.86991930008,41633.87177276611,28696.75018310547,24332.93686294556,40684.65487670898,29278.40169906616,22358.748888015747
16765.63174057007,17562.606516838074,19093.430871009827,17784.123818397522,18306.308683395386,19271.226221084595,14930.8835105896,15611.140378952026,16236.392070770264,16170.454355239868,15804.973801612854,16720.84365081787,13211.610473632812,14484.28085041046,15321.573471069336,14519.757222175598,15158.453952789308,15200.846937179564,10222.067409992218,12042.132064819336,12265.631700515749,10560.033068180084,11193.35941028595,12297.294832229614,7437.353479862213,7265.463739395142,8500.05147266388,7468.024825572967,7236.5062918663025,7894.749475002289,35500.57392120361,21312.340887069706,17201.66496181488,34556.60878753662,21852.80547332764,15472.750587463379
13197.03421497345,14308.359968185425,15886.735011100767,14077.598944664,14972.171766281128,15296.666332244871,11863.96126794815,12730.889476776125,12754.661149024963,12060.70743751526,12463.28743648529,13382.85729598999,10888.824955940248,11908.680615901949,12588.04956960678,11848.570657253264,12113.61303281784,12197.821892738342,7678.837921857834,9406.082961559296,9680.158195495604,8902.817386627197,9509.335414409636,10002.66491174698,5432.192674398422,6127.115394115448,6388.800397634506,5748.593717336655,6363.870284557343,6650.045361995697,29524.62310409546,15218.127487182615,11626.457326889038,28271.361602783203,15636.429819107056,9961.161924362183
10533.287897586824,11477.119282245636,12687.972499370577,11035.337178230286,12162.063477516174,12372.981265068054,9598.534834861755,10250.32049369812,10413.985620498655,10127.355600833893,9793.892170906069,10736.91119003296,8851.715255260468,9598.371579647064,10041.450286865234,9081.90120267868,10061.874511003494,9758.700659513474,7258.165842533112,7992.398584842682,8295.125180244446,7603.461171627045,7881.963047027588,8234.50598692894,4532.866535663605,5470.698970556259,6044.591742753983,4763.1470947265625,5612.925949454308,6430.2842037677765,23754.750534057617,10466.137011528015,7976.636527061462,22902.07522201538,10939.150886535645,6658.334686756134
