"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
81504.80213165283,80016.30700683594,80645.62905883789,83315.18755340576,82026.79609680176,81237.8006439209,71117.26892852783,69708.25022125244,70111.09535980225,72207.35456085205,71073.41324615479,71270.35418701172,70309.77507019043,68193.0385131836,67040.64430999756,71640.18776702881,68534.86737823486,67575.90628051758,82222.29251098633,76767.16787719727,74872.04727172852,79510.40116882324,75980.32303619385,75458.17322540283,108869.6582183838,96947.9835586548,91996.1196899414,109159.87615966795,96921.3364868164,92737.89810943604,176306.21417236328,142923.2315979004,141183.03463745117,170441.4107055664,150654.95776367188,137007.08462524414
68093.45582580566,67590.03604125977,67853.3911895752,69475.26331329346,68344.03247070312,72748.93351745605,59708.789878845215,62576.81125640869,65696.02879333496,62908.77048492432,64793.17654418945,63250.019874572754,54663.59826660156,54630.33505249024,55294.0553894043,55967.35073852539,55837.06288909912,56966.22338104248,57807.05359649658,55944.29243469238,55141.62506103516,57162.750801086426,55085.73265075684,55033.49851989746,63570.7523727417,60587.33786010742,58199.37561798096,64329.84539794922,60582.84410858154,59381.65814208984,83572.94366455078,73527.47045135498,70744.64028167725,82998.7410736084,75838.52097320557,71029.49396514893
58914.37065124512,59985.66579437256,60083.02903747559,60960.36444854736,62392.85857391357,63021.09796142578,56562.52828216553,57888.4327583313,59128.60688781738,56887.98568725586,57745.66365814209,56826.23447418213,48410.7109451294,49814.89075088501,50483.154121398926,49193.93291473389,49589.05115127564,51445.53831863403,48496.79411697388,46863.02976226807,46723.08554840088,48411.26654815674,46608.83277893066,46186.92081451416,54964.66793060303,51446.68691253662,49256.54372406006,56125.60487365723,51564.90110015869,50132.86618041992,71795.41817474365,64637.245262146,62109.622215271,71846.65608215332,66516.03889465332,62467.15242767334
58875.37577819824,57926.44081115723,58983.67180633545,57089.05944061279,58441.677185058594,60999.79998016357,51241.203773498535,53638.16032028198,56741.6915435791,51781.74154663086,55027.01686096192,53416.51626205444,43616.49016189575,45552.04172515869,47256.64302444458,44374.93756866455,46025.90744781494,50346.42115402222,41367.10188293457,39717.21758651733,41362.3883895874,41662.44569778442,40042.863693237305,40270.68531417847,47718.34548950195,43392.143798828125,41374.54078674317,48952.01168060303,43730.002643585205,42191.40214538574,65213.86982727051,58152.08884429932,55561.5373840332,65348.28299713135,60028.350662231445,56211.191802978516
67077.64589691162,55795.19621276856,57350.86764526367,55652.58987426758,55588.43685913086,59576.37606048584,49204.90857315064,51902.81927108765,56139.3210067749,48417.01697921753,51495.39392089844,55213.84629821777,40687.81687545776,42640.77154159546,47073.50859069824,42502.992347717285,43272.14368057251,46568.84009933472,35281.29816436768,34472.83080673218,35771.19797515869,35517.70441818237,34474.87616729736,35017.99903869629,40602.253536224365,35451.74568939209,34326.53642654419,41725.63711166382,36309.2691078186,34491.73525619507,60291.67597198486,52661.25582885742,49552.669746398926,60512.27509307861,54566.640380859375,50170.03470611572
57442.23254776001,56054.81562423706,64570.30798339844,54554.9055557251,59463.852363586426,61899.59070587158,51682.93437957764,50027.75330734253,61836.55539703369,49299.10282897949,52156.17949295044,54208.26722717285,37995.39366912842,39379.72636795044,42923.001403808594,40315.41940689087,39907.46273422241,45842.46524047852,29397.96936035156,29751.650093078613,31241.32249069214,29760.707164764404,29475.82949447632,30311.27518081665,33658.7772026062,28259.605876922607,27638.887950897217,35117.84867477417,29112.515659332275,27559.880363464355,55994.4172668457,47335.64585113525,43845.02530670166,56227.79759979248,49150.82285308838,44525.27780151367
62895.35263824463,61597.38291168213,60756.119857788086,54715.73748397827,64616.90613937378,66444.55862426758,54150.14990234375,50176.55606842041,55341.39923095703,47014.783084869385,55100.37725067139,76103.85276031494,35587.13655471802,37905.59425354004,41660.18231201172,38226.896297454834,37808.87738037109,45794.83392333984,24288.568199157715,25427.88557434082,26906.997661590576,24781.19432449341,25232.98699569702,26030.58699989319,27229.60531616211,21605.6044216156,21713.13299179077,28645.730018615723,22875.64161682129,21541.80991744995,51966.679611206055,42362.82767486572,38453.30722045898,52234.55701446533,44136.97085571289,39112.23334121704
56563.23100280762,48937.32825088501,62132.25563049317,52155.44331359863,57401.80337524414,71006.35179138184,47584.57319641113,56867.813079833984,50867.67845916748,53040.13387680054,47403.0027923584,58629.91213607788,34455.562282562256,34172.20506286621,43256.45700073242,38644.09309387207,37305.73611831665,46060.56686782837,19765.2789478302,21910.99073791504,22937.328813552856,20483.034103393555,21173.29835510254,21855.69977951049,21579.3397102356,16636.3925075531,16932.66717529297,23068.25290107727,17827.039638519287,16863.88306427002,48041.43774414063,37672.77289581299,33182.33883666992,48487.75420379639,39278.64659500122,33751.44788360596
56375.59365844727,55028.47017669678,54030.04069137573,57845.51091003418,53786.75171661377,60634.5837097168,63178.20397186279,61496.25175857544,58372.63453292847,54865.94268798828,51257.96346282959,68236.3500289917,33578.3616065979,33177.0881061554,38719.25207901001,39421.07650756836,34502.803813934326,47900.84860992432,16148.81762123108,18448.39017295837,18589.827597618103,16659.111384391785,17570.726879119873,17930.787440299988,16979.0523853302,12969.098275184631,13196.215216636658,18295.19828224182,14227.780289649963,13552.944769859314,44488.37059402466,32932.17427825928,28022.84665679932,44702.68344116211,34425.75074386597,28629.08317565918
55932.68380737305,57943.09284210205,61516.9043045044,56062.21793746948,53536.19017791748,66022.28695678711,57844.46279525757,61061.552547454834,54146.0221786499,53217.50999450684,62072.48828125,55589.64693069458,31886.203329086304,30975.040018081665,46325.99410247803,41811.48395347595,33889.05796432495,47673.03481674194,13748.96712732315,15395.550828933716,16120.457181930542,14037.13934326172,14313.180989265442,15097.883945465088,13688.21515274048,10491.073539733889,10695.929739952087,14967.141780853271,11820.56087398529,11270.951328277588,40598.66176223755,28583.74542999268,23496.27173233032,41182.00490570068,30045.313831329346,23919.357067108154
