"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
129755.80281066896,127815.95738220216,124782.52046203612,123701.81076049805,118782.29702758788,122442.75787353516,101739.97401428224,98454.43923187256,97837.21452331544,109970.21772003174,97371.36944580078,97739.25579071043,91850.36546325684,85935.02752685547,84706.8095703125,93850.13919830322,86437.11479949951,84165.4211730957,85367.71668243408,81845.85109710693,81684.26863098145,86487.94551086426,81923.22248077393,80491.04238128662,95335.24061584473,89228.0510635376,87744.11772155762,94733.69676208496,89722.50859069824,86927.42741394043,127900.25382995604,113900.11489868164,108920.11250305176,125853.7700805664,114436.59330749512,109449.44792175293
89587.73011016846,83430.92442321777,85361.41535949707,80132.5373916626,80648.85898590088,83004.3106918335,63910.105323791504,65700.53038787842,62783.36700439453,71178.82523345947,63678.059074401855,70848.36779785156,65391.88244628906,66769.63654327393,57988.20207214356,64394.9615020752,60891.12619018555,67216.57466888428,65391.84292602539,63464.68566131592,62850.695404052734,69636.66271209717,62950.25215911865,61026.6351852417,70228.61795043945,65583.48846435547,64544.232246398926,70546.7896270752,66283.98177337646,64933.8812789917,79744.05104827881,76105.5571899414,74465.5648727417,80862.71350097656,76169.15213775635,74622.81337738037
68998.95863342285,68469.87860870361,72709.77960205078,64391.966552734375,65173.08727264404,68243.0677947998,52565.27159118652,49585.41234588623,49795.66981506348,55092.33126831055,48357.87948226929,50645.82536315918,52140.38528442383,51875.73327636719,47126.208503723145,55568.2733001709,50710.25606536865,50892.47114562988,55415.465270996094,51034.7262802124,52555.27468109131,57313.30152893066,52226.12546539307,50349.47018432617,61468.08099365234,56259.113136291504,55235.764640808105,61590.528717041016,57008.17403411865,55342.79664611816,71781.6768951416,68545.08210754395,66058.2886428833,72948.3394241333,68592.00933074951,66445.9987487793
59395.31014251709,59920.09140777588,66625.21357727051,56688.37091064453,54911.0599899292,61299.5451965332,43225.09108352661,41369.11790084839,41837.18281173706,45797.26239776611,42004.46997833252,42495.23976516724,44381.40285491943,42920.437927246094,37904.91889190674,48136.10620880127,41366.38314819336,42061.54219055176,48192.10285186768,42800.29420089722,43508.67713928223,49354.83367919922,44388.36139678955,42477.73972320557,54626.76155090332,48658.33851623535,47540.03293991089,55095.62253570557,49533.07955169678,47430.82053375244,66665.28269958496,62786.94377136231,59886.99157714844,67682.30451202393,62898.28391265869,60722.116149902344
52063.30628204346,53046.989807128906,57860.20959472656,49929.55922698975,49838.11734008789,53035.01363372803,36818.12166213989,35542.45362472534,35183.047760009766,39969.1643447876,34308.38437271118,38982.61633682251,38326.15883255005,36328.88233184815,31825.41171836853,40896.64575958252,35269.13521194458,35431.396476745605,41186.35390853882,35891.5899848938,36716.26013183594,42482.98191070557,36597.9322013855,35398.27408218384,48478.00012207031,41739.27667236328,40643.49792480469,48960.06767272949,42616.31804275513,40510.44822692871,62545.80101013184,57940.03541564941,54780.56536865234,63582.511642456055,58087.48332977295,55665.800231933594
46643.93368911743,46422.95014572144,52258.15830230713,43508.10823059082,42334.64582824707,47630.61405181885,31465.37438964844,29726.836154937744,30136.530590057373,34335.89179611206,28759.572235107426,32206.209671020508,37896.45206451416,31020.83378791809,26147.656745910645,34500.06562423706,28692.21386528015,28889.321739196777,34836.802253723145,29027.67388916016,29847.113552093502,36304.76753234863,30781.591339111328,29794.30645751953,42571.81902313232,35245.281467437744,34031.19722366333,43449.86209106445,36214.20038986206,33689.79565048218,58892.99923706055,53597.30167388916,50108.69839477539,59634.37742614746,53739.66641998291,51021.805404663086
42000.24337768555,40601.777698516846,49008.14350128174,39166.29444503784,60480.23951339722,42090.13274765015,26307.29221725464,24903.49866294861,25364.75104141236,29586.44609832764,24058.52756690979,27705.15707588196,29592.64016532898,25465.15383338928,21340.43626022339,29280.604789733887,24101.12646484375,24216.78726196289,27775.093265533447,23336.98622703552,25033.53695869445,30621.018259048466,26575.301565170288,23774.64958000183,37309.83016967773,28847.797203063965,27867.873098373413,38055.06950759888,29975.342906951904,27383.48052215576,55800.05567932129,49436.26931762695,45481.33061981201,56443.50375366211,49594.7416381836,46692.29177093506
38616.3339920044,36195.53660583496,43328.710163116455,34716.63890457153,34420.3692817688,36963.224155426025,22190.23793792725,20753.39178085327,21178.17582130432,25099.303104400635,20058.23237991333,23258.95600128174,23239.98855018616,23706.52194786072,17141.413224220276,25224.382457733154,19591.49024105072,20597.23867893219,22565.483572006226,19113.83241558075,20216.64455127716,24502.46116638184,20112.394676208496,19189.113847732544,31627.46201324463,23219.424892425537,21917.964128494263,32562.711601257324,23998.60136604309,21398.87728691101,52487.23163604736,45147.904624938965,40981.86022949219,53102.33001708984,45750.00824356079,42402.91079330444
34488.29842758179,32451.893335342407,38950.677631378174,35221.771156311035,30124.279972076416,33459.73514556885,18587.71129798889,16848.419204711914,17182.442003250122,21545.95021629333,16313.42052078247,19632.765647888184,20506.515681266785,18411.99418067932,14183.28138065338,21995.97879219055,16412.560180664062,16456.39073753357,19153.10161590576,15643.909188270569,15317.19915485382,20716.160905838013,15539.64266872406,14955.498028755188,26051.610343933105,17830.891006469727,16906.94239616394,27293.536277771,19233.920015335083,16636.93625831604,49395.14793395996,40966.13940429688,36141.785316467285,50018.50891113281,41683.47425460816,37937.59689331055
30743.18273925781,27714.549365997314,35467.57154083252,27663.52000617981,26956.403938293457,29089.529886245728,15462.432850837708,13931.490032196043,14331.105066299438,18077.22487831116,13220.178539276125,16664.27866744995,15815.505065917969,14703.436855316162,11283.007063388824,18856.99493789673,12766.83157157898,13856.80100631714,14376.343551635742,12712.353255748749,12878.803047657011,16737.23498725891,13389.610563755035,12173.66828250885,21512.81304359436,13547.188173294067,12771.83224105835,22145.41834640503,14323.06964492798,12494.337131500244,46496.88360595703,36989.57858276367,31763.932304382324,46931.393562316895,37823.405712127686,33591.87642288208
28056.9231300354,23817.73097038269,32185.990005493164,23417.155296325684,24421.885284423828,25951.513145446777,13088.25228357315,11204.921778202057,11355.533751010897,14817.347929000854,10711.97207212448,13471.367621421814,13355.090651035309,11284.840651035309,9179.43120598793,14308.117361068726,11706.279496192932,10855.33386182785,11063.70816230774,10439.99558544159,10943.663145780563,13236.77036190033,10981.183827400208,10133.812246322632,16795.455800056458,10469.575819969175,9971.854678153992,17757.530248641968,10914.390496730804,9440.71096611023,43579.79224777222,32960.791790008545,27188.14524459839,43894.182624816895,33941.493869781494,29104.850036621094
24711.00199508667,21179.765419006348,29526.41625213623,20284.62917613983,22112.13847732544,23907.998929977417,10922.318516731262,9477.161120414734,9665.426367759705,12622.446389198303,8963.667296409607,11635.77198600769,11721.75600194931,9591.77076292038,7420.102550506592,11837.815978050232,9450.125922203064,9320.939759731293,9760.01792049408,8794.780529499054,8738.495155096054,10284.669964313509,9737.022355556488,7623.864560365677,13167.371263504028,7938.162208557129,7773.795632839203,14038.86081123352,8273.64618062973,7431.235758781433,40654.67262649536,28812.253854751587,22891.53094863892,40945.7763633728,29876.37852859497,25040.67794418335
21809.746200561523,19972.61710834503,26614.6898727417,17820.882853507996,18403.97231388092,20329.58206176757,8866.382911205292,8114.472046852112,8542.281511306763,10382.573730945587,7531.87011384964,9559.642768144608,8875.553907632828,7650.2779932022095,6766.876533508301,9393.542963504791,7521.213092088699,7921.210563659668,7471.614577293396,7238.864052534103,7226.738614797592,8219.64952635765,6984.809191226959,7229.902909040451,10051.285175323486,6102.947304725647,6513.896430015564,10309.253958702087,6514.0896537303925,5978.595957040787,37952.78171539307,24758.23414802552,18612.005388259888,38002.54819488525,26225.523441314697,20698.30959892273
18966.58679676056,16641.707522392273,24802.809831619263,16370.152574062347,15320.920875549316,17809.257042884827,7886.941124677658,6987.71168422699,6619.571455955505,8670.506964445114,6369.454174160957,8036.174652099609,7416.660294890404,6437.41148352623,5855.776601076126,8643.71999835968,6914.344251394272,6459.750153541565,6272.279200553894,6424.801150560379,6205.863521933556,8159.580390453339,7610.627977132797,6752.581283092499,8000.59096121788,4926.1611495018005,5420.86310005188,7480.633301258087,5631.524114131928,5746.013761043549,34917.816120147705,20957.339906692505,15158.511340141296,35066.54279708862,22556.99582672119,17262.739044189453
16866.944405555725,14820.514902591704,23586.33510017395,12491.782959461212,13286.14688396454,16840.027180671692,6483.625666439533,5711.516721487045,5867.273690581322,7379.404130220413,5700.257538795471,7415.749701023102,6387.034631490707,6878.108916759491,4949.659913182259,6752.31484401226,6418.76798081398,5707.764108777046,5558.737188458443,5183.8230022192,5697.865949749947,6678.09851038456,6705.831208825111,5235.717586517334,6217.048961162567,4340.464933753014,4539.2696977853775,5686.7197942733765,4788.096236228943,4458.989661574364,31877.532829284668,17473.04948234558,11774.87948322296,32053.811378479004,18808.65790939331,13859.373330116272
16847.581540107727,13571.622037410736,21099.96734046936,11479.727274894714,11221.64719605446,13681.194506406784,5555.911594986916,4950.393247008324,4970.213738560677,6112.021243691444,4758.097738444805,6216.779722452164,5621.281256318092,4991.269899725914,4505.472024679184,5901.540865659714,5087.596810102463,5831.896399259567,4840.871653199196,4257.7256118655205,4487.35740339756,5622.872042536736,5139.973616600037,4850.607786774635,5112.542139530182,3433.542577624321,4256.281720876694,4750.454674720764,4087.854459524154,4049.6945843696594,29019.14306640625,14246.816257476808,8886.15756225586,29043.852897644043,15672.156497955322,11168.752267837524
14385.54921722412,9998.868790388107,18395.414302825928,9641.407204389572,11739.066024780272,14269.163395404816,5045.36615806818,4336.232798218727,4247.828803151846,5393.9051196575165,3965.8682538867,5409.036509513855,5315.715731024742,4348.219770789146,3789.408744573593,5744.923852086067,4314.961033046246,4277.972460150719,4560.608897387981,3949.094928562641,3845.959711551666,4094.447425484657,5009.193918585777,4767.48001486063,3922.236654996872,3184.795746564865,3580.3547558784485,4014.9650017023087,3149.941427230835,3430.790284514427,26214.47618484497,11744.48389339447,7481.478913784027,26177.762187957764,12768.051297187803,8972.98773765564
