"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
151518.93925476074,141443.9545288086,136180.28617858887,153006.9669342041,136107.55325317383,148395.46647644043,129590.31315612792,120994.1125793457,127318.77432250977,137305.12078857422,129672.09553527832,118769.58346557616,114263.65551757812,103532.15891265868,98668.90845489502,117638.04209899902,101793.35598754884,102788.7672805786,111620.767868042,98673.04891204834,95209.68153381348,111372.57655334473,101023.52949523926,98223.4496307373,97306.3172454834,91725.82817077637,88259.63970947266,96062.94981384276,90631.85424041748,89279.86471557617,127327.20361328124,114080.9631652832,108887.67933654784,128818.08233642578,112456.15292358398,107196.09317016602
89634.59608459473,90799.33828735352,89098.30364990234,91550.95613098145,86133.14881896973,91261.84967041016,78186.15531158447,74079.25190734863,77251.09313964844,80013.54237365723,75381.94940185547,74329.12001037598,72250.18536376953,64802.80685424805,63252.96863555908,72888.43941497803,65575.7658996582,63619.47850036621,75712.5644607544,67262.41498565674,64037.98902893066,76035.85378265381,67756.75678253174,64995.57569885254,71789.91562652588,68416.0737991333,65294.85855102539,72680.756690979,67984.22017669678,65967.12902832031,80813.07434082031,75510.49375915527,73847.14237976074,80987.7504119873,75052.91017913818,73578.95642852783
79232.98580932617,80623.12015533447,77231.71360015869,79219.53388214111,74275.09114074707,79111.11684417725,66251.24935150146,61459.580406188965,65857.8663482666,68715.95207977295,63065.30792999268,62190.70293426514,60045.041900634766,52800.396980285645,50645.62872314453,61331.42343139648,53726.98120117188,51702.28102111816,62662.27569580078,55985.74713897705,53070.16019439697,63197.02937316895,56677.77452087402,54359.09503173828,63359.26207733154,59804.56558990479,56254.05256652832,64117.65288543701,59351.00044250488,56851.65492248535,73280.81400299072,68066.18731689453,66233.96701812744,72893.45175933838,67675.4316329956,65650.37729644775
71791.52875518799,72008.47435760498,67510.55648803711,70789.49119567871,65583.850730896,69810.21047973633,57475.699531555176,53113.15407562256,57475.066062927246,60444.73428344727,54026.42300415039,53734.76202392578,51766.92451477051,44174.82991027832,43237.70875930786,52808.36708831787,45340.44389343262,43013.42281341553,55171.634353637695,47941.07782363892,45299.5364074707,54928.80653381348,48596.22470855713,46238.360218048096,56861.82818603516,52375.12699890137,48762.0941696167,57508.33310699463,52659.83744049072,49736.24140930176,67911.45928192139,62762.25946807861,60353.23661804199,67530.24314117432,62262.45230102539,59947.80291748047
66518.20645904541,65302.08470916748,59367.94348907471,63907.99895477295,57507.06767272949,61356.91507720947,50059.03437042236,45343.89469528198,50199.04558563232,52751.26662445068,46586.6579246521,47043.45554733277,45484.23957061768,37429.2660484314,36508.39459991455,46703.03128814697,38677.67493057251,36875.21817779541,48972.92989730835,41279.086013793945,38716.46692276001,48238.37839508057,41764.120250701904,39294.256816864014,51341.82917022705,46018.430809021,41824.02342605591,52022.010803222656,46082.17879486084,43424.78737258911,63841.03673553467,57997.55544281006,55483.37567138672,63437.46925354004,57633.6389541626,54886.92371368408
60833.92333221436,59250.57266235352,53081.39074707031,57930.41444396973,51452.13139343262,54052.64466094971,45034.14657592773,39606.678340911865,43612.07584381104,46316.54037857056,40918.10621261597,40309.00686645508,39813.74838638306,31774.046571731567,30848.295486450195,41136.36944961548,33459.14479446411,30845.588760375977,42368.17951965332,36037.42651367188,32721.79398345948,42755.56772613525,35732.95474243164,33206.00370025635,45982.18577575684,39717.57233047485,35568.61796569824,46675.67832565308,40250.26122283936,36720.30638885498,60235.702491760254,53976.02715301514,51054.26118469238,59801.513931274414,53497.92495727539,50348.60498046875
55982.528747558594,54374.77472686768,47555.16732406616,52352.89144897461,45564.33303833008,47909.361446380615,39624.96478271485,34882.28617858887,38455.57313156128,41424.12814331055,35842.60259246826,35285.18653488159,34860.11971664429,27000.13559532165,26018.19711494445,36718.13787460327,28339.33818435669,26085.39846611023,37582.32243728638,29705.379070281982,27782.205207824707,37720.96511459351,30588.91206550598,28232.34267807007,41106.36508178711,34819.17523956299,29884.40601539612,41661.57236480713,34398.12768173218,31180.58578491211,56764.26091003418,50141.08892059326,46336.997619628906,56343.05709838867,49701.90733337402,45831.66886138916
51323.31246948242,48887.90999984741,42257.067920684814,47297.53923797608,40784.32511901856,43280.36639785767,35283.032218933105,30734.07043838501,33315.09539794922,37049.75400543213,31529.535526275635,30682.21703147888,30365.614515304565,22699.82055091858,21853.7818813324,32092.3289718628,24170.897352218628,21792.208543777462,32661.95241546631,25342.725328445435,23311.26734352112,32686.45990371704,25285.389795303345,22822.07364845276,36096.23389434815,28542.36484146118,23688.93004989624,37071.41149139404,28714.639614105225,25429.91888999939,53686.73091125488,46143.76713562012,42130.98152542114,53373.74900817871,46048.522201538086,41672.849533081055
47134.31558609009,44451.5724067688,37974.997299194336,42977.39384841919,36583.50735092163,38554.04108047485,30714.514707565308,26337.31506919861,28536.66658782959,32762.0213432312,26769.73196029663,26309.33136177063,26179.11798477173,18882.312746047974,17972.089970588684,28343.561408996586,20303.435160636905,18189.073190689087,27261.10091209412,20935.90873908997,18358.71829795837,28049.13920021057,20371.18210792541,18967.082377433777,31633.662548065186,23325.05809020996,19002.266187667847,32393.357215881348,23559.081283569336,20615.990673065186,50668.94554901123,42438.77498626709,37651.643630981445,50442.38528442383,42352.26375961304,37598.73836517334
42646.76737213135,40452.63846588135,34463.47961807251,38156.93424606323,32756.27163696289,34459.14041900635,27265.83361625672,22516.08475112915,24259.804821014404,29250.7553768158,23818.474435806274,22324.11573600769,22212.873693466187,15348.12852859497,14487.66044998169,24465.59502029419,17036.822662353516,14618.03896522522,23644.561990737915,16604.419974327087,15305.415502548218,23439.1484375,16922.99490070343,15800.687260627748,26749.699264526367,18868.88316345215,14517.258046150208,27700.95391845703,18532.573316574097,15958.376571655272,47748.883239746094,38511.90788650513,33495.973625183105,47516.38571166992,38797.498432159424,33532.57264328003
