"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
148817.2202911377,136973.74613952637,137617.61073303223,146289.8112487793,139842.0768737793,138449.78242492676,141154.15321350098,123117.82569885254,117686.1205444336,136391.59954833984,125153.06303405762,116286.13627624512,112507.70890045166,106818.44198608398,98568.0611038208,114394.20416259766,104432.52876281738,100735.23468780518,108947.25804138184,101473.2134399414,97487.84539794922,111155.4327392578,101242.631980896,96637.96782684326,97460.0117034912,91053.61517333984,89125.52551269531,97594.40309143066,90256.8538131714,88475.18968200684,127955.04808044434,112278.49005126952,108731.53927612305,125425.3730316162,112582.2917175293,109302.3387298584
91106.6464691162,84282.08839416504,87882.57929992676,88283.80920410156,86521.65536499023,91829.445602417,80327.26779937744,75242.86675262451,72531.33415222168,80326.40265655518,76586.72435760498,71099.6106338501,71727.27671051025,66559.57151031494,63124.83618927002,71894.3750076294,66021.84809112549,63101.66599273682,73660.04804992676,67117.54612731934,65675.2730255127,74491.7349319458,67249.56770324707,64556.61614227295,71601.22280883789,68122.38208770752,66816.32975006104,72446.62573242188,67797.56901550293,66224.09566497803,81335.8138885498,75473.00541687012,73969.56992340088,80054.41691589355,76363.01424407959,74538.11112213135
79135.35643005371,72922.94053649902,74570.43422698975,76452.88864898682,73748.22630310059,79296.43420410156,68813.56384277344,61907.80270385742,59937.26035308838,68763.79508972168,64614.85067749024,58275.60939788818,60471.82970428467,53771.12114715576,51079.21836853027,60934.49639129639,54798.14131164551,51527.98693084717,62405.40480804443,55660.98712158203,54650.007080078125,63171.09410858154,55556.08895111084,53608.17928314209,63672.69104003906,59325.2653427124,57565.538665771484,64314.89555358887,58899.22695159912,57043.26686096192,73669.42276763916,67878.21513366699,66044.55830383301,72607.0060043335,69052.22926330566,66754.38092803955
69871.0188369751,63245.14910125733,65092.27964782715,68125.90034484863,65461.577865600586,70097.71501159668,59092.32130432129,51781.06663513184,51016.17391967773,59329.20656585693,55334.177001953125,48796.91062927246,52190.31575393677,45502.35273742676,42731.545234680176,52114.58994293213,46448.62668991089,42613.31937789917,54335.307945251465,47395.59769821167,46161.838066101074,55559.42681121826,48083.65441131592,45535.14151763916,57412.3956451416,52158.60037994385,50112.3751373291,58055.8027420044,51611.56935119629,49254.0390701294,68749.54489898682,62141.10090637207,60301.95766448975,67647.19506072998,63285.33614349365,60699.24750518799
62641.73055267334,55992.57899475098,56766.166648864746,60675.57262420654,58419.57238006592,62512.22198486328,52353.42391204834,45469.25331878662,44186.67699050903,52055.43027496338,48415.04286193848,41453.07710647583,45370.44539642334,39411.00211715698,36574.289752960205,45788.37576293945,39703.54095840454,36215.551834106445,48298.555477142334,41084.22906112671,39025.38876724243,49659.51650619507,41686.88036727905,39139.983669281006,51694.69248199463,45897.571784973145,43116.06923675537,52554.50999450684,45607.04808807373,42444.85754776001,64412.18430328369,57301.548736572266,55164.394691467285,63718.163482666016,58721.93939971924,55643.60427093506
55431.04130554199,49396.73420715332,50093.01015472412,54485.17485046387,51809.88641357422,56280.01531219482,46843.71176147461,39205.47686767578,38332.18320083618,46169.125579833984,42243.40588378906,35772.06091308594,39743.426612854,33376.33616638184,30765.94482421875,40172.834400177,33543.963680267334,30528.499340057373,42087.70441818237,34698.36571884155,32574.426555633545,43855.51134109497,35242.920959472656,32751.15193939209,46736.06196594238,39861.54127883911,36605.52084350586,47230.9273147583,39753.526958465576,36365.93756103516,61098.19116973877,52977.16822814941,50691.767906188965,60267.606384277344,54466.29406738281,50876.84802246094
50155.85109710693,43667.35957336426,44363.97623825073,48184.37900161743,46742.28133773804,49915.59873199463,41132.54945373535,34469.22359085083,32813.58095550537,41277.17764663696,37545.83493423462,31308.02444076538,34706.86922454834,28808.156930923466,25861.581560134888,35468.782680511475,29325.992868423466,25802.52468109131,37327.98295402527,28828.147148132324,27958.90993499756,38982.53363800049,30178.193893432617,27811.937196731567,41712.82806015015,33858.83885192871,30788.660320281982,42729.87180328369,34144.44002914429,30401.330211639404,57980.71841430664,48894.92607879639,46196.37112808228,56924.348472595215,50476.6138381958,46365.97208404541
44971.047954559326,39012.58562469482,39676.85646057129,43981.89360809326,42182.4945640564,44840.87682723999,36650.608768463135,29590.43203163147,27878.523738861084,37947.96739196777,32562.99164581299,26285.686697006226,30485.61632347107,23874.31913757324,21949.43472480774,31038.56332397461,24460.76347541809,21374.535194396973,31789.503707885742,24272.29362297058,22034.253215789795,34201.62582397461,24862.80478477478,23098.45775604248,36807.527770996094,28548.81126022339,25079.01875305176,37385.046310424805,28565.13899230957,24850.50728797913,55044.83492279053,45278.01851272583,41916.89722824097,54169.49974822998,46714.09822463989,42242.26513671875
40470.778564453125,34184.75248336792,35854.29948806763,47398.54472732544,38470.17938995361,42235.6376914978,32645.18716239929,25583.01280784607,23731.45352172852,32803.286628723145,27761.605520248413,22386.73485183716,26197.46172714233,20019.541416168213,17781.318833351135,26990.627613067627,20552.25754928589,17599.334420204163,27728.547883987427,19857.248516082764,18159.85920906067,29386.379625320435,20690.13909816742,18762.33950996399,32249.5724143982,23286.673067092896,19620.983518600464,32783.26275253296,23878.8950881958,19006.16898345948,52068.61239624024,41256.64394378662,37441.60220336914,51327.68051147461,42867.53802108765,37947.07303619385
36679.24354934693,30374.5731010437,31813.211986541748,38362.55951309204,34445.99486923218,37130.862365722656,28922.644409179688,21630.35751724243,19681.201831817627,29234.45092773437,23853.833236694336,18820.19825363159,22152.80754470825,16439.209151268005,14478.880641937256,23099.97329235077,17018.390865325928,14418.749722480774,23035.00482368469,15615.28638267517,14178.655275344849,25692.415155410767,17086.198335647583,15344.074917793274,27643.085889816284,18183.45130729676,15703.809958457949,27929.21528816223,18964.42739677429,15081.443574905396,49412.29864501953,37650.848152160645,33100.69910812378,48313.27088928223,39172.48327636719,33497.41450500488
