"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
129292.73741149902,116159.94442749023,117164.2516937256,122912.6537475586,122048.94956970216,118512.12292480467,102309.82014465332,100923.28282165527,99906.7120361328,106712.7243118286,100343.90824127196,95848.7907180786,94403.12316894533,85203.06896209717,82730.02709960938,94336.47081756592,87099.26354980469,83782.32669067383,85937.85078430176,81934.27139282227,81147.31896209717,86783.99826049805,82539.46048736572,81607.9342880249,95419.3596496582,89247.25072479248,87595.45648956299,94484.95471191406,89384.80596923828,87200.25988769531,128580.97953796388,111932.42475891112,108656.68960571288,123087.79483032228,112424.66580200195,108393.27658081055
76764.03199005127,73101.17079925537,75811.46897125244,74295.11754608154,76960.6350479126,73108.6533126831,63068.59200286865,60660.6880569458,61645.93374633789,65668.76467132568,60456.10475921631,58832.79833221436,62745.71507263184,55283.74620819092,55387.75652313232,62715.203536987305,58647.78588867188,55193.93535614014,63920.7145614624,60776.12061309815,58815.39389038086,65202.748046875,60858.15274810791,60926.71601867676,68976.1280593872,65547.44770812988,64549.267837524414,70113.09043121338,66030.12239074707,64666.12361907959,80121.70687866211,75567.38544464111,73606.383644104,79496.80953216553,75381.10624694824,74001.88681030273
63747.80093383789,60394.73207092285,63995.03952026367,62440.32859039307,64762.83662414551,62698.0217590332,51426.5369720459,48541.47885894776,49663.84994506836,53520.2636795044,48309.945053100586,47063.1643447876,51575.75163269043,44754.03290939331,44513.08150100708,51075.32427978516,47538.62223815918,44354.88729095459,53978.3494720459,50309.50058364868,47819.77388763428,54945.67708587647,49699.08828353882,49893.27883148193,60719.1803817749,56555.66806793213,54896.07438659668,62087.70076751709,56726.99305725098,55469.026359558105,72068.11471557617,68023.56266021729,65437.17607879639,71689.99514007568,67729.65585327148,65990.12403869629
54378.58969116211,50982.06690979004,55892.37451171875,52365.33517456055,55446.32777404785,54191.53648376465,42886.26406860352,40427.64938354492,41286.92575836182,45320.40697097778,40014.009201049805,39373.53033065796,42951.47224807739,37062.20913314819,36994.1750793457,43117.11104202271,39606.576053619385,36711.24312973023,46205.48955535889,41907.36273956299,39663.90156173706,46730.206661224365,41533.55882644653,41869.6399307251,54191.33319091797,48908.32898712158,47037.944175720215,55390.41582489014,49114.72486114502,47244.448223114014,66549.06142425537,62526.044036865234,59541.62836456299,66499.6997680664,62207.76125335693,60021.61427307129
46775.139209747314,44153.06777191162,48773.67086029053,45053.12712097168,48445.35075378418,47258.2455444336,36565.2173500061,34362.97734069824,34941.581020355225,38897.76287841797,34021.577713012695,33427.75103378296,36681.160999298096,30815.57024383545,30609.303497314453,36629.754791259766,33249.3572845459,30606.68645095825,39358.46987533569,34894.01197433472,32615.42676544189,39984.80316162109,33974.761333465576,34742.09052276611,48081.56076049805,41983.252212524414,39961.11338806152,49518.49884796143,42613.929416656494,40177.4716796875,62062.2268371582,57707.10858154297,54313.84643554688,62324.11756134033,57356.393783569336,54786.60502624512
41330.74800491333,38879.21502685547,43184.54489517212,39407.099266052246,43012.59371185303,41408.49685668945,31000.1544380188,28533.14938354492,29485.039390563965,33566.81346511841,28514.198133468628,28164.456298828125,31124.59344863892,25552.903873443604,25271.05319786072,31268.81705093384,27529.78100585937,25314.98557472229,33050.92736816406,28177.116842269897,26865.542289733887,34310.370807647705,27730.19255828857,27892.27840995789,42125.42847442627,35568.505950927734,33465.670879364014,43679.78950881958,36135.86879348755,33611.56033325195,58317.98539733887,53290.12022399902,49366.216621398926,58642.48175048828,53028.98793029785,49924.43437194824
36333.546840667725,33886.7456703186,38575.07336044312,34828.612060546875,38670.46449661255,36454.63399505615,26325.18006706237,23995.16142272949,24903.104734420776,28441.69979286194,23781.675577163696,23228.02497863769,25826.457550048828,21107.45203590393,20554.02417945861,26515.20833969116,22620.72550392151,20682.87437057495,27205.11490058899,22517.718059539795,20956.424591064453,28234.00580596924,22127.60124015808,22657.73021125793,36415.685428619385,29172.4207611084,26935.293769836426,38372.12847137451,30050.467372894287,26986.55250358581,55009.07689666748,48960.15319061279,44715.914474487305,55213.56059265137,48797.65441131592,45315.11642456055
31254.398052215576,29560.9080696106,34469.8607673645,30285.80813217163,34584.3810005188,31952.497917175293,22063.214527130127,19657.128706932068,20893.297666549683,24295.104398727417,19685.43820381165,19240.05933189392,21441.252367019653,16865.656916618347,16434.386244773865,21968.89087486267,18600.02920341492,16926.786313056946,21675.986642837524,17764.926058769226,16712.006553649902,23243.66524124145,17374.204278945923,17674.988946914673,30919.20045471192,23217.83194732666,21368.43691253662,32623.92306137085,24381.665807724,20958.363904953003,51510.69819641113,44935.41382217407,39910.52710342407,52019.00326538086,44786.740421295166,40948.28860473633
27563.25611877441,25679.297172546387,30500.692779541016,26867.16085243225,30841.47694206237,27845.34024047852,18330.74825668335,16320.998032569883,17262.588815689087,20526.798288345337,15971.108032226562,15594.320902824402,17839.561497688293,13753.26443862915,13232.204723358154,18475.44843006134,15187.520318031313,13497.377297878264,17363.55838394165,13879.982307434082,13028.07736492157,18659.52231693268,14115.18982219696,14382.888596534727,25443.01033592224,18046.284936904907,16374.471413612366,27551.767097473145,18529.599981307983,15802.70022392273,48515.79512786865,40847.75731277466,35619.18900299072,49075.94910430908,40591.19411087036,36366.87899398804
23685.216035842896,21987.40048599243,26497.22695159912,22858.00323486328,27481.84917449951,24294.766332626343,14855.023347854614,12888.120880126951,14098.574504852297,17178.94059085846,13075.162083625792,12626.25572490692,14473.917863845823,11184.704795360563,10943.36911869049,14901.367876052856,12110.27619600296,11022.487180233002,14204.725949287416,11028.65842819214,10640.946992397308,14579.06636238098,10175.419421195984,11547.415593624117,20449.40135192871,13487.508554458618,11778.62986087799,22683.673105239868,14505.044647216797,11919.265448093414,45425.00356674194,37080.878032684326,30868.96521759033,45829.62871551514,36977.08407592773,31816.61964035034
19628.79056358337,18154.05514431,23815.46593475341,19282.69243431092,24263.314584732056,20565.19977092743,12096.617146492004,10791.594399929048,11578.847133636476,14154.794752597809,10587.411583900452,10177.066412210464,12415.82986831665,8976.809010982513,9018.303965568542,12547.02060174942,10142.97857618332,9003.946205615997,10320.849170684814,8249.720668792725,8010.197329521179,11617.539804935455,8484.506077766418,8793.65290594101,16075.176010131836,9832.975949764252,9599.492632865906,17743.81450366974,10731.880979537964,8909.96592950821,42485.586154937744,32898.20557022095,26368.749855041504,42921.79315185547,32763.16951751709,27313.29128265381
16593.8035697937,15522.52098941803,20601.84852981568,16101.67947769165,21214.71629142761,17649.1941614151,10142.68475842476,8626.110819339752,9548.895768642426,11799.49839258194,8982.364140510559,8770.25765156746,9826.97015094757,7081.302199840546,7266.92517209053,9843.228033304214,8453.324578046799,7027.884496688843,7881.83544588089,6880.168251276016,6816.13476395607,9569.268851280212,6877.808343410492,7350.886421918869,12103.593510627748,7637.63777589798,7037.632764816284,13935.286622047424,8275.727161884308,7325.4781703948975,39438.28218841553,28642.99111938477,21901.15821456909,40074.24383163452,28770.071712493896,23190.47025680542
13914.118168830872,13090.537466049194,17377.01161289215,13732.914627075195,18396.662294387817,14847.184961795809,8227.232000112534,7484.915900468826,7892.956707000732,9832.32209932804,7156.98467040062,7035.181605100632,7571.314342737198,6343.215747356415,6176.10551571846,8132.806900501251,6887.851317167282,6229.636608123779,6539.042221426964,5596.837082028389,6264.739219903946,6831.093352556229,6283.4800881147385,5809.6942529678345,8889.358095645905,6077.392431974411,5553.270337343216,10391.355283260344,6664.428688049316,5315.76290345192,36617.08278656006,24728.086584091187,17789.52618598938,36915.44872283936,25059.66689300537,18981.298864364624
11645.573169708252,10998.447979450226,15015.31050491333,11237.700455188751,15915.41900062561,12590.51060438156,6933.628530502319,5856.356325268745,7007.386738538742,8400.81979727745,6127.324569523335,5971.216773867607,6716.864319086075,5525.908640861511,5234.135125160217,7170.034300088882,5824.950438499451,5374.8415558338165,5708.1370232105255,5016.648042559624,4810.076199769974,6015.568859100342,4505.054083228111,4923.579620242119,6622.823784351349,4626.857699632645,4836.360623717308,8067.903673171997,5385.439297437668,4647.469196557999,33485.17890167236,20901.75390052796,14360.592086791992,34185.93063354492,21340.28126525879,15263.182809829712
9540.58034992218,8995.895064115524,12832.375975608826,8927.362783432007,13736.672618865969,10869.89495420456,5741.940756440163,5053.076823830605,5728.736758112907,7205.696900010109,4959.8590695858,5282.019363164902,5845.363561630249,4567.035977125168,4561.480601191521,6097.784544825554,5042.209012389183,4558.356071591377,4231.149658977985,4558.612142443657,4323.4286559820175,4691.71393430233,3859.902959227562,4698.525561451912,4837.614903450012,4086.411982655525,4019.095407962799,5981.071136713028,4048.50037920475,3900.989944338799,30608.22352981568,17659.832513809204,11082.262722969055,30927.23909759521,17842.192840576172,12076.49914932251
8085.37523150444,7520.163964271545,11225.3895945549,7569.352242231369,12089.667345523834,9216.354748487473,4854.602171778679,4247.849476575851,5067.650006651878,5843.9757841825485,4611.762133002281,4214.176624536514,5189.611993074417,3755.32031583786,4152.171922504902,5172.108558773994,3981.218139588833,3609.4586752951145,4033.202762365341,3489.6268352866173,3645.383213877678,4122.5604346990585,2747.9626680612564,4413.512296795845,4322.715178728104,3562.6729995012283,3332.7390201091766,4872.465946435928,2856.886329889297,3328.522311091423,27724.821865081787,14370.268272399902,8496.278981685638,28066.966968536377,14838.376907348633,9416.027070999146
6846.396310329437,6603.622543811798,9527.14553308487,6347.587086737156,10278.826122760773,8630.123934268951,4393.809301495552,3768.0339849591255,3902.093998014927,5252.092465996742,3762.884553492069,3931.532109081745,4298.957957863808,3275.691776931286,3406.5092399716377,4425.521176636219,3687.821114510298,3123.104971945286,3249.6605570316315,2920.1408286094666,3216.633065104485,3029.7155290842056,2630.789202928543,3443.247600018978,3174.51991546154,2566.952850401401,2583.4876886606216,3675.856838107109,2592.1985555291176,2560.7320147156715,24947.83773422241,11245.171891212463,6714.746068954468,25497.92090606689,12125.9633808136,7374.897000312805
