lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
134461.48806762695,123402.54470825195,98897.78883361816,96208.62431335448,87743.3907546997,106470.02166748047
85964.91473388672,76044.03144073486,63538.11548614502,64773.27062988281,65564.70708465576,72970.71617889404
73617.34748077393,64183.45848846436,50968.03695678711,53465.05253601074,56222.74197387695,65248.36501312256
64223.80155181885,54670.39318084717,42856.50643157959,45527.37673187256,48707.9328994751,59265.4284362793
56275.092849731445,47198.39203643799,36067.5150642395,38392.02333831787,42001.86883163452,54084.14682006836
49624.5859375,40941.70245361328,30509.58625411988,32353.252025604248,35374.76174545288,49143.08164215088
43883.96064758301,36028.3949508667,25833.200437545776,26649.78622245789,29563.7472782135,44294.19519805908
39072.024505615234,30871.952564239506,20920.36193847656,21844.174160003666,23899.18892097473,39795.96868133545
34835.9801864624,26554.04068374633,17755.90710544586,17738.398076057434,18672.186599731445,34964.57057571411
30818.047393798828,22593.12020683289,14366.975244045258,14452.73355960846,14487.698459625244,30146.04972076416
26722.83805656433,18840.686100006104,10930.090826511385,11156.071110248566,11237.43110704422,25716.60221862793
23494.87159729004,15590.660902023315,9874.720436573029,9445.829330444336,8075.030078887939,20930.66056060791
20386.552844047543,12851.20398759842,8273.973948001862,7659.115267753601,5930.032591581345,16903.284742355347
17646.32135105133,10478.362854480743,6326.046006202698,6763.856365919113,4730.068682670593,13380.810166358948
14875.894483566284,8910.304183483124,5528.357854604721,5464.447755694389,4070.050394177437,10264.514384269714
12557.749997615814,7140.086621999741,5016.651829600334,4686.045875310898,3443.995263576508,7661.061864376068
10843.79139661789,6435.254510879517,4118.823021352291,3584.730280041694,2841.686539709568,6115.548899173737
9259.545157670977,5473.954068660736,3404.644188731909,3215.23660761118,2346.7526292800903,4815.193299293518
8068.42036318779,4765.745871245861,3429.448101311922,2518.217694222927,2298.9741446375847,3738.1224455833435
6642.548171639442,3879.912280917168,2823.1646181344986,2368.777371287346,2242.719528079033,2883.941506624222
5912.091066122055,3644.368446946144,2351.104515224695,2426.432613939047,2035.4316009283064,2290.6086097955704
5227.398315250874,3399.415253609419,2240.283653557301,2599.4733163416386,1678.7486474514008,2038.0698746442795
4498.386509776115,3106.282392293215,2037.093897044659,2425.2286741137505,1889.7051502764225,1656.7924058437347
4043.487478017807,2261.780056566,1721.2660803422332,1774.3756648898125,1279.8957488760352,1478.8575936555862
3754.227733314037,2322.4135319292545,2077.647514536977,1298.0863171219826,1210.5890422314403,1245.7621347606182
