lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
136072.97190856934,116522.05354309082,99508.1640472412,95210.45085906982,88472.70617675781,105813.0368347168
87435.21089172363,69825.43674468994,62395.7760925293,63714.50203704834,65473.66593170166,72465.05787658691
75339.45285797119,57610.53832244873,50541.117111206055,52972.56380462647,55846.54972076416,64785.281478881836
67018.10538482666,48781.61354064941,42552.68479156494,44406.7187538147,47760.94593048096,58927.10294342041
60092.15886688232,41977.30044174194,35953.54798126221,37651.730812072754,40855.19424057007,53488.356788635254
54362.90189361572,35772.12630844116,30486.80610275269,31794.33148956299,34321.00300979614,48817.86592102051
49067.826137542725,31201.88666534424,25829.005918502808,25864.67342567444,27676.841653823853,43994.44131851196
44374.24948501587,26560.83168792725,21208.51268005371,21358.82386207581,22283.659440994263,39582.905532836914
40427.31088638306,23221.054971694943,17963.67345714569,17381.377599716187,17402.17865753174,35063.13967132568
37136.473094940186,18515.82080364228,14621.203105926514,14253.870012283323,12984.61218547821,30457.957218170166
33684.70756530762,15421.527106285095,12134.801660060884,11195.13969039917,9743.244492530825,25973.21824836731
30057.51170349121,12832.680723190308,10015.045004844666,9025.564655303957,6522.266254425049,21855.663452148438
26926.868982315063,10424.918269634249,8105.622012138367,7434.60879611969,4836.62162232399,17795.714979171753
24163.49829483032,9013.724020242693,6789.397701144218,5709.0123237371445,4134.393356800079,14452.376435279846
21754.235595703125,7158.929417133331,5902.90983748436,4951.9561419487,3958.668671131134,11380.880615234375
18762.00861263275,6051.928246617317,5391.723471283913,4597.563697218895,3161.641910791397,8798.973826885223
16479.041440963745,4976.269288659096,4248.631013870239,4017.497395694256,1891.397921264172,6535.369538784027
14705.561581611631,4213.843348562717,3782.6113339066505,3131.4836515784264,1547.1019886434078,5153.639788389206
12573.243031978607,3962.037203609944,3226.18338906765,2549.110412687063,1455.7211719453337,4136.562011241913
10920.82622909546,3299.077172279358,3183.179427921772,2020.20264428854,1088.3622617721558,3422.7203590869904
9444.625835895538,2831.75085952878,2798.493367433548,1630.2366584539411,864.8552224636078,2685.5959169864655
8144.217753171921,2926.9071811139584,2907.831130564213,1584.0514705777168,680.4321902394295,2209.2603631019592
7041.720231771469,2406.322993040085,1942.6219220608475,1302.8153618872166,513.2373727634549,2128.4742823839188
6339.531755566597,2194.116516709328,1886.2171874940395,1005.9868265278636,594.7636268511415,1779.0617500543594
5564.0063734054565,2158.7689112126827,2077.925853334368,1713.4948490560057,546.703237362206,1362.028709769249
