lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
118304.87840270996,103319.61964416504,84344.52307891846,80265.6303100586,87040.33278656006,103291.31321716309
76765.10178375244,61918.57452392578,54823.188079833984,58524.38796234131,63850.09940338135,71486.65126800537
64788.24500274658,49043.96905517578,43453.1209602356,48152.91863250733,54269.78025817871,63695.34072113037
56234.11349487305,41194.67505264282,36080.3924446106,40116.87604141235,46253.51236343384,57884.07962036133
48662.57540512085,34941.20709228516,29934.429557800293,33461.84394836426,39103.4697265625,52591.71717834473
42480.33039855957,29816.793102264404,24379.14849281311,27204.80488395691,32364.47023391724,47611.14373779297
37245.48476028442,24794.709100723267,20307.757286071777,21828.307723999023,26085.2984790802,42942.15217971802
32719.895973205566,20704.46556854248,16208.004669189451,17187.725014686584,20447.595672607426,38288.24712371826
28488.952039718628,16917.145608901978,13047.551918029783,14040.749655723572,15044.423456192017,33410.83735656738
24217.08433914185,13752.440143585203,10610.820436000824,10818.935787200928,12166.186925888062,28681.34217453003
20547.19752120972,11307.597106933594,8908.720740795135,9035.076111793518,8840.070966243744,24290.594329833984
17370.784344673157,9112.863313913344,7093.666103839874,7334.712083816528,7024.476618289948,19730.979526519775
14593.230225086212,7707.625066518784,5982.962906002998,5929.0540726184845,5791.260958194733,15603.398329734802
12387.98435640335,6412.148754119873,5065.093482494354,5009.553840756416,4467.04013645649,12155.806399345398
10347.00987291336,5290.156398177147,4399.518236637116,4516.45276260376,3701.533410310745,9571.563328742981
8468.221518039703,4714.969266712666,3882.3092007040977,3973.606233417988,3194.1767258644104,7368.258201599121
7531.847214460373,3936.210022687912,3411.1406833529472,3191.0602011680603,3201.3835368156438,5477.102400302887
6702.546249628067,3445.3989762961864,2931.6135029792786,2652.4231317043304,3352.858366250992,4178.377009153366
5536.884602785111,3311.039999842644,2482.255700886249,2857.5952694416046,2364.958595454693,3406.777690052986
4819.053936004639,2797.8592026531696,2245.8712433055043,2823.700608342886,2490.593780875206,2782.21166908741
4207.235862016678,2562.741379827261,2016.489081382752,2040.142677783966,2049.716919541359,2390.085845351219
3993.682182788849,2076.571774676442,1977.4695573449133,1500.7521677613258,1743.2711153924463,2084.990489959717
3501.65446048975,1939.53510132432,1665.0398925617335,1320.2880038022995,1447.2453549653292,1771.1187087893486
3168.6224109977484,1852.5837961956856,1659.625735104084,1280.8687088862062,1094.6886002272367,1612.6924049854279
2805.927185177803,1813.931727066636,1422.670890800655,1286.6349883452058,1006.439241707325,1262.815329194069
