lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
127685.89546966551,100400.33558654784,94131.72110748292,99236.9998550415,105868.94232177734,115367.33444213867
74554.21195220947,82656.5534286499,77687.54773712158,83271.88683319092,89772.67680358887,99555.51547241211
67722.44384765625,77465.6689376831,72816.92635345459,76338.2392654419,83814.60781097412,96312.79922485352
63696.2512512207,74150.84059906006,68326.14351654053,73013.69401550293,79875.71857452393,93962.95579528809
62174.039878845215,71561.294921875,65842.48025512695,69907.53548431396,77326.07415008545,91748.65672302246
61462.019355773926,69264.56382751465,61761.48962402344,67868.7646408081,74538.38753509521,89679.0302810669
62196.74462890625,68208.59201049805,57557.626472473145,66290.60617828369,72214.51598358154,87656.74635314941
60889.71000671387,67087.62795257568,54544.65486526489,63831.701919555664,70474.25930786133,85766.3784942627
60796.99800109863,64138.34176635742,52203.73414611816,63012.32213592529,68604.13117980957,83992.89820861816
59678.70664215088,62990.43650817871,50089.33264160156,61442.48166656494,67450.61204528809,82657.32383728027
59846.90171813965,61816.088539123535,48256.35984039307,59907.00849914551,65799.77863311768,80796.62665557861
59435.59913253784,60678.32134246826,47550.059268951416,59192.32221984863,64247.78886413574,79680.97019958496
58843.32061004639,59930.07732391357,46820.28063583374,58214.54909515381,63303.12449645996,78110.29518127441
58155.90158843994,59170.18280792236,45525.22861099243,57138.19854736328,62206.961853027344,77236.57424926758
59530.54565429688,58163.39087677002,44943.61842346192,56149.043186187744,61145.07403564453,76326.09979248047
60863.027198791504,57623.42149353027,44267.00451660156,55406.70051574707,60485.20738983154,75319.29176330566
59323.689025878906,56463.04607772827,44181.07521057129,54512.447189331055,59570.37338256836,74460.67525482178
58968.4829864502,55521.79658508301,43569.79011917114,53527.0131149292,58784.96641540527,73705.06001281738
58670.46417236328,54905.360176086426,43660.84934616089,52774.64691162109,57791.09265899658,72919.48678588867
59259.65251541138,55692.88756561279,43231.2370262146,51568.38973617554,57293.79901123047,72492.86396789551
58726.28788757324,54962.63401031494,43004.26375579834,51032.07523345947,56730.50192260742,71748.15871429443
58875.16361999512,54680.59030532837,43117.07584762573,50160.47615432739,56029.691955566406,70951.70543670654
71659.7398147583,54820.15409851074,42842.2511138916,49521.84846496582,55565.09636306763,69960.81636047363
63644.52682495117,54214.51721572876,42691.476974487305,48678.44639587402,55125.62364196777,69452.29712677002
63270.58087158203,54574.80784225464,42378.48424911499,48073.27738189697,54524.9659576416,69100.38622283936
