lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
105884.63457489014,88337.04608917236,89537.17750549316,95519.86444091795,105345.35591125488,114936.63705444336
70140.87734985352,66265.25590515137,75088.18458557129,80525.2855758667,91674.53047180176,98988.8003540039
56128.15461730957,57871.92323303223,69585.68845367432,74652.52033996582,85100.9196395874,95112.92057800293
53598.90480804443,54754.88066482544,64551.79507446289,70289.3631515503,80557.9404373169,91594.91636657715
53381.33904266357,52742.415981292725,58403.557762146,66381.51654815674,77080.23648071289,88159.08905792236
53373.18598175049,50754.00440979004,52277.128635406494,63919.49337005615,74638.35110473633,85050.4172668457
51981.35485076904,48838.746212005615,48807.52652359009,61372.0577545166,72253.01039886475,83922.47336578369
61208.56412506104,49216.49559020996,46453.353759765625,59523.146728515625,70416.7922744751,82837.96140289307
54208.26035308838,49646.8917427063,44849.32535171509,57863.68090057373,68537.38499450684,81724.20997619629
54288.61948013306,49878.92743301392,43693.15037536621,56766.1978302002,67408.49756622314,80423.08917999268
53772.134353637695,48265.158515930176,43115.07488250733,55371.864070892334,65781.70002746582,79785.55438995361
53715.74346160889,47950.0249671936,42479.32801055908,54066.08358764648,64668.1883392334,78784.53366851807
55262.15692138672,48466.30280303955,42129.34415054321,53459.16704177856,63472.30076599121,78041.14210510254
53121.277294158936,49555.44509887695,41625.13623046875,52677.558223724365,62423.85875701904,77347.04138946533
52673.60858154297,49224.81706619263,41457.76246643066,52035.7285194397,61300.15500640869,76495.10468292236
53968.929290771484,49338.05923461914,41059.11599349976,51365.01181411743,60149.20391845703,75819.74367523193
52748.52893829346,49562.15277862549,40747.21114349365,50941.23400878906,59383.71067047119,75046.95998382568
53364.94160461426,49389.69627380371,40469.23817443848,50077.57068252564,58257.77838897705,74495.09936523438
53205.65828323364,48123.38738632202,40409.28717803955,49539.2689743042,57652.97312927246,74008.66694641113
53726.13344573975,47564.7182006836,39854.92602157593,48918.85191345215,57138.40160751343,73495.0110168457
54074.21368026733,47024.91069793701,39485.27100753784,48448.34471893311,56481.64342880249,72679.54411315918
53744.216983795166,47193.87985610962,39091.40347290039,47930.98089981079,55764.89669799805,72000.95011901855
53796.21396255493,47748.0472984314,38678.58639907837,47440.20372390747,55191.34876251221,71467.17092895508
52950.06528091431,47566.7541809082,38447.40845489502,46717.09991836548,54633.984687805176,70824.42610931396
52721.13055038452,47092.72149658203,38540.09827041626,46411.65967178345,54243.88944244385,70222.27670288086
