lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,,,116892.49234008788,124586.03366088869,134812.8748779297
,,,72439.4211730957,117858.52188110352,131260.79278564453
,,,50952.29154968262,89897.76668548584,124058.3836517334
,,,45547.42296218872,59481.09405517578,93719.28063964844
,,,52789.300579071045,51166.689640045166,68755.18545532227
,,,43170.312114715576,44445.99429321289,66009.94213104248
,,,38613.20492935181,41688.72995376587,48397.94953536987
,,,36077.23386383057,39368.13268661499,47842.267753601074
,,,33240.73921203613,43393.17333984375,101497.0210647583
,,,31873.760801315308,37152.33477401733,111808.14929199219
,,,31486.151042938232,34928.17821884155,105364.4105834961
,,,30850.64227294922,33589.40557098389,100875.60598754883
,,,29260.10488510132,32850.27228927612,92495.65776062012
,,,28300.000568389893,31848.393180847168,83397.50077056885
,,,28408.885471344,31028.3281993866,78477.07741546631
,,,28280.3690071106,30581.10545539856,75504.27102661133
,,,27185.990756988525,29876.557052612305,73466.58198547363
,,,27320.62670326233,29516.02699279785,73644.57179260254
,,,,28586.312839508057,71318.9953918457
,,,,28047.81584739685,66305.91087341309
,,,,27487.162185668945,63931.28470611572
,,,,27024.18955230713,60158.865242004395
,,,,26586.589435577396,58487.729011535645
,,,,26223.637405395508,56589.33394241333
,,,,25784.073499679565,55499.129570007324
