"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
134693.0998687744,108942.75443267822,133193.2640914917,115774.86753845216,118963.4573059082,152073.25047302246,95631.01233673096,95621.0346069336,99046.7586288452,103734.20147705078,100523.87381744383,101791.61755371094,96529.03360748292,94345.19953918456,93524.86909484863,98042.5938873291,94623.54243469238,94817.89999389648,103260.32298278809,99958.10011291504,99243.6269454956,105195.01225280762,100490.91361999512,100544.48433685304,110343.49116516112,108212.03469848631,105937.00593566896,111329.02043151855,109166.44889831544,107808.1838684082,122046.57749938963,118489.82524108888,117234.13020324708,123591.0516357422,118602.57939147948,116106.89012145996
82470.28079223633,79482.51016235352,74525.38404083252,86809.74564361572,79775.52049255371,89744.72827148438,78881.26634979248,76421.03219604492,80120.47078704834,84664.80360412598,82606.11123657227,82649.41479492188,79572.73488616943,78304.55792999268,77473.45864105225,81126.40647888184,78206.17180633545,77765.48309326172,88296.0591506958,82870.14741516113,81774.41590118408,89605.37502288818,84020.82553100586,83676.83027648926,95699.66766357422,94709.92784118652,89414.27205657959,97891.10083007812,95145.66474914552,92094.74766540527,104479.31825256348,100991.46397399902,100066.31733703612,106467.55220031738,102500.33261108398,98921.48313903809
75560.18991088867,70315.03900909424,64264.24598693848,77353.43826293945,73478.8081817627,69762.9555053711,72126.12471008301,68302.39273834229,71162.85639190674,79425.75492858887,75348.50797271729,77267.28936004639,74083.91952514648,73729.42347717285,72744.17329406738,75278.65308380127,73433.0592956543,72891.89002227783,80855.42147827148,76914.47415924072,76008.26440429688,82754.18595123291,77836.90515899658,77368.92096710205,89626.93952941895,88238.5283279419,84242.02445220947,92742.88929748537,89473.28952789307,85469.29204559326,99124.59246826172,95789.70072937012,96138.8207244873,100748.68161010742,98185.82955932616,95319.69331359863
72794.62943267822,62643.29182434082,62747.75930023193,71002.09202575684,69501.32215881348,64875.28511047363,66484.4210357666,64453.852615356445,65922.256690979,75322.30419921875,75417.58938598633,76264.56446838379,69855.45115661621,70302.93997955322,68896.82627105713,72254.49388122559,70269.41942596436,69836.70132446289,76623.75228118896,72907.29524993896,72786.21012878418,79004.01139831543,74223.06027984619,73371.78350067139,86459.83903503418,83439.9154586792,80352.12956237793,88727.95430755615,84824.10959625244,81777.95127105713,96398.99588012695,92546.96394348145,92833.35037994383,97942.14855957033,95702.0341796875,91982.4761352539
66061.11310577393,57755.96654510498,62846.731689453125,65953.70703125,67562.13376617432,64124.71832275391,60624.84339141846,62961.91067504883,61921.270080566406,72902.14228057861,70349.85517883301,73040.70190429688,67268.07402801514,67362.56602478027,64505.48398590088,69891.62963104248,68112.19388580322,66507.02118682861,73692.22988891602,69914.41550445557,69847.57424163818,75810.48039245605,71784.31742095947,70587.89942932129,84025.06189727783,80469.2871017456,77742.07984161377,85304.62941741943,81648.46476745605,78818.99876403809,95102.55250549316,90656.32062530518,90231.00442504884,96358.37704467772,94096.459274292,89548.24088287354
61212.16960144043,55722.54426574707,60312.42697143555,63075.8032989502,68237.29579925537,63437.63766479492,57818.94435119629,60532.81274414063,59212.0581741333,71476.06027984619,66464.62563323975,69722.85232543945,64757.68305206299,64088.84998321533,60685.13691711426,67849.20537567139,65663.63375854492,64136.42781829834,71465.0047454834,67208.45453643799,67542.36933135986,73051.79401397705,69403.25074005127,67754.67417144775,81866.41532897949,77941.71645355225,75435.9488067627,82147.16061401367,79118.65832519531,76888.91945648193,94222.5246887207,88932.81156158447,87574.50439453125,95101.55604553224,92576.99433898926,87027.82497406006
59453.96421813965,55601.62200164795,60706.52548980713,58375.30781555176,65300.00991821289,61465.52476501465,55372.72099685669,56424.39504241943,58760.80772399902,70572.39566802979,65082.67604827881,67082.47113800049,62113.357414245605,61065.81898498535,57366.30812835693,65960.94370269775,63347.2462310791,61586.59464263916,69429.28835296631,64315.74253845215,65619.81215667725,71061.71813201904,67150.52590179443,66217.3214187622,80057.68613433838,76327.01261138916,73256.12306213379,80196.08979797363,77235.45699310303,74742.34660339355,92242.64741516112,86849.71939849854,85706.40631866455,93121.88581848145,91216.71450805664,85146.17541503906
58464.20523071289,55353.47543716431,59979.57283782959,57164.7486114502,63137.809310913086,59116.3091506958,51456.53045272827,53482.64419555664,56705.89643859863,68973.98634338379,63969.11282348633,65991.65369415283,59396.27799987793,58426.19680786133,54442.67713928223,64919.547592163086,61394.65125274658,59179.54147338867,67454.15836334229,62352.08406066895,63830.37992095947,68866.2081375122,65883.11549377441,64082.1647644043,78519.0584640503,74326.59243774414,71747.01290130615,78340.47534179688,75137.55146789551,73119.99025726318,89559.5015411377,85425.36235046387,84020.22354888916,91516.829246521,89959.24920654297,83722.20713043213
56989.07942581177,54857.40131378174,59058.91277313232,55803.16688537598,64273.72138977051,59809.910861968994,51735.947719573975,52081.309394836426,57175.64974975586,67581.32772064209,62263.95250701904,63738.9436340332,57247.32555389404,56732.91397857666,52395.62933731079,62608.09944915772,59729.24341583252,56505.67922210693,65833.63151550293,60401.92003631592,62513.35431671143,67082.8773803711,64553.31921386719,62810.60585021973,77165.69282531738,72594.8338470459,69858.71957397461,76730.28211975098,73389.57354736328,71223.23139190674,87891.37773895264,84216.0022354126,82646.51290893555,90322.00621032716,88794.35410308838,82453.56507873535
57605.5461730957,55946.07099533081,57979.86028289795,56733.92474365234,61532.618309021,59124.769134521484,49303.42782211304,51425.37778472901,57938.66027069092,68113.1508102417,60175.03400421143,59903.56103515625,54713.01877593994,54662.57349014282,50588.06448364258,60991.15463256836,57917.469230651855,54137.395557403564,64289.18335723877,59314.27779388428,61216.53967285156,65713.42233276367,62745.82131195068,61694.12030792236,76137.60507202148,71033.87366485596,68541.25024414062,75645.57125091553,72324.4599609375,70189.59017181396,86664.82214355469,83056.59282684326,80883.68670654297,88989.05954742432,87594.60130310059,81309.43113708496
