"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
261948.4721069336,216544.9051818848,264458.3004837036,241570.20693969727,134858.54035186768,153935.14543914795,145270.09049987793,105112.25207519533,108213.67054748537,144457.24578857422,145723.3281097412,86416.86224365234,99383.66596984863,101790.78482818604,142073.72534179688,101615.34606933594,97074.1799850464,51924.65795516968,98192.3433227539,99758.79865264893,97801.69268035889,104313.26956176758,101305.20771789552,97784.95018005373,111597.990524292,109223.663772583,106406.08448791504,111106.43222045898,107810.17459106444,107358.52249145508,124205.9370880127,119672.7784576416,117109.24432373048,122765.39210510254,118158.2304534912,103688.59915161133
108792.10427856444,103415.74156951904,118946.50172424316,152720.82438659668,176698.7802734375,120282.48652648926,143219.77000427246,93893.1510925293,93362.8088607788,143108.3657989502,143141.20219421387,104345.45874023438,88182.32891845703,85726.2769165039,142817.9984741211,86962.49128723145,89097.34814453125,101657.33053588869,93846.33168792725,85468.36501312256,87406.49440765381,90729.17818450928,87143.66094207764,83492.66948699951,97559.91275024414,94712.523147583,92792.6519165039,97150.78578186037,93595.18976593018,92355.6502609253,111159.8628692627,106240.95475769044,102904.46141052246,110964.9222869873,109164.2857055664,90347.65528869629
146040.7245941162,100914.16941070557,144422.1728363037,143640.92391967773,144754.4192047119,146072.50509643555,143183.0492401123,90473.66088867188,86065.6319656372,143353.34422302246,143367.3418121338,88417.15090942383,82270.08288574219,79787.59761810303,143135.11280822754,83530.3000793457,83663.82048034668,86169.40424346924,87498.06495666504,80223.67460632324,80494.5379486084,84224.43001556396,81542.7025680542,82743.38540649414,90857.17116546632,88738.62935638428,86960.86687469482,92489.15675354004,88184.8231124878,87058.32350158691,104686.07495117188,100413.21852111816,98465.263671875,103921.49621582033,102776.54165649414,88095.92041778564
143228.01335144043,100403.71654510498,143933.8217163086,143156.00184631348,145156.00386047363,145779.17892456055,143151.67401123047,90390.26719665527,81748.0366897583,143228.29064941406,143169.59996032715,83581.43644714355,77753.11759185791,75020.96301269531,143150.90460205078,82641.58627319336,79120.0594329834,80479.04612731934,83350.18702697754,78508.29888916016,76713.03130340576,79425.18173980713,78259.01113128662,74354.34783935547,87950.37670898438,84410.32458496094,81724.09806060791,88655.73370361328,83883.96910858154,83330.05228424072,100770.9506072998,97399.80418395996,95973.78894042967,100521.11152648926,99005.32490539552,85273.91732025146
143852.34036254883,272034.76205444336,143520.7486114502,142908.21478271484,144234.72254943848,144777.07479858398,143110.2629547119,87996.87662506104,79523.3377532959,143135.32151794434,143198.86892700195,81414.26705932617,75058.68895721436,71743.74370574951,143128.8080291748,81043.59590148926,76004.13214111328,76403.7501449585,79715.01472473145,73826.9076385498,73628.49042510986,76173.75608062744,75789.6019897461,71839.35816192627,84973.17040252686,81200.86054992676,79192.79837799072,86091.44613647461,80576.30461120605,80756.06121826172,98396.2820739746,95228.7996826172,93461.8295211792,98373.77040100098,96177.42636108398,82821.12549591064
143348.11395263672,146144.48335266113,143391.16427612305,143263.08239746094,142949.33702087402,143592.20036315918,143214.62620544434,85269.5279006958,78665.87014770508,143072.08143615723,142934.74856567383,76796.92964172363,72984.46524810791,72285.8281173706,143089.46044921875,77294.25643157959,73480.36580657959,74677.56326293945,77184.88552093506,71287.13333129883,70052.73600769043,73849.40086364746,72136.54499053955,70246.78201293945,83098.39269256592,78331.61888885498,76711.7046661377,83638.04376983643,78312.5083770752,78143.39946746826,96587.31286621094,93511.91166687012,91442.8499069214,96763.5703277588,93479.6565246582,81268.97525787354
143463.62718200684,145608.34771728516,143262.31001281738,143413.89901733398,144270.00846862793,143394.09355163574,143087.62368774414,82870.33480834961,77813.18572998047,143002.9819946289,143199.4817047119,74138.84460449219,70913.82696533203,69067.02703857422,143086.97018432617,75778.44664001465,72660.47255706787,69697.13186645508,73759.70608520508,70214.87375640869,68352.1064376831,71315.97021484375,70669.5431137085,67898.03877258301,80995.60612487793,76171.43046569824,74712.67908477783,81053.79260253906,75679.65356445312,76011.63499450684,95143.03503417967,91805.62697601318,89357.92864227295,95425.59553527832,91507.46586608888,79512.31188201904
142968.13804626465,145909.93893432617,143287.7112121582,143262.98747253418,143589.94401550293,143424.10090637207,143080.06077575684,81282.10371398926,77151.08003997803,142980.38676452637,112229.70805358888,70552.9242553711,68638.7169418335,66523.19729614258,143096.677734375,74807.45359039307,70536.20305633545,70360.44901275635,71908.81127929688,67459.45445251465,65986.90316009521,70233.53129577637,72990.09503936768,64799.49249267578,78989.77603912354,74175.56063079834,72666.6118927002,79328.75086975098,74442.0983581543,73582.71364593506,93779.34143066406,90394.83742523192,87593.77974700928,94223.7244720459,89559.04775238037,77504.46368408203
143745.3701171875,146149.79335021973,143248.63583374023,143163.63436889648,143416.29972839355,144681.79817199707,143011.57778930664,81787.11364746094,75182.4068145752,142983.55499267578,94056.84837341309,66869.03664398193,67924.9680480957,64040.462577819824,143057.41032409668,72573.4718170166,68011.70227050781,67287.79515838623,70424.55587005615,66330.0604019165,65582.00421905518,68258.81829833984,68869.60782623291,64675.5152053833,77479.7449798584,72516.00318145752,71672.71008300781,77884.27397155762,72899.37516784668,72306.57600402832,92490.5729675293,88872.09798431396,85551.9497756958,93106.47276306152,87601.20615386963,76583.60149383545
143504.4622039795,145894.4330444336,144241.8081665039,143141.50129699707,143319.1375579834,144298.96089172363,142994.44590759277,79497.2226486206,75602.69998168945,142993.64656066897,83969.01246643066,65724.98658752441,67096.94799804688,61312.62278747559,143046.98370361328,70881.98473358154,65123.90245819092,66909.54011535645,68638.1986541748,64984.56103515625,63699.976387023926,67114.91445922852,66938.10977935791,62618.16753387451,76144.9931640625,71384.87950897217,70748.00260925293,76570.96949768066,71829.11991882324,70754.23805999756,91559.76412963869,87397.08178710938,83932.20478820801,91969.50202941896,86416.72647094727,75152.8920211792
