"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,,,,,,,118182.89976501463,114886.65200805664,115924.6453704834,119463.13133239746,121552.9931564331,146004.73245239258,127873.64178466795,122879.70736694336,118398.7325592041,126899.59614562988,121934.05136108398,120205.64895629884,135839.74298095703,133965.14112854004,131342.80374145508,135877.0075531006,135017.38821411133,132849.82528686523,136689.45095825195,135893.6435394287,136209.4010925293,136951.62271118164,136055.49070739746,135629.59477233887
,,,,,,,,,,,,,,,,,,219329.8910522461,149984.59365844727,227587.2997589112,,177499.18505859375,121727.69862365724,141324.15548706055,139864.1371459961,114204.15631103516,139578.21565246582,140406.39109802246,121853.58029174805,133742.201461792,136500.52583312988,134005.50953674316,132708.31311035156,135795.40733337402,135624.26667785645
,,,,,,,,,,,,,,,,,,191552.6521759033,,,,,142023.63694763184,126597.28860473631,123826.67283630373,109388.6886291504,128018.00909423828,123113.6551513672,127161.5470123291,136974.21292114258,133151.6555633545,129637.85231018066,135351.9564819336,133648.8953704834,132139.74710083008
,,,,,,,,,,,,,,,,,,131008.93829345705,,,,,109456.36763000488,118380.60195922852,111598.5236968994,101699.630859375,117709.14324951172,110164.16787719728,109882.95707702637,134160.89204406738,127731.59471130373,120859.89151000977,133473.0014038086,126907.76892089844,124109.26628112793
,,,,,,,,,,,,,,,,,,,,,,,,111943.41201782228,105394.64567565918,98445.7984161377,110065.15447998048,106977.31044006348,108786.1257019043,131487.09046936035,120521.95079040527,115036.6944885254,130351.32305908205,119610.3356781006,117121.94007873535
,,,,,,,,,,,,,,,,,,,,,,,,106462.6513671875,102213.84294128418,95830.80369567873,106064.61988830566,101961.6972503662,103996.97611999512,126376.10684204102,115803.54876708984,110762.2878112793,125280.9241027832,115485.2495727539,111825.83215332031
,,,,,,,,,,,,,,,,,,,,,,,,102877.14497375488,98591.67784118652,96398.30392456056,103477.9874267578,98750.7003479004,99252.74728393556,121673.53413391112,112151.3009185791,106190.03639221191,120303.2061767578,111935.37185668944,107452.83540344238
,,,,,,,,,,,,,,,,,,,,,,,,100924.94258117676,96999.18673706056,92441.75035095216,100960.42004394533,96721.50010681152,96012.976852417,118293.9983215332,109214.3353729248,103098.9450531006,117281.1473388672,109332.4826812744,103902.40870666504
,,,,,,,,,,,,,,,,,,,,,,,,99029.68452453612,94748.6075592041,90588.85681152344,98896.83688354492,95771.97633361816,93269.73191833496,115528.38690185548,106548.59355163574,101644.19631958008,114659.12294006348,107207.98046875,101922.31715393066
,,,,,,,,,,,,,,,,,,,,,,,,97231.12773132324,93445.67805480956,89003.33394622803,98130.22012329102,93841.29888916016,92432.59952545166,113052.39012145996,104510.00495910645,99900.61219787598,112781.76446533205,105244.10707092284,99919.83227539062
,,,,,,,,,,,,,,,,,,,,,,,,96373.42152404784,92205.09671020508,87424.50093841553,96270.76348876952,92997.72645568848,89913.34226226807,111301.16781616212,103130.42797851562,99233.6779937744,110943.84924316406,103850.47473144533,98939.10752868652
,,,,,,,,,,,,,,,,,,,,,,,,94635.16438293456,91237.61730194092,86214.9744720459,95530.28887939452,90566.75332641602,88462.93405151367,109512.08967590332,101886.74082946776,98177.74293518066,109328.4054107666,102833.84524536131,97715.00486755371
,,,,,,,,,,,,,,,,,,,,,,,,92852.13662719728,88841.05132293701,85013.72328948975,93562.97724914552,89505.33366394043,89395.71478271484,108167.9951171875,101118.61901855467,98078.72416687012,108156.43104553224,101541.48608398438,96510.42549133301
