"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,,,,,,,126370.2239074707,123907.38386535645,123998.34909057616,128029.46144104004,123966.73207092284,123817.39421081544,128615.01036071776,125123.23043823242,123991.75849914552,128349.88874816896,124690.20741271973,122965.72006225586,133461.9807434082,132614.59608459473,131795.1307220459,133576.66645812988,133119.99394226074,132570.27433776855,136953.9503173828,137038.72480773926,135804.44290161133,137643.81755065918,136625.33688354492,136262.68676757812
,,,,,,,,,,,,111172.44314575195,104532.98834228516,101866.60884094238,114480.97407531738,103396.71249389648,102245.26737976074,114528.86402893066,108907.05081176758,107229.02864074708,114882.87817382812,109416.4370880127,106688.3471069336,126983.3942718506,119373.77018737792,117278.91151428224,126638.2167816162,120875.67027282716,118383.57911682127,132608.4274597168,133683.07235717773,132064.38467407227,134373.46543884277,130981.64305114746,133195.86795043945
,,,,,,,,,,,,100685.04568481444,93742.24457550047,90660.20799255373,101665.87370300292,93821.31758117676,89824.82704925537,107642.9476928711,101249.64784240724,99139.97778320312,107448.5347290039,102566.01892089844,98648.31549072266,119650.21905517578,109389.78648376463,106424.50213623048,117155.1185913086,109642.57159423828,107196.64225769044,132690.32177734375,131969.32708740234,125821.62812805176,132698.45390319824,126780.23239135742,129595.09927368164
,,,,,,,,,,,,93889.66806030272,86539.63403320312,84374.2880859375,94477.0800933838,86980.38752746582,81703.62925720215,102797.29649353027,96409.56689453124,93506.56037139893,102634.6312866211,97201.3845062256,93426.05167388916,110930.74835205078,104872.66409301758,101936.61926269533,110996.14793395996,104860.74235534668,102620.53761291504,129698.70358276369,125770.09330749512,121726.2903137207,131299.01528930664,122584.12533569336,122444.9482421875
,,,,,,,,,,,,88403.75923919678,81571.95532989502,81941.38134002686,90148.94217681883,84222.05137634277,79048.81300354004,98393.09176635742,92492.48291015624,88549.49452209473,98532.7642211914,93152.05352783205,88706.53282165527,107120.34997558594,101457.3739013672,98932.80781555176,107371.1329498291,101672.1807861328,99264.88961791992,125804.9631652832,119593.87145996094,114706.5557861328,128505.60359191896,116765.96630859376,116157.70822143555
,,,,,,,,,,,,85063.35847473145,77753.41719818115,77005.23069763184,85046.63439178467,82373.79080963135,74113.47583770752,95375.0433959961,88819.86505889893,85387.17459106445,95411.58235168456,89965.74317932129,84852.16110992432,104815.71006774902,98969.61267089844,96314.15696716309,105017.58465576172,99314.3822631836,97275.44276428224,124033.0901031494,115105.56274414062,109058.7417755127,124791.9487915039,112277.15916442873,111082.54341125488
,,,,,,,,,,,,82333.53412628174,88856.26404571533,77805.93211364746,82072.1597366333,80756.2428817749,80728.39417266846,92918.3636932373,85563.45107269287,81876.19045257568,92815.64249420166,86941.68142700195,82192.1616821289,103235.32257080078,96586.42129516602,94419.1358795166,102535.9525604248,96953.0910949707,94778.09227752686,122069.75581359863,110714.69346618652,105557.71273803712,120596.77917480467,108910.80039978027,107321.36715698242
,,,,,,,,,,,,78543.94303131104,76054.14351654053,73440.01070404053,78830.0803527832,75148.60424041748,81721.76680755615,90013.28282165527,82950.7077255249,79342.79402923584,90161.22523498537,84729.6138381958,79164.21098327637,101231.15892028809,94779.68305969238,92622.13572692873,100375.65538024902,95230.87512207033,93193.01066589355,117345.62496948242,107712.39533996582,103497.93759155272,116653.18501281738,106281.9644317627,104000.34243774414
,,,,,,,,,,,,77802.90480041504,76162.32837677002,73500.01470947266,79493.83797454834,73409.58710479736,75767.05309295654,87965.76720428467,80546.53168487549,76707.70623016357,87815.58902740479,82583.38017272949,76751.43963623047,99858.95140075684,93156.7366027832,91373.95063781738,99292.1933746338,93412.35285949708,91387.41075134276,113393.72520446776,105245.40187072754,101863.19627380373,113041.67420959473,104280.49426269533,101821.39097595215
,,,,,,,,,,,,74635.9546585083,77764.47274780273,79024.23649597168,83953.09072875977,71410.98413848877,72472.10443878174,86214.00273895264,77771.19246673584,74767.35218811035,86110.50212097168,80358.4162902832,74388.9161453247,98439.25898742676,91860.37051391602,89600.99845123291,97734.45864868164,91899.3585281372,89985.99083709717,110376.43267822266,103550.10145568848,100449.44577026369,110259.84504699708,102850.97662353516,100599.96353149414
