"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,139837.6325378418,,,,,,,125042.14024353027,,,,118214.0267791748,114632.52670288086,112094.8992767334,119953.25817871094,114697.04606628418,114454.62692260742,126693.58209228516,121345.25769042967,120265.67704772948,125228.8666381836,122607.33976745604,119227.30812072754,133695.88090515137,132211.9148864746,129670.36294555664,133909.35583496094,132602.2914276123,132069.09677124023,137649.1314086914,136292.51127624512,136005.66877746582,136780.75555419922,136131.7512359619,135924.85591125488
,,,,,,,,93541.63020324708,,,,100188.74584960938,93421.35214233398,90220.80557250977,101357.8917236328,94218.40117645264,91740.44512939452,107463.26860046388,103034.89692687988,100952.39765930176,106886.27574157716,103930.48751831056,100673.89660644533,125449.31086730956,116086.91139221191,115386.43881225586,126228.33125305176,117581.83114624023,114529.85789489746,133439.8346862793,132565.66352844238,130529.40196228027,133012.45344543457,131840.07487487793,133109.92721557617
,,,,,,,,84295.72720336914,,,,90483.55813598631,84395.03080749512,80406.89079284668,91728.77885437012,84852.09816741943,82477.99649810791,100459.76383972168,96459.15632629396,94305.10084533691,100349.9637451172,97301.95475769044,93506.27322387695,113866.66160583496,104616.716796875,103912.97793579102,114314.62510681152,106856.61776733398,104276.81370544434,134020.13215637207,130364.29344177246,124801.31182861328,133026.38786315918,129220.4546508789,126179.48895263672
,,,,,,,,82006.57043457031,,,,84046.57295227051,78915.29941558838,74286.19017791748,85592.7063293457,79904.36381530762,77442.25255584717,96279.6181640625,91930.96990966795,89455.85153961182,96487.21238708496,92667.43671417236,88902.30372619629,106100.11064147948,99577.8941192627,98977.78266906738,107260.28973388672,101099.4630279541,99960.13236999512,132370.49891662598,124029.10247802734,120209.20498657228,130644.4665222168,123198.75245666504,122244.70623779297
,,,,,,,,78391.13840484619,,,,79180.36934661865,74229.13715362549,70256.91199493408,81052.03746032715,75513.77703857422,71970.21552276611,93101.1456451416,88619.35095977783,85520.61972808838,92789.24313354492,89310.26614379883,85086.57662963867,102819.73071289062,97272.1975250244,96199.60360717772,102784.2940826416,98511.33918762208,97786.72196960448,130262.89208984376,117888.30870056152,113106.2073059082,126462.58990478516,118521.38352966309,115973.09945678711
,,,,,,,,76715.00546264648,,,,75370.06230926514,70645.47525787354,67133.0774230957,76491.9867553711,73734.69034576416,70395.90245056152,90423.6565170288,85826.63905334473,82769.46251678467,89758.14585876465,86306.69969177246,82293.77439117432,100327.40005493164,96734.69651794434,94786.54878234863,100549.19847106934,97277.349609375,95601.83317565918,126845.12086486816,113718.35261535645,108261.27319335938,121490.19082641602,114882.01071166992,110682.54461669922
,,,,,,,,,,,,72385.98872375488,73529.79139709473,63323.7008972168,73642.20984649658,70318.00902557373,65428.381675720215,88335.00745391846,83018.9517288208,80181.17247009277,87280.50108337402,83658.45506286621,79282.76667022705,98653.9584197998,95372.71060180664,93150.54453277588,99696.54368591309,95466.83660888672,93535.70343017578,122602.74333190918,110195.30308532716,104884.06939697266,117229.03018188477,111249.05380249023,106880.09298706055
,,,,,,,,,,,,70408.46281433105,70825.45346069336,69567.29522705078,69963.95593261719,77083.45329284668,71751.71865844727,86142.92757415771,81045.51181030273,77877.67338562012,85231.09621429443,81396.59084320068,76877.43670654297,97551.05714416504,93589.42443847656,91494.66352844238,98034.58558654784,93844.67951202393,91639.56616973875,118376.04122924805,107643.52909851074,102544.23948669434,113333.61708068848,108372.50271606444,104191.86779785156
,,,,,,,,,,,,71346.90214538574,66380.86908721924,62463.71172332764,68650.81862640381,71193.2455444336,70905.12474822998,84343.77197265625,78978.68794250488,75906.74662017822,82658.70122528076,79273.46643829346,74131.53914642334,96962.82989501952,92257.59030151369,90217.26499176024,96977.4973449707,92299.59310913086,90175.25708007812,114754.2004699707,105418.3730621338,100693.57760620116,110226.12745666504,105823.03033447266,102410.00317382812
,,,,,,,,,,,,69038.23094177246,67546.42004394531,60206.82785797119,66022.35751342773,65378.00295257568,69712.33619689941,82840.03033447266,77271.01835632324,74107.33177947998,80661.7903137207,77450.48262023926,71709.21569824219,95773.05958557127,91123.48580932616,88369.75759124756,95897.23307800292,90876.17864990234,88569.53594207764,111641.1213684082,103679.2940673828,99294.24507141112,107979.75570678712,104208.20861816406,100973.13996887207
