lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,,122820.4242401123,122495.55824279784,130050.85246276855,133829.7239227295
,,100031.43185424805,105047.3938293457,114296.5463256836,128242.64624023438
,,90432.97924041748,97721.00067138672,105144.14666748048,124775.39865112305
,,83312.09865570068,92277.66827392578,101557.53881835938,117763.51727294922
,,80981.16662597656,88040.04270935059,98356.05380249023,110721.50996398926
,,76935.79949188232,84331.7014541626,95779.63146972656,105964.55485534668
,,81691.6510848999,81234.35554504395,93890.06747436523,103257.2013092041
,,82417.17741394043,78988.53964233398,92061.58066558838,101440.75799560547
,,77733.3829498291,76335.31761932373,90644.2230758667,99787.2632598877
,,73444.4236907959,74032.03144073486,89197.85562896729,98368.27534484863
,,72170.35964202881,72257.2879486084,87401.36740112305,97291.57768249512
,,70968.41268157959,70294.99822235107,86055.07579040527,96424.65455627441
,,67719.91827392578,68389.97310638428,85003.63985443115,95747.36325073242
,,77792.95707702637,66584.45756530762,83919.53102874756,95134.65400695801
,,70973.8095779419,65243.23910522461,82806.37673950195,94483.34684753418
