lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
71767.97517967224,32630.30633926392,32303.6396484375,36314.72315597534,44805.332706451416,55230.99711608887
26252.39668083191,22019.575819969177,20562.10804367065,23033.295742034912,29858.542072296143,36951.6269569397
24731.26280784607,19866.44042682648,17672.786043167114,19655.81946182251,25684.28651237488,33524.220027923584
24383.874594688416,18505.923791885376,15620.09625339508,17689.681762695312,23180.4716091156,31111.147384643555
24279.77946472168,17412.12319946289,14112.496828079224,16103.935985565186,21451.71346473694,29286.882413864136
24253.48526096344,16996.563289642334,12595.071161270142,14682.701655387878,20034.071177482605,27811.06417274475
24242.882862091064,15927.192378997805,11263.744720935822,13343.714923858644,18865.1418094635,26608.671772003174
23647.170335769653,15402.589257240295,10159.186777353289,12077.393827438354,17949.48978996277,25582.646730422974
24393.21397972107,14782.851760864258,8963.442999601364,10764.77287197113,17056.07421016693,24630.48703956604
23738.63786411285,13793.80746936798,8112.972343683243,9719.513938426971,16292.747636795044,23859.082006454468
25284.976514816284,12841.737322330477,7350.8425887823105,8592.31667804718,15652.865085601808,23080.46875190735
23774.9135131836,12940.3111205101,6475.961602330208,7518.0272035598755,14947.948951721191,22499.254970550537
24661.750925064087,11933.363523960114,5772.439425349236,6697.712217092514,14256.210557937622,21851.201753616333
24118.97041130066,11718.187061786652,5531.41497528553,5826.886564731598,13597.377392292025,21289.812620162964
25056.385502815247,11334.238561630247,4830.9099152088165,4999.426650762558,13054.92927646637,20783.30433654785
26978.876586914062,10418.84866952896,4174.283174812794,4317.070822119713,12433.254565238953,20305.448472976685
26604.749868392944,10131.039707183838,4312.436151117086,3914.3014982938766,11880.336126327516,19888.89523601532
24925.92494297028,9395.782176494598,3694.3841648101807,3403.205654501915,11256.410269737244,19412.94658946991
27100.55312156677,9344.861646413803,3800.643839001656,2911.0715439021587,10821.782164096832,18992.42881679535
25485.506022453308,8981.986717224121,3196.1258061528206,2661.9079374223948,10136.596691608427,18668.110122680664
25826.66149902344,9031.261661052704,3156.842499375344,2448.054014056921,9688.94112110138,18294.70493221283
24224.08202934265,9141.587983608246,2820.695957183838,2204.4548780322075,9091.95423269272,17943.955941200256
26781.09529685974,8256.220300674438,2401.1572746932507,1820.4564016461368,8637.700083255768,17682.46123123169
25157.055727005005,8429.064314842224,2715.804302059114,1772.2556896954777,8061.895233631134,17292.017107009888
24430.8634929657,8049.078284025192,2602.1051920056343,1810.3124596774576,7716.516732215881,17042.720401763916
