lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
40668.73247909546,25917.20858955384,26054.16590881348,32712.54571914673,41847.6556968689,53213.91429519653
19479.9017496109,17518.994821548462,17113.783747673035,21621.83587455749,28746.498830795288,36415.503662109375
18544.02849292755,15267.932516098022,14212.27356147766,18294.86358642578,24920.979888916016,32908.439878463745
17651.092948913574,13738.732248306274,11883.933839797974,16147.134614944458,22537.11905670166,30457.317720413208
17378.15510368347,12407.057772159576,9841.06512451172,14451.445547103882,20819.463651657104,28653.968547821045
16981.765630722046,11152.10917520523,7872.423815727234,12808.117743492126,19374.03077030182,27264.86182975769
16283.610741615295,10019.551337718964,6275.868025779724,11284.087624073029,18166.10627746582,26178.275882720947
16198.718255996704,8882.586639404297,5027.46763074398,9869.90986776352,17108.613443374634,25226.607593536377
15865.528913497925,7736.120383262634,3859.4351588487625,8439.170065641403,16285.572394371033,24384.19850540161
15592.102660179138,6896.285150527954,3058.791368365288,7129.699292421341,15483.774085998535,23639.62174987793
15810.539982795715,6138.382916927338,2254.8267245590687,6000.811540365219,14763.288036346436,22949.083475112915
15356.376008987429,5076.506420850754,1735.320175230503,4897.064305186272,14069.360891342165,22302.701208114624
15265.089660644531,4333.935736298561,1393.6158308535814,3966.663161754608,13359.223852157593,21701.30440711975
14810.6090631485,3710.048934221268,1024.4509942010045,3219.4008199572563,12754.364186286926,21161.678176879883
14384.313657283785,3101.377776801586,738.8161553665996,2588.5056787729263,12137.528693675997,20631.64980316162
