lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,,,117658.80425262453,115186.851852417,129011.06750488281
,,,140007.65747070312,106387.44989013672,66632.41437530518
,,,136700.23529052734,97572.9227142334,95058.55545806885
,,,136445.72505187988,85121.84070587158,81749.91787719727
,,,136302.18574523926,71888.55296325684,104869.12908935547
,,,136141.91297912598,64259.16320037842,104118.47103881836
,,,136085.84329223633,57930.02867126465,90335.25521087646
,,,135975.82733154297,51857.75617599487,79623.35954284668
,,,136095.9845123291,46708.25371551514,98126.0177154541
,,,135948.2802734375,43271.224994659424,88193.53067016602
,,,136012.96905517578,41441.79055023193,72527.51641845703
,,,136028.28100585938,40133.90998458862,67352.77094268799
,,,135961.66645812988,39080.54754638672,64081.34462738037
,,,135998.21536254883,36793.151401519775,60776.73620605469
,,,135901.37908935547,38561.09206390381,58682.46360015869
