"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
47417.7322101593,46827.67540931702,78917.2284374237,59617.3402671814,83068.14802932739,52242.99137687683,36636.3588142395,33529.23165130615,31697.78645133972,38526.95722007752,32754.22828102112,34416.488861083984,35172.502307891846,32006.762882232662,33121.63610458374,35028.62362289429,34514.5890789032,32196.545179367065,41128.49080657959,37299.68624687195,37397.71557426453,41212.887493133545,37949.6006565094,36919.78811836243,50368.113498687744,45777.48038101196,44931.2254486084,50833.367904663086,45547.78314208984,44998.74248123169,65278.2698059082,58705.86312103272,56537.22087478638,65674.06164169312,58833.919704437256,57121.23977279663
23103.39750289917,25146.7131690979,25735.396841049194,22204.18084907532,29231.02164649964,28555.87988090515,22658.8450050354,21269.3212890625,21227.31291770935,24280.132677078247,21496.78498649597,21641.33550643921,21676.111048698425,20126.82180309296,20682.01721000672,22522.18376350403,20929.483715057373,20579.946038246155,26938.22691726685,24693.4190235138,24298.778316497803,27637.52626800537,24670.68732070923,23729.675394058228,34040.7867603302,31098.47262954712,30451.8903465271,35094.74172973633,30932.514865875244,30340.69627571106,41034.07523727417,38788.12478637695,37204.75609588623,41395.000915527344,38767.89910888672,37966.13027572632
21833.61396026612,23534.73544692993,23571.07118606568,20432.651653289795,26108.17964553833,26246.06039619445,19807.34934234619,19008.3985786438,18732.09875869751,21238.22679138184,19007.93786716461,19321.64139652252,18460.80585002899,17189.011311531067,17597.293870925903,19268.944570541385,18017.11478805542,17593.822379112244,23103.988513946533,21203.35743331909,20663.16744041443,23488.93915748596,21232.94327354431,20069.2067193985,29763.15676116944,27147.73731803894,26495.18505859375,31059.071752548218,26724.957414627075,26049.492721557617,37850.21125793457,35263.85214614868,33778.77671813965,37883.16512680054,35458.97797393799,34318.73026275635
20475.17278575897,22014.14549541473,22917.50933074951,19927.735725402832,24244.73460006714,25292.09147834778,18245.143140792847,17359.706315994263,17483.22545814514,19844.509046554565,17380.408973693848,17653.307990074158,16253.458499908447,15220.319994926453,15774.961364746094,17068.884519577026,15867.213295936584,15733.120396614077,20953.63557243347,18893.803073883057,18269.687066078182,21196.128401756287,18835.41821861267,17992.143114089966,27187.871564865112,24775.37317466736,24190.042610168457,28101.048347473145,24251.719202041622,23714.38416481018,35858.8095703125,33000.03804016113,31316.028465271,35721.12384605408,33287.10319900513,31792.272342681885
20209.359315872192,21633.682861328125,22914.11086463928,19072.025815963745,23315.95108604431,24772.897003173828,17173.683638572693,16335.810932159424,16347.507247924805,18892.093054771423,16266.332255363464,16677.65575504303,14589.073750972748,13431.915674209597,14034.520765304564,15292.914026737211,14087.384174346924,14102.537191390991,19296.84712600708,17178.113124847412,16777.636810302734,19320.80539226532,17295.771273612976,16312.091386795044,25462.847410202023,23029.17752075196,22318.653282165527,26177.14009475708,22508.187099456787,21793.604108810425,34389.58950424194,31125.295391082764,29441.06390762329,34060.64308929443,31386.813577651978,30014.90493774414
19437.38562965393,20520.8616771698,22165.23172187805,18855.69647789001,22511.91522407532,24522.1034450531,16160.885530471802,15272.734456062317,15382.341302871704,18002.55926799774,15152.511066436768,15455.041051864624,13180.865512371063,11995.359960079191,12720.193807125092,13855.60955619812,12528.89257478714,12619.16058588028,17938.90793991089,15871.404099464417,15245.732407569883,18011.426630973816,15916.256834030151,14900.35293674469,24134.415632247925,21574.10116767884,21019.965314865112,24690.848859786987,21124.57282066345,20389.59314346313,33120.37905883789,29797.54014778137,28008.89550590515,32736.524433135983,29885.13844680786,28614.80482673645
18932.1174993515,20451.56376361847,21733.78171730041,18774.433307647705,22031.05022525788,27012.897666931152,15195.733826637268,14667.165782928469,14554.757088661194,17088.58070373535,14276.237490653992,14623.919152259828,11774.175899982452,10610.334066867828,11425.605017662048,12474.744334220886,11061.22587132454,11283.331680297852,16821.513971328735,14709.189598560331,14055.13938331604,16942.023078918457,14720.182549476624,13725.307691574097,22940.325805664062,20394.77835559845,19863.619599342343,23544.370599746704,19998.89203643799,19198.513835906982,32053.004707336426,28657.56060028076,26846.14310646057,31484.35862350464,28583.45888328552,27453.74420928955
18797.49233531952,20607.185243606567,21944.85264968872,18562.815583229065,21392.02354812622,23737.683101654053,14510.367950439451,13788.339065551758,13640.197266101835,16457.806183815002,13379.205461978912,13911.08847141266,10398.99445104599,9331.275141954422,10115.950409412384,10981.3091878891,9852.136668682098,9896.591034412384,15734.5758934021,13577.331007957458,12804.178028583528,15889.15756034851,13515.55512046814,12494.488436698914,21976.134954452515,19419.611673355103,18802.05637741089,22397.06047058105,19032.87825012207,18174.64407539368,31062.62063026428,27735.20974349976,25908.936237335205,30370.810054779053,27466.69011116028,26543.453971862793
18128.256459236145,20400.241989135742,21671.527614593502,17746.53616809845,21392.979544639587,23310.50542068481,13959.236618041992,12806.673666477203,12631.417377471924,15667.402267456057,12426.767951488497,12994.44976234436,9170.492732286451,8165.717905044556,8984.150442123413,9830.57668685913,8698.37692451477,9039.008370637894,14845.630515098572,12539.4165019989,11766.90223455429,14935.78256893158,12403.398913383484,11367.147634029388,20982.090782165527,18512.29494190216,18006.159245491028,21590.96275138855,18269.78417682648,17334.54440021515,30162.772233963013,26972.56538581848,25118.39713859558,29467.98127555847,26582.510738372803,25571.04617500305
17542.009789466858,20715.211161613464,21512.03895568848,17650.08912754059,20888.670864105225,23207.95514678955,13186.427896022797,12296.804481983185,11933.17480134964,15236.543997764587,11721.147747516632,12015.68569612503,7874.744050979614,7282.044883966446,8224.43344116211,8654.36096572876,7797.049184083939,7874.388972520828,13875.135613918304,11546.74450969696,10707.745244026184,13975.133053779602,11339.759133815764,10295.305448532104,20239.24412155152,17757.273065567017,17149.790616989136,20704.64033317566,17485.029069900513,16532.082523345947,29271.998781204224,26183.56456756592,24341.47536468506,28690.975816726685,25825.138513565063,24902.023553848267
