"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
118246.1225605011,120400.51237106325,182652.3102073669,188964.04293441767,182382.5520515442,428091.3287200928,39534.30014419556,36916.92560958862,38670.60887908936,40452.00033950806,39289.47748756409,35352.47982597351,38589.07672691345,33127.01082611084,38302.745931625366,35162.62766456604,35492.87585258484,34985.68675994873,40008.37924575806,37474.10865020752,36338.382400512695,41123.643102645874,38277.6592502594,36279.64308166504,48703.75988769531,44854.43328475952,44859.35894012451,49225.83730697632,45247.67804336548,43567.6695022583,64259.61220932007,57476.21116638184,56012.71310424805,65277.90079498291,57814.79074478149,55534.43516540527
41582.80792045593,117601.5606765747,104915.53992843628,58628.82827377319,86975.74818229675,138484.67575073242,35888.78241157532,29484.793550491333,35566.37382507324,36661.55027580261,43517.52921676636,27956.67105102539,30473.914447784424,29403.0226726532,33443.3666343689,30611.63719940185,32618.54238510132,29909.844314575195,34979.70498466492,32463.155460357662,32183.07955932617,32740.95271873474,31538.624992370605,32957.51059150696,37830.04531097412,35550.97341918945,35939.955017089844,39220.12776565552,37374.1729927063,34437.263484954834,44070.768589019775,41380.03128051758,41209.33860015869,45391.13617706299,42409.14868164063,40836.41881942749
64656.46242713928,132074.70823669434,142112.86712646484,73351.01223373413,219137.0550842285,138585.49673461914,32242.14267349243,34944.6008605957,41034.31234741211,29919.647603988647,50273.54975128174,37899.92134284973,33210.49957847595,30819.004726409912,26810.631940841675,30087.76815605164,34187.82674407959,36604.01838111877,31798.11150741577,33116.73290634155,35261.155742645264,35554.28946304321,31501.461420059204,29059.439836502075,36216.11105728149,33897.79210472107,36102.26488113403,37501.46026611328,36150.16842651367,33323.72838592529,42009.35963058472,39896.50863647461,39295.47902679443,42969.17548370361,40608.15698242188,39094.354106903076
139465.86614990234,142192.38816833496,139749.53370666504,44117.22108459473,138866.99034118652,138578.31800842285,46354.47327804565,29684.69145011902,61731.19697952271,37456.80005836487,36493.42583656311,31980.57648086548,27981.63670539856,27136.649751663208,30805.974086761475,29247.30445289612,34597.86661338806,32503.186418533325,29939.355138778687,30904.26912689209,29062.92664146424,30625.257816314697,30858.23697280884,29533.09542655945,34449.67276763916,32390.88571166992,33443.71341133118,35396.221618652344,33536.171937942505,33199.7899646759,40582.5330696106,38848.79668045044,38290.63390350342,41331.13034820557,39441.6395111084,37677.84316635132
138649.36428833008,140585.11544799805,139622.93315124512,139011.1050415039,138921.11569213867,138527.26959228516,39694.83608055115,42275.09390640259,67907.68557357788,37117.36863327026,39636.08815383911,35896.90051651001,27989.12401008606,31545.16459846497,31829.165615081787,28508.321355819706,36075.896045684814,37235.944469451904,28991.914011001587,30990.61390686035,29563.294105529785,30139.21781349182,29232.51366043091,27605.88039016724,33181.27229309082,30698.17282867432,31893.32008171081,34102.57676315308,31741.724767684937,30300.60805702209,39571.19506454468,37861.37790679932,36980.6720161438,40108.33504104614,38257.496421813965,36666.26834106445
140580.76712036133,139178.9898071289,139565.2933959961,138699.4697265625,138792.78953552246,138592.55154418945,40253.54404449463,31754.33344078064,65088.75184631348,36382.56059455872,40528.26147842407,40588.21740722656,28455.93296813965,25239.74665451049,36352.15310096741,29454.01165580749,28101.496509552,32337.99527168274,28075.974451065063,28823.28762054444,28449.537523269653,27947.95209121704,27487.654300689697,27828.375507354736,32035.73000526428,29805.848985672,30873.160850524902,32623.164260864258,30624.24011421204,29759.73817062378,38782.94091415405,36903.29945373535,36321.008880615234,39312.80843353272,37434.47416687012,35778.226989746094
138719.41108703613,139276.1173400879,139613.7109375,138733.73510742188,138899.25044250488,138529.0012512207,41572.97172164917,30216.52123451233,46097.73386383057,36065.05557632446,43106.02879333496,33444.9943523407,25666.02130317688,27843.193090438843,34636.266887664795,26975.34127235413,34977.37958717346,37219.72482681274,26577.71566963196,26649.43171882629,27299.28152275085,27788.76168632508,27887.204637527462,28104.810663223267,30773.50702476501,28529.11890220642,29552.910627365112,31662.59521484375,29634.45139503479,28164.15277671814,37995.36507415772,36243.47905731201,35105.54326248169,38471.97454452515,36470.079204559326,34956.52222061157
138727.2501525879,139163.63328552246,139749.51594543457,138661.65557861328,139156.9133605957,138547.03498840332,45269.30726623535,29524.74698448181,48548.31775665283,36054.88076400757,43616.85765457153,35283.39333724976,26398.895126342773,30746.405042648315,30358.443561553955,26767.238256454468,33140.30268859863,30975.094303131104,25882.743001937863,26345.924501419067,26024.491971969604,26577.23641395569,26041.526763916016,26345.456228256226,30006.789751052856,27970.529067993164,28445.429609298702,30381.86249351501,28747.944734573364,28125.634742736816,37343.76950454712,35322.75624084473,34579.89161682129,37683.28845214844,35778.088010787964,33947.723667144775
138485.09770202637,139136.4501953125,139239.17672729492,138568.23608398438,138711.3868560791,139192.49713134766,35361.32572555542,30678.485511779785,53454.49081802368,34510.79020500183,46022.18493270874,37042.77737426758,26225.245489120483,24365.847188949585,28472.157567977905,25470.19641685486,35715.87861442566,30645.64970970153,26434.086057662964,24786.721048355103,26810.74115753174,25872.22673225403,25939.663734436035,25635.228591918945,29221.00452041626,27058.102712631226,27470.44382286072,29651.5700340271,27812.67951774597,26645.636959075928,36850.09590911865,34562.107318878174,33479.32390975952,36951.49008178711,34603.7379989624,33086.72826004028
138366.15756225586,139339.63050842285,139151.96133422852,138506.94859313965,138503.40522766113,138757.6329650879,42007.25557327271,31815.43110847473,48151.13766098023,34861.27381324768,40012.31484413147,38846.48837661743,25309.529472351074,25291.36158657074,35109.79308128357,26623.112461090088,31490.55202293396,30398.6179561615,24927.649282455444,24642.698623657227,25105.669498443604,25255.15386772156,25797.22908973694,25465.9261302948,28530.92679786682,25868.455533981323,27600.39191436768,28566.367488861084,27152.549186706543,26172.438995361328,36277.03540039063,33947.73091506958,32981.126457214355,36385.31562423706,33949.96541595459,32330.212699890137
138538.70095825195,139106.4538269043,139087.3205871582,138687.44680786133,138786.0105895996,138830.3572692871,33569.71214866638,31961.80158996582,49053.92254257202,33652.91033554077,41244.05661773682,39312.8189125061,24949.65573501587,28162.248985290527,31634.355083465576,27206.64896202088,32207.03181076049,33184.33924674988,24171.33192062378,23267.801277160645,24850.97500705719,24124.003396987915,25904.750831604004,25920.05144691468,27871.90926361084,25495.080154418945,26454.44193649292,28257.84709739685,26434.91949653625,25522.765226364136,35725.39359664917,33209.67985725403,32128.46904373169,35789.1614151001,33272.29726791382,31593.073364257812
138438.3679046631,138985.96453857422,138826.58128356934,138587.66131591797,138576.98670959473,138858.33757019043,30880.02290916443,32760.829765319824,54085.06087875366,40409.20771408081,43268.564949035645,36421.64705085754,27144.36269378662,31119.491373062134,29688.87894821167,27176.418491363525,31776.194412231445,32469.89268875122,23460.05813694,22279.27583122253,24103.683519363403,23753.50970268249,24457.893770217896,23937.07758903504,27233.410675048828,25880.849411010742,25641.08341217041,27267.31526184082,25864.158067703247,24977.60204315185,35284.16110610962,32499.663009643555,31628.590032577515,35220.53338623047,32642.60219192505,31162.312921524048
138437.20652770996,138943.97160339355,138910.69352722168,138443.24766540527,138663.78260803223,138637.8171081543,38624.3101234436,40768.64349937439,41276.26390457153,33254.28764343262,42690.32872962952,39990.55825805664,26190.00004673004,33182.11005592346,30202.17091178894,24393.52469158173,34563.896465301514,29648.415174484253,23225.40889930725,22935.36708068848,24018.13503837585,22393.294637680054,24256.75234413147,24397.74963951111,26801.821630477905,24532.620653152462,25187.01017189026,26821.20196723938,25337.736793518063,24130.45105075836,34795.27378845215,32017.16736984253,31078.515573501587,34820.247062683105,32119.039768218998,30633.625173568726
138501.443069458,138615.3650970459,139021.30981445312,138413.80490112305,178492.3498840332,138763.4324951172,32136.0631980896,63331.22826385498,45419.61848258972,35162.31293106079,37888.07725906372,43733.773765563965,27269.320707321167,28049.794610977173,33515.91920852661,27562.6794128418,27873.762892723083,30452.3182926178,23286.436227798466,21203.0166721344,22914.58493041992,22618.920907974243,23449.558053970337,22393.49665737152,26029.60875511169,24080.61493301392,24354.545209884644,26143.98232078552,24810.16258621216,23611.95819091797,34408.42984390259,31457.82314300537,30354.168964385983,34243.58219909668,31569.83439445496,29945.156270980835
138459.24620056152,138765.88291931152,139074.44790649414,138483.47016906738,159003.38929748535,138900.5099029541,43428.973373413086,89067.8049736023,39493.686250686646,38762.773876190186,43208.9471321106,42451.37068939209,23460.65085220337,28404.27561950684,31505.154991149902,24043.50143432617,28869.38214874268,32186.23076438904,22016.883394241333,21455.936199188232,22896.716567993164,21864.75429058075,22923.72636604309,22639.2385597229,25543.099689483643,23677.21053791046,24009.708963394165,25632.607578277588,24274.08304595948,22530.34645557404,33923.515522003174,31062.96276283264,30032.330368041992,33733.53255081177,31017.60963058472,29607.257345199585
