"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,,59847.79460144043,92972.12297058104,72849.26224517822,,,58211.10777282715,52105.094760894775,50866.65676116943,57120.848304748535,49206.31171417236,52244.87749481201,70684.93354034424,61189.01515197754,58826.31700897217,69532.82815551758,61605.30677413941,59979.974796295166,99597.7368850708,85001.36267089844,84686.81848144531,97974.07567596436,87297.38339233398,79345.13250732422,136395.21231079102,130398.1797027588,133547.88598632812,136915.8975982666,128169.2823638916,134039.07110595703
,,,,,,,,,,,,,,,,,,41399.273220062256,36468.15211105347,34871.73038291931,40385.64261627197,41987.068981170654,35261.15943145752,52437.12298202515,47857.71910858154,46666.4962348938,52915.61768722534,46765.52258300781,43900.72332382202,106406.69874572754,72837.10294342041,70710.50556945801,115776.81340026855,66170.42224121094,73519.5244140625
,,,,,,,,,,,,,,,,,,37890.82590866089,,63991.58876800537,35094.20769691467,,74094.8603553772,45599.10381317139,42179.06897735596,40909.12260055542,46450.14694595337,41422.78521347046,38845.34735488892,65128.770080566406,54518.88517379761,52414.95514297485,64497.82903289795,54215.46100997925,51382.42663192749
,,,,,,,,,,,,,,,,,,32838.8682308197,,78097.47938919067,,,34849.49735069275,41728.56228637695,38499.404930114746,37209.085887908936,42961.90460205078,38108.79841995239,35584.50707626343,55683.65521621704,49480.66900253296,47577.4520111084,55962.880153656006,49036.89861297608,46561.3462638855
,,,,,,,,,,,,,,,,,,40504.21141624451,,,,,27432.96794319153,39186.38652038574,35636.82410430908,34616.82082748413,40138.13388824463,35638.56732940674,33467.048110961914,50286.81280517578,46403.92054748535,44585.97053146362,51518.93550109863,46579.42039108277,44306.51412200928
,,,,,,,,,,,,,,,,,,35585.65574455261,,,,,25355.757188797,37150.68335342407,33563.226581573486,32542.991773605347,37870.140117645264,33502.84786605835,31705.765201568604,47328.5517616272,43994.329875946045,42935.09443283081,48520.38489151001,44422.64766693115,42918.378341674805
,,,,,,,,,,,,,,,,,,29868.321228027344,,,,,24020.860733032227,35571.00768661499,32185.6755695343,30873.569217681885,36216.2108001709,31775.73323059082,30239.02813911438,45430.576587677,42170.63620758057,41324.072452545166,46473.66912841797,42698.81200790405,41369.39799499512
,,,,,,,,,,,,,,,,,,28352.811779022217,,,,,22930.265426635742,34041.17767715454,30613.789079666138,30379.519788742065,34801.532497406006,30454.193550109863,29083.85573577881,44095.66374969482,41113.372661590576,39993.23038482666,44790.864654541016,41197.54749298096,40102.7223739624
,,,,,,,,,,,,,,,,,,34619.88566017151,,,,,24036.63158607483,32841.61536407471,29446.536693573,28514.8390045166,33542.014335632324,29944.07250785828,28299.084535598755,42961.26836395264,39798.26985549927,38817.79516983032,43665.22580718994,40058.65867996216,38970.999923706055
,,,,,,,,,,,,,,,,,,,,,,,21683.68564414978,31755.377479553223,28777.935020446777,27954.065893173218,32527.92568397522,28495.510284423828,27363.169563293457,42086.50416564941,38531.55138397217,37890.27488708496,42568.19055938721,38774.753997802734,37782.09050369263
