"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,,,,,,,70877.85787963867,58278.1989440918,56129.4013633728,67269.28062438965,58515.09457778931,57789.20399856568,78387.2674369812,68854.25231170654,61518.45834732056,78420.9220046997,67307.82962799072,63214.25411224365,106643.47782897948,87695.06845092773,87028.23463058472,101444.7857055664,93343.5962600708,87713.56090545654,136343.62831115723,135499.36471557617,123118.32579040527,136956.80996704102,134563.35397338867,131961.2700805664
,,,,,,,,,,,,36590.18432998657,31879.075756073,30975.46760749817,36384.29651641846,31184.98159980774,29677.750747680664,42306.21844863892,38907.11796569824,35962.00459289551,42596.02275085449,37741.44284057617,36347.21269607544,57005.55243301392,48845.13082885742,45524.56966781616,56982.28134536743,49246.48289871216,46879.49494552612,110158.8546447754,85004.1810760498,63075.28978729248,119755.90249633788,79044.74070739746,70515.11553955078
,,,,,,,,,,,,29828.83505630493,26347.744384765625,25270.052375793457,30179.36149024964,25987.28468704224,24571.66753768921,36279.17045593262,33417.985038757324,31059.451852798466,36728.72512817383,32602.08457565308,31005.151920318604,46994.19067001343,41915.36065673828,39158.12176132202,47689.840003967285,42001.11012268066,39702.54250335693,66758.54662322998,57536.82709121704,51527.56285858154,70838.41481781006,56857.02449417114,53865.23513031006
,,,,,,,,,,,,26408.015188217163,23303.7171459198,22730.57153892517,26689.01299095153,23087.95750808716,21727.25786972046,33049.09789085388,29823.779136657715,27905.725816726685,33375.59445953369,29478.45796585083,27945.701398849487,42205.413791656494,38296.12348175049,35896.62519645691,43174.57997894287,38586.1443939209,36225.90078735352,56736.16825866699,49958.1047668457,47170.083152771,58354.23612213135,50450.8769493103,48066.03171157837
,,,,,,,,,,,,24071.68935585022,21079.36584854126,20483.143688201904,24382.36937522888,21168.41998291016,19641.51097202301,30250.16157913208,27420.06865882873,25633.026903152462,30782.865398406982,27268.41764831543,25831.41338157653,39397.70513916016,35711.51556015015,33491.87650680542,39904.16340255737,35823.11688423157,33667.15845489502,51622.69436645508,46632.41605758667,44790.84397888184,52626.974266052246,47497.90215301514,45042.60270690918
,,,,,,,,,,,,22311.366683006287,19688.0843076706,19086.85749912262,22662.234287261963,19501.15454864502,18349.989686965942,28390.4262714386,25733.60627174377,24043.407300949097,28651.413457870483,25529.706811904907,24342.59600257873,37127.31589508057,33707.49650192261,31720.436571121216,37645.09818267822,33817.45977783203,31778.2335395813,48351.19226074219,44316.3688659668,42748.30953216553,49783.768283844,45864.97002410889,43041.21995162964
,,,,,,,,,,,,21065.10552406311,18435.32564353943,17757.11913204193,21265.718090057373,18379.76447486877,17212.909313201904,27207.051609039307,24278.188343048096,22891.056438446045,27251.64235115052,24088.71031761169,22866.25414466858,35596.844272613525,31903.382963180546,30038.32095718384,36039.45894241333,32097.72555541992,30201.12931632996,46596.96089553833,42738.30972671509,41366.85187149048,47430.34048080444,44092.83625793457,41184.03275680542
,,,,,,,,,,,,19918.29623413086,17348.511808395386,16841.382451057434,20134.316173553467,17349.949116706848,16089.410660743712,25910.133630752563,23000.825130462646,21633.135509490967,25959.66446495056,23024.940534591675,21898.593952178955,34221.772998809814,30548.325548172,28709.84359741211,34564.41284561157,30953.9320602417,29041.49538803101,44906.86727142334,41349.88307571411,39866.04319000244,46045.44163131714,42658.24262237549,39835.62602233887
,,,,,,,,,,,,18785.966121673584,16301.43862915039,15826.033989906313,19133.23427867889,16427.78247833252,15202.290618896484,24860.5416469574,22073.050703048702,20883.802622795105,24959.95819282532,21944.318725585938,20837.08594989777,33044.259326934814,29422.09427833557,27645.78819465637,33488.57162857056,29846.33501625061,28014.98838615417,43601.36754608154,40301.92033386231,38696.73685455322,44843.18647003174,41200.10288619995,38502.04343414307
,,,,,,,,,,,,18145.583488464355,15474.408168792725,15026.161137580872,18281.28776836396,15633.65367603302,14321.66126537323,23913.54824447632,21222.50913619995,19986.707523345947,24060.472372055054,21073.858024597168,20138.81658744812,32080.70760917664,28523.249654769897,26616.22153663636,32445.104732513428,28805.797832489014,27110.544729232788,42612.83696746826,39373.29156112671,37635.09003448486,43602.9079208374,40169.27239227295,37367.41814041138
