"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,,,,3.6113211021531136e+34,,,66077.75524902344,60560.17667388916,52227.01050567627,66978.36071777344,58878.56521987915,55862.69136810303,76157.88390350342,68047.22605895996,62557.10054779053,79528.91679382324,68067.65995025635,62454.06865692139,112430.83311462402,96928.26686096191,88328.79808807373,114980.00685882568,95429.69135284424,83466.54503631592,137322.27563476562,130256.9319000244,125652.15115356444,137291.9663848877,135608.35209655762,128435.9762878418
,,,,,,,,,7.580131783804444e+32,,,35644.14666748047,31790.687078475952,29065.95768547058,35574.35470199585,31471.26286697388,29877.286195755005,42484.23819732666,38218.81248474121,36377.30109024048,42903.98784637451,38574.55004501343,36656.91237640381,57558.76914978027,49424.57473754883,46975.92995071411,58830.68384552002,49661.26955413818,48016.903869628906,124137.6545715332,70294.0189743042,64384.53374481201,123427.0433807373,86497.08978271484,65142.56571960449
,,,,,,,,,1.9573091923469168e+31,,,29549.72695541382,26324.2849445343,23996.00425720215,29845.246055603027,26002.44976425171,24841.097339630127,36844.40676879883,33152.19395828247,31517.555974960327,36868.81352996826,33169.060317993164,31422.97626876831,46548.96297073364,41583.00983810425,39704.09496307373,46986.70030593872,41764.57744598389,41461.5458946228,73182.64846801758,54115.89967346192,51924.28783416748,71119.10785675049,58147.30938720703,51829.091510772705
,,,,,,,,,5.27308261169361e+29,,,25843.175323486328,23085.35646057129,21440.87122917176,26582.719799041748,22763.261520385742,21817.069707870483,33457.87284851074,29981.885055541992,28480.38710975647,33514.32335853577,29898.47791671753,28225.53911590576,41785.6103477478,38034.84370803833,36153.53930282593,41797.858127594,37972.60548400879,37554.73085784912,59427.6921081543,48530.718101501465,47562.760387420654,57930.78717041016,52027.098682403564,46995.83578109741
,,,,,,,,,1.3121652409425634e+28,,,,21327.58177375793,19468.75130271912,24225.010955810547,20842.07838439941,19874.92203044892,30788.060159683228,27580.163053512573,26378.92084312439,30965.52135848999,27714.73802375793,26330.12381362915,39006.5249671936,35327.2552986145,33693.33562660217,38710.1884765625,35623.14712905884,34602.95386505127,54038.37588882446,45696.35012435913,44676.05716705322,51814.28765106201,48461.97539138794,44421.88328933716
,,,,,,,,,3.468396331562902e+26,,,,19714.297101020813,17926.8955783844,22605.739132881165,19444.63180732727,18399.81343650818,28875.727849960327,26064.68590164185,24675.661289215088,29250.486846923828,25968.39225769043,24616.028802871704,37217.1685256958,33458.595375061035,31827.912433624268,36625.21224594116,33726.135818481445,32469.249856948853,50569.21015167236,43455.99050140381,42487.40355682373,48421.95222854614,46524.335552215576,42532.57342529297
,,,,,,,,,1.0100477335206658e+25,,,,18571.912172317505,16822.723938941956,21154.381585121155,18174.52858352661,17278.43818473816,27433.648365020752,24534.576433181763,23399.93876838684,27809.092317581177,24546.823402404785,23308.03233909607,35620.02687454224,31872.83066177368,30397.21192932129,35175.73326873779,32308.567306518555,30643.55724906921,48248.54991531372,41909.75759124756,40442.60197067261,46012.86839675903,44843.12487030029,40919.67948150635
,,,,,,,,,2.8889061282305183e+23,,,,17581.224760055542,15741.257612228394,20070.603726387024,17139.57351875305,16189.757905006409,26144.74635314941,23413.94631767273,22273.540057182312,26565.982131958008,23459.130237579346,22143.724906921387,34442.23779296875,30423.61399269104,29030.157695770264,33664.5505027771,30988.962463378903,29259.13118171692,46489.46823120117,40343.615047454834,38889.02923202515,44971.56524658203,43374.21439743042,39542.590965270996
,,,,,,,,,8.120311989321675e+21,,,,16711.39751148224,14750.106362342834,19133.19840145111,16077.170823097227,15353.362305641174,24939.654611587524,22397.773929595947,21239.598152160645,25755.39232826233,22431.937465667725,21243.95917224884,33149.46925544739,29248.20016670227,28003.05359840393,32645.1181678772,29771.85396385193,28126.52280426025,45297.89722824097,39292.23681640625,37640.89238357544,43519.66035079956,41834.455684661865,38300.18966674805
,,,,,,,,,2.601812792705528e+20,,,,15844.558407783508,13902.6150598526,18213.74831199646,15308.144283294678,14332.853519439695,24113.410301208496,21472.44584274292,20480.644597053528,24803.76821899414,21518.911266326904,20336.968061447144,32225.30416297913,28304.337018966675,27117.655296325684,31551.375564575195,28937.27780342102,27275.51459884644,44020.29707717896,38301.61837387085,36646.356746673584,42432.07833480835,40715.00309753418,37117.42481994629
