"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,72510.68648147583,,58543.06073188782,,,,55123.72071838379,51178.36270523071,53868.95037269592,56839.83622741699,51611.68768119812,52063.36368370056,72001.5339050293,62260.76440048218,58866.45754241943,69830.0100440979,63167.70759963989,59938.3057975769,112864.66389465332,82397.92880630493,78259.70305252075,94313.8597869873,84673.97648620605,82775.80723190308,136676.45262145996,130331.2879638672,122055.71424865724,137153.17459106445,134220.8046875,129334.32849121094
,,,,,,32960.78903961182,,26042.115341186523,,,,32473.50404548645,28343.13630676269,28716.135526657104,32870.14478302002,28557.184522628784,27970.630939483643,41119.786724090576,37096.82345962525,35718.341106414795,40886.49578475952,36694.3554649353,35773.56894302368,53961.35112762451,47643.51473236084,45055.55014038086,52362.31056213379,46959.44367599487,44318.083557128906,108026.17069244383,66654.3063659668,59654.54511260986,119091.62605285645,73553.83262634277,63347.38397979736
,,,,,,26377.456621170044,,21793.395025253296,,,,26886.08995819092,23992.59025001526,23772.42041873932,27772.911540985107,24157.256330490112,23549.16327095032,35809.69692611694,32041.707191467285,30613.81912612915,35416.03674888611,31734.143980026245,30766.45342445373,45440.54042816162,42522.0411529541,39477.17323303223,46561.59219360352,41792.28108596802,38622.10824203491,62548.16382598877,53614.03933334351,50363.14141082764,67023.03527832031,53735.57205200195,52235.17443084717
,,,,,,23178.345348358154,,19652.03704643249,,,,24066.04695701599,21476.820070266724,21166.685459136963,24608.99701499939,21642.01604938507,21249.93358802796,32357.21790122986,28837.91251182556,27642.19758605957,32114.90491104126,28705.53239059448,27905.971017837524,41451.42823791504,38687.576332092285,35871.747413635254,42997.13759231568,38483.27164840698,35291.1439781189,55094.58759307861,48824.415142059326,46385.00564956665,57147.52972412109,48668.26770401001,47610.513832092285
,,,,,,20761.09217643737,,17785.542090415955,,,,22048.92030811309,19657.319352149963,19369.2481212616,22694.59929466248,20061.201628685,19515.037537574768,29925.29299354553,26825.88113594055,25426.401889801025,29848.750455856323,26631.07093048096,25796.695428848267,38452.72874450684,35806.22040939331,33231.74823760986,40092.28940200806,35924.92554092407,32757.30976486206,51036.53181838989,45940.19123458862,43616.62377166748,52682.135734558105,45711.27555847168,44636.40394592285
,,,,,,19220.24890708924,,16575.24116230011,,,,20674.981470108032,18344.888641357426,18053.86142253876,21002.09344482422,18720.2352218628,18248.58815002441,28176.5391368866,25120.785091400143,23870.74807739257,28157.69027709961,25041.713829040527,24180.395999908447,36459.96227264404,33824.56681442261,31317.50860595703,37923.27798461914,33793.96738624573,30896.972311019897,48619.02187347412,43890.69147109985,41726.80871963501,49727.34449005127,43490.16966629028,42545.575580596924
,,,,,,17926.7824010849,,15526.130485534668,,,,19488.76481437683,17311.63791179657,17146.72521686554,19868.33710861206,17645.103635787964,17104.765265464783,26699.8768863678,23866.843900680546,22527.70095348358,26762.981662750244,23703.29802131653,22842.23260879517,34770.2910118103,32124.39780426025,29774.73092842102,36155.84394454956,32001.723518371586,29307.72647857666,46838.12160873413,42759.898082733154,40131.13449859619,47857.543395996094,42085.96387863159,40861.18016433716
,,,,,,16826.92994785309,,14524.20274925232,,,,18490.88702583313,16338.011858940125,16114.897087097168,18904.855147361755,16634.387231826782,16133.049521446228,25422.81499481201,22641.906231880188,21388.39328956604,25631.694065094,22576.641954422,21821.79954624176,33463.045850753784,30614.09778022766,28508.13709831237,34431.548599243164,30734.088228225708,28134.421018600464,45329.97355270386,41558.18691635132,38760.75075531006,46375.266330718994,40689.10145568848,39561.69247817993
,,,,,,16117.774160385132,,13564.539176940918,,,,17772.53373336792,15515.128016471865,15198.642071723938,18018.41265201569,15780.052095413208,15302.460037231443,24375.853044509888,21773.85063743592,20512.600304603577,24575.473363876343,21537.546222686768,20920.06615447998,32265.9442653656,29465.53970527649,27528.11371612549,33226.442850112915,29564.77788543701,27110.77858543396,44021.54867172241,40635.35899734497,37565.26243972778,44960.63975906372,39721.39071273804,38418.212421417236
,,,,,,15177.909505844116,,12585.03204536438,,,,16930.633107185364,14736.355758666992,14366.70624256134,17236.330936431885,15005.812313079834,14550.730220794678,23570.91350364685,20974.163640975952,19723.98793697357,23644.29369354248,20765.380716323853,20184.26179790497,31186.417736053467,28589.75716972351,26618.919061660767,32063.38547515869,28673.6882648468,26297.86506462097,42813.3208694458,39643.25675201416,36601.83241271973,43691.116832733154,38749.77881240845,37446.56352233887
