lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,,62205.61262512207,60318.65510177612,81350.6195640564,126658.76402282715
,,29952.58700370789,35299.93529891968,45728.602909088135,62998.73204803467
,,24250.976048469543,30368.04013824463,38878.84248352051,49853.492530822754
,,21567.09419441223,27107.70003128052,35355.068881988525,45304.32668685913
,,19753.754943847656,25008.230688095093,33009.38173675537,42793.293601989746
,,18584.567665100098,23476.38174057007,31034.430059432983,41137.91270828247
,,17341.784450531006,22246.359607696533,29561.64790534973,39559.48753738403
,,16250.669205665588,21028.30323791504,28434.57287406921,38250.491230010986
,,15409.007277488708,20074.07087135315,27659.04023551941,37155.772480010986
,,14511.240581512451,19310.579731941223,26534.296508789062,36190.87325286865
,,13855.137102127075,18653.9999294281,25718.752151489258,35149.231731414795
,,13102.62310409546,17995.803771018982,25006.032222747803,34462.68055725098
,,12363.325442790983,17337.81241130829,24365.87762260437,33461.41046714783
,,11585.632002353668,16782.97984313965,23709.922145843502,32774.67092514038
,,10862.67333984375,16416.61215686798,23233.316106796265,32057.843132019043
