lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,,46231.53821182251,56645.15309524536,78797.30778503418,123729.77700042725
,,26229.83179283142,33692.0213432312,43586.62196350098,58551.662925720215
,,22086.12314510345,28734.492252349854,38142.01382064819,49135.058612823486
,,19698.710436820984,26051.528860092163,34903.82966995239,45026.050395965576
,,18046.398000717163,24064.72355461121,32509.614824295044,42425.568058013916
,,16710.41118621826,22717.887271881104,30594.60154724121,40629.60340499878
,,15608.816751480104,21417.99678611756,29088.080883026123,39176.428215026855
,,14650.59609413147,20508.28916358948,27871.986110687256,37984.40591812134
,,13779.622977256777,19647.396423339844,26819.987464904785,36790.055309295654
,,12791.872594356537,18909.152894973755,25917.65920639038,35875.068923950195
,,12056.98812198639,18141.93117904663,25158.487800598145,34981.68254470825
,,11244.121856689451,17572.89691066742,24386.69593048096,34165.94007110596
,,10408.16257095337,17037.673873901367,23816.78219795227,33449.51302719116
,,9714.084639549255,16505.22327232361,23193.31860923767,32706.594675064087
,,9014.350068807602,15911.566143989565,22660.3145198822,32031.07257080078
,,8265.62964296341,15545.993907928469,22043.42329025269,31482.992265701294
,,7625.78130865097,15058.586324691772,21596.289525032043,30803.544885635376
,,7001.178025960922,14655.048199653624,21166.78584098816,30373.133096694946
,,6480.633622169495,14202.24499797821,20659.59436225891,29870.50398826599
,,6010.74927687645,13821.497693061829,20288.062921524048,29382.01344871521
,,5517.225883185864,13342.477427005768,19910.675371170044,28897.179670333862
,,4927.166282057762,13073.195535182953,19528.37294960022,28551.44237136841
,,4591.725164055824,12602.078769683838,19181.07736968994,28189.58571624756
,,4145.21024286747,12213.262935638428,18869.69249534607,27849.07251548767
,,3762.868900537491,11764.735575675964,18609.933983802795,27621.71149635315
