lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
80510.08623695374,58476.34079551697,54476.57011413574,68722.052028656,94042.08889770508,117072.80136108398
25260.74149131775,22793.67230606079,23831.97660923004,32019.300107955933,56422.25442504883,91040.11560058594
20962.951972961426,19073.85033607483,16470.58867740631,23835.037910461426,42133.14865875244,76869.42838287354
19810.64890575409,17237.988920211792,12474.21512889862,19814.832756996155,33997.781131744385,66887.61141967773
19415.37832927704,15849.4873046875,10679.544005393982,17248.19373512268,29048.56574821472,59641.6287689209
19846.8493347168,15145.486873626707,9415.256945610046,15840.325174331663,25564.762676239014,53749.97668457031
19356.740193367004,14956.132727622986,8533.003182172775,14386.554640769958,22845.436643600464,49316.51073074341
17366.33394432068,14441.167422771454,7941.228544950485,13458.293164253237,20954.885619163517,45428.36737823486
18334.884590625763,14136.329147815704,7528.849032759666,12716.93201303482,19487.096011161804,42207.391426086426
35373.96949958801,13886.329735279083,7070.86953163147,11844.469375610352,18022.68035888672,39376.994636535645
20262.59957695008,13487.752939462662,6630.441465139389,11286.04204082489,16998.62269115448,37012.52551651001
30200.963940620422,13367.361511707306,6210.292950391769,10567.853669166563,16263.139428138731,34952.837841033936
25742.97550773621,12731.619911670685,6171.013804197311,9927.003374099731,15477.092977523804,33061.13716125488
23824.13067817688,14129.458470344543,5961.3544853925705,9285.550892829897,14806.49989414215,31336.42373085022
20874.220490455627,12990.361780166626,5852.630344629288,8682.813807487488,14266.918456077576,29789.34076499939
21231.25860500336,12884.76755952835,5500.594358682632,8240.088099956512,13543.755997657776,28462.690969467163
52496.15828037262,13079.086505413055,5563.925140976906,7619.389014005661,13194.586094856262,27254.221046447754
26024.16354560852,12417.38329219818,5293.841003805399,7248.155140757561,12746.041578769684,26177.451147079468
22554.28753948212,12541.34344291687,5071.463246703148,6824.534853696823,12327.360090732574,25113.324489593506
22598.062516212463,12314.606789112093,5145.118412852287,6397.830479860306,11967.563869953156,24349.354120254517
19579.909254074097,12626.168023586271,4730.311327576637,6122.923408508301,11568.155754089355,23320.9587726593
19236.64429950714,12590.107574939728,4764.490405082703,5614.270341217518,11362.390635967256,22653.89225959778
51911.31492519379,12106.69683790207,4738.484901666641,5303.43997657299,11129.738721370695,22023.70435142517
28207.89853858948,12299.05353975296,4427.882957398891,4957.234949469566,10704.472964286804,21334.77545928955
26154.643516540527,12455.04622554779,4416.167748570442,4655.270999670029,10771.869573116302,20626.71488380432
