lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
64124.1051902771,36866.07478046417,43541.060552597046,63022.866119384766,91912.90250396729,115133.28219604492
16416.62818813324,12746.36349439621,19985.95614719391,28904.009126663208,55683.76834106445,89284.62036132812
14210.682884216309,10465.235322475432,14804.006603240969,21066.916529655457,41150.9335975647,75756.2645187378
13726.497333526611,9287.129299640656,11437.87546157837,17439.941424369812,33087.73825454712,66281.36655426025
12904.505790233612,8744.328471899033,9309.906091213226,15319.416456222534,27748.854780197144,58929.74423980713
12026.623747825624,8243.853503704071,7605.3271408081055,13824.08312511444,24004.97318649292,53155.735023498535
11886.058610916138,7936.10292673111,6842.241529941559,12758.858247756958,21452.77599525452,48447.376819610596
11475.737811088562,7827.994407176971,6300.521669149399,11743.389854431152,19260.32855510712,44644.47675323486
11377.330801486967,7635.16995882988,5894.052487492561,11244.820065021517,17560.3406791687,41257.69760131836
11107.633676052094,7286.2033162117,5521.6772377491,10593.109789848328,16355.111996650696,38524.95009994507
11308.26027417183,7341.522099733353,5250.041148900986,10092.041615009308,15193.206639289856,36092.96167755127
11290.268590927124,7174.558745622635,4893.041677355766,9612.37138557434,14358.639726638794,33829.701709747314
11328.69218802452,6992.740852117538,4763.64113175869,9077.777089357376,13570.78403377533,32053.374181747437
12762.81192445755,7108.996349811554,4476.502181947231,8647.708212852478,13038.813164711,30270.549362182617
13659.93979215622,6918.95534157753,4222.695356369019,8085.157829761505,12434.906587600708,28840.12389564514
13696.99195098877,6814.3425760269165,4070.378002941608,7610.840151548386,12028.009212493896,27519.30088043213
14350.09674167633,6785.691253185272,3907.3755443692207,7114.75496840477,11556.801345825195,26371.09084701538
14090.537972927094,6748.091529607773,3781.569587111473,6598.033571481705,11162.178091526031,25296.947736740112
13586.345950126648,6574.214527130127,3606.415950447321,6075.26891553402,10917.85512304306,24439.83448410034
13047.482575416563,6484.918167948723,3509.4576005339622,5667.446717500687,10588.433732509611,23409.17582130432
13018.995532989502,6674.12669634819,3328.5828718543053,5220.151848196983,10278.743844032288,22661.66096496582
13423.182784080504,6668.738016843796,3314.692309141159,4838.693520486355,10065.25856256485,21932.145530700684
13097.03635787964,6470.10800421238,3057.776046544313,4535.0048315525055,9768.791323661804,21200.850393295288
12951.393175125122,6252.361492156982,3014.1125680208206,4252.602120280266,9611.046278238297,20600.56250667572
13624.367915153503,6601.944477796555,2893.052058339119,3887.4284707307816,9381.495434761047,19944.51111984253
