lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,,140420.23970031738,123739.46633148192,135275.16676330566,137124.7223968506
,,136713.8221130371,138501.43615722656,114485.89892578124,136158.16952514648
,,136111.1756286621,137899.0227508545,110485.86488342284,131952.4976196289
,,135986.96731567383,137757.14413452148,98425.32849884032,126568.97059631348
,,136125.61596679688,137580.29014587402,101412.50676727296,121742.94076538086
,,135977.20210266113,137409.36503601074,79000.53414154053,116801.42916870117
,,136019.85229492188,137242.72160339355,63875.66149520874,111397.53759765625
,,135969.0940246582,137071.0997467041,47515.39126968384,106143.06285095215
,,136004.8916015625,136865.74462890625,35942.1764755249,101440.84330749512
,,135944.87809753418,136667.71194458008,26409.127101898197,84518.5932674408
,,135891.21424865723,136473.7558441162,21327.48388004303,21763.843284606934
,,135876.87228393555,136237.33847045898,18982.868944644928,17408.556906700134
,,136012.2903289795,136154.81944274902,19683.70285701752,14823.604822158813
,,135983.81227111816,136092.43461608887,23595.686398983,13174.696054458618
,,135995.4361114502,135914.29020690918,16168.750339984894,11672.743943691254
