"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
64097.25887680054,81830.91582870483,53254.91951560974,78403.33752441406,76927.41697883606,77877.88954734802,63202.58769416809,49983.71957778931,57132.331338882446,61444.31562042236,52238.03560638428,57823.23022842407,59323.58975982666,53750.26543045044,51834.06008720398,61921.06883239746,59909.42732620239,54835.78324508667,85427.47576904297,74724.89701843262,73097.5786819458,84198.93398284912,74135.72948074341,71308.04165267944,106949.15356445312,99936.0454711914,98089.80796051024,106382.12794494627,100377.68445587158,97246.1812286377,125134.96434020996,119596.12394714355,116394.1851348877,124738.49055480956,119676.77911376952,117705.77207946777
18461.90927028656,21217.300417900085,20262.0221118927,27862.04062461853,21488.4013710022,22862.53152942657,29045.82601928711,16397.806406021118,20067.62115383148,26326.003566741943,19110.57254219055,22690.277862548828,27793.85551643372,24404.861901283264,23021.4246339798,28589.45185661316,27889.600692749023,24266.817830085754,46826.48547363281,37593.95750236511,36013.08934593201,46281.86223983765,36350.36636734009,34188.21636009216,76350.54943847656,65440.25450134277,62026.97240447998,75368.42613983154,66292.62441253662,61282.772232055664,103908.60958862305,96250.2427368164,91807.0683517456,104399.36109924316,96225.5034866333,93790.05062103271
14481.161583900452,17592.035190582275,19115.33803272248,19522.09813022613,19472.178280830383,21190.419465065,19441.219504356384,11766.878732681274,15016.972851753237,16042.041826248167,14077.94019317627,17398.137543678284,20894.50861263275,18118.72968769073,15947.062361717224,22019.53452301025,20011.377290725708,16914.241930007935,33633.74447250366,27420.21614646912,26223.24800491333,33742.21034240723,26331.367166519165,24519.056266784668,61009.239196777344,50471.93842315674,46842.07490158081,60083.40254974365,51083.10725021362,45772.96213150024,92159.75408935548,82617.1598815918,78743.10144042969,92546.565864563,83767.53350830078,80752.3921508789
13138.449921131134,16215.5841255188,19134.764018058777,18918.97701072693,19181.541927337646,19786.90657234192,14906.682954788208,10294.351761817932,13410.576891422272,12912.620461463928,11866.928331375122,15375.16372680664,16876.884442329407,14578.362585067747,12539.323098182678,18349.399319648743,15461.097129821776,13292.535541534424,26840.21907043457,22692.65385723114,21433.582949638367,27376.973384857178,21685.40935230255,20186.81803512573,50784.804332733154,41642.12869262695,37963.79947280884,50444.99134063721,41797.869132995605,37007.22797393799,83986.96894836426,73063.50754547119,69565.72644042969,84031.87874603271,75037.96502685547,71467.74828338623
13167.975616931915,15850.629267215729,18118.359840869904,17930.166168689728,20254.22665786743,20611.03849220276,12363.505945205688,9489.114832401276,12348.226076602936,11600.280210971832,10917.014957904816,15300.760588645937,14291.67522907257,12213.964634895325,10508.688506126404,15878.268112182615,12418.210859298706,10987.777965068815,22984.824590682983,19699.99806213379,18643.637234687805,23534.37848186493,18875.552580833435,17919.775448799133,43753.62957382202,35759.771911621094,32162.76058197021,43610.53496932984,35567.541191101074,31236.16907310486,77588.94315338135,65619.55006408691,62595.003189086914,77696.46510314941,68199.05952453613,64224.309745788574
12754.398828029633,15527.298454761503,18358.993458747864,18954.47124528885,21424.288242340088,21661.03723812104,11534.669642448423,8922.850146532059,12219.357105255129,10792.063545703888,10572.380507469175,14220.217860221865,12241.55098247528,10447.75651693344,9306.91320991516,14209.053066253662,10480.652766227722,9691.948916435242,19997.72622871399,17664.77647304535,16452.8217420578,20572.92169380188,17005.238446235657,16176.040274620056,38619.31434631348,31375.31533432007,27885.09253501892,38705.52911376953,31128.22381591797,27365.04278182984,72158.74560546875,59581.29138946533,56961.54945755005,72235.80593109131,62516.75777435303,58591.109535217285
12390.848437309263,15477.923340797424,17856.627957344055,16511.963908195496,19080.955825805664,16477.494278907776,11062.316902160645,8502.53695321083,11642.56848669052,10213.661339759828,9734.847338199615,14033.082373142242,10647.998924732208,9198.760093688965,8421.26950597763,12842.99620771408,9398.528131008148,8707.30941081047,17949.78056526184,16011.060202598572,15188.856513023376,18761.41236209869,15721.656497001648,15080.544204711914,34665.60820007324,28088.85908126831,25007.50881958008,34684.5929107666,27879.443643569943,24410.029956817627,67712.03928375244,54770.30356216431,52441.11060333252,67748.24138641357,57902.62715911865,54108.956398010254
11973.841257095335,24107.68616294861,18061.78352355957,16401.925626277924,17185.495423316956,17001.028149604797,10978.870228290558,8380.595076560974,11328.448791503906,9908.139715194702,9610.56795668602,13732.290424346924,9254.61924815178,8265.054144382477,7857.72115278244,11443.055757522585,8279.095727205276,8151.620957136154,16541.003744125366,14900.288822174072,13998.881600379944,16934.291310310364,14786.653568267822,13873.866646766664,31478.541248321533,25397.160871505737,22531.03347587585,31632.4683418274,25177.165893554688,22193.33435249329,63826.929679870605,50626.84021377564,48627.98596191406,63890.35884857178,54025.073486328125,50326.263916015625
11668.907812595367,19746.338335990906,18025.16593647003,19298.886499404907,14621.192364692688,18255.24593448639,10187.00625514984,8310.883309841156,11032.699796676636,9791.001939058304,9191.03207707405,12946.109446048737,8309.854877948761,7509.324980735779,7274.660730838776,10115.967052936554,7722.074651002884,7818.689131736755,15129.26603126526,13731.016680717468,13021.590054035189,15988.864559173584,13835.77366399765,12982.305263996124,29044.7179927826,23509.552211761475,20558.774883270264,29046.30913543701,23273.58105278015,20221.8400850296,60299.84289550781,47204.95880508423,45385.23550796509,60349.996520996094,50791.0371131897,46961.67999267578
11866.90541934967,17352.842045783997,18216.830402374268,20339.953200817108,14863.286199092863,19778.959997177124,9913.16186618805,7954.299023389816,10738.251224040983,9363.04122877121,9031.320130348206,13444.018715381622,7461.458753108978,7059.66410779953,6894.399610996246,9038.322227716446,7263.86230301857,7245.507520914078,14135.60789680481,12992.405468940737,12210.18842601776,15129.084628105164,13217.358941078186,12481.165888786316,26974.199127197266,21784.8376903534,19034.51647758484,26954.52812194824,21495.496980667114,18759.43299484253,57282.21674346924,44180.79569625855,42644.02771377564,57313.20885467529,47760.67786407471,44339.02122116089
