"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
164312.66157531738,231626.4140319824,66519.10608577728,212473.57706451416,82550.30184841156,163132.98233795166,144571.82377624512,87640.0678062439,101905.70896148682,144955.38027954102,144439.5234375,31785.02790737152,88106.3853302002,142011.47157287598,80151.43877410889,87182.09102630615,141916.3895263672,78853.36405944824,86418.8507156372,78124.12796401978,74623.97923660278,85910.47966766357,77364.15340042114,75447.7437133789,110246.98246765137,104699.89041137695,101081.78356170654,109767.79112243652,103264.2834777832,99662.64611053468,124849.44314575195,123962.00425720216,119270.26594543456,124722.32237243652,122177.928024292,119712.25270080566
72133.92028045654,79502.2507019043,156700.11618041992,65005.12239074707,147574.62109375,78994.7891921997,143069.80731201172,34450.065782547,47697.8783493042,143059.84590148926,143183.70378112793,146913.8307800293,47478.11961746216,142897.34600830078,42759.08333206177,47533.64724349976,142741.32402038574,34833.96888542175,47553.70872116089,39809.83406448364,37024.306423187256,47073.82667160034,40206.65130615234,37543.13110733032,81606.16864776611,70492.62713623047,64750.81377410889,82852.81187438965,70763.09647369385,63990.00117492676,114887.9253540039,105629.09507751463,100696.96827697754,112001.2351989746,104526.43682861328,99981.72355651855
54350.35261917114,52031.15383529663,144665.4987640381,44820.15162277222,143362.65901184082,55409.53281021118,143232.7027130127,24573.25375366211,30265.22480201721,143267.44276428223,143057.6897277832,142905.44046020508,29962.010997772217,142981.06257629397,23704.07747077942,31176.86381721497,142939.06210327148,19399.62669277191,34814.657135009766,28347.81437110901,27073.687994003296,34347.57109832764,29619.47695922852,28003.47034645081,66105.84883880615,54678.01249694824,48290.9049987793,67325.87228393555,55445.17644500733,47847.28512573242,105057.18545532228,94182.85163879396,88481.3794631958,102374.13871765137,93548.999458313,89321.21977996826
42200.97352981568,37048.94971847534,143890.5040435791,37572.14931869507,143426.8045654297,40349.32045173645,143185.17082214355,20292.53856563568,27165.816694259644,143089.99075317383,142915.94770812988,142759.94551086426,20641.047412872314,143064.7072906494,17419.810200691223,20540.58285427093,143046.96524047852,14545.447053909302,28237.54994392395,22963.421634674072,22353.646591186523,27881.06328964233,24095.38402175904,23389.35433959961,55395.30340576172,44825.78331756592,38571.59398651123,56637.01753997803,45379.177280426025,38597.39514160156,97724.1167602539,85494.13985443115,79060.74768066406,95133.7727355957,85027.67028808594,80671.7516708374
42283.37157821655,33698.16207695007,143229.060546875,37238.01386451721,143029.2115020752,37061.714447021484,143199.7117767334,18996.98198699951,24875.8289270401,143119.9935913086,142930.21293640137,142920.3551940918,15909.550554275513,142999.25772094727,15296.967230796814,15647.452753067017,143036.15397644043,12491.784398078918,24218.637691497803,19665.252265930176,19486.898421287537,23947.07803153992,20973.361325263977,20503.314429283146,47828.44187545776,38170.27376174927,32308.056606292725,48789.46120452881,38421.38169097901,32695.91164779663,91526.61543273926,78487.30554962158,71205.9075088501,89055.61331939697,77856.42144012451,73372.13775634766
36912.34514045715,32037.90654945373,142938.16859436035,36662.15235710144,143183.74339294434,33504.50766468048,143050.51065063477,16746.17922258377,22561.680868148804,143008.04873657227,143064.95393371582,142753.58308410645,13744.78025150299,143035.05752563477,13789.76769542694,13317.427713394163,142950.6302947998,11447.653344154358,21303.976272583008,17513.82814502716,17775.21252155304,21229.747398376465,18645.30836200714,18268.16867828369,42029.65238189697,33297.7424659729,27916.075061798096,42874.58503341675,33185.937271118164,28420.3072719574,85997.67523956299,72485.99575805664,64928.461769104,83649.87909698486,71746.11483001709,67045.83373260498
35639.42711162567,30948.17896270752,143055.57153320312,34365.06531906128,143105.18843078613,29019.40920639038,142966.3986968994,16591.669368743896,20269.53962993622,142963.25938415527,142845.566116333,142656.62910461426,11805.94293498993,143001.95739746094,12639.758811950684,11584.34266281128,142920.25508117676,10654.03449678421,19324.897896766663,16072.140500068665,16390.453850746155,19367.918657302856,16895.014848709106,16746.42453098297,37709.21510696411,29779.33543205261,24630.405360221863,38280.94898605347,29341.90076828003,25358.932710647583,81077.12658691406,67376.73545074463,59578.73825836182,78587.56868743896,66513.93830108643,61728.874435424805
38731.186599731445,33529.096950531006,143276.85459899902,34175.26872634888,143065.5885772705,27320.00939846039,142964.93551635742,14703.730926990507,19377.628677368164,142983.2784729004,142815.8006591797,142613.0467529297,10817.495384693146,142972.57946777344,11786.395730018616,10868.711845874786,142882.54133605957,9935.70072889328,17775.666820526123,14998.962529182434,15184.06616973877,18081.64325428009,15571.554739952087,15608.3912525177,34210.831062316895,26876.272396087646,22287.8062915802,34497.06041717529,26407.34588241577,22850.133680343628,76722.58333587646,63009.45874786377,54856.53565979004,74226.04005432129,61847.237701416016,57163.11576080322
40072.05499267578,31676.23580360413,143319.53271484375,33176.5243434906,143304.5506439209,26650.132822036743,142939.53218078613,14534.433307647703,18375.89784526825,142943.5059967041,142804.02143859863,142600.01684570312,10198.99293899536,142941.0436706543,11463.535337924955,10290.876696825027,142914.1628112793,9812.290110588074,16547.778299331665,14115.116879940031,14210.650806427002,16722.362226486206,14420.14366054535,14628.893547058104,31331.75603294373,24603.18376159668,20352.6128282547,31614.786209106445,24068.64881706237,21097.43567085266,72904.9155960083,59085.993324279785,50914.63865280152,70251.90786743164,57806.40135192871,53079.05665588379
35912.5811290741,31110.875158309937,143503.95974731445,34470.049392700195,143430.30522155762,30864.65856742859,142761.51258850098,13431.824213981628,17139.816757678986,142846.4063873291,143004.30004882812,142737.43161010742,9632.898816347122,142962.81675720215,11340.860216617584,9891.91217660904,142919.7416381836,9162.599310159683,15419.17989397049,13271.407625198364,13571.238738059998,15897.54693031311,13731.824010849,13969.638023376465,28915.189260482788,22643.93338394165,18785.34156036377,29081.50292396545,22308.091205596924,19480.24498462677,69360.21830749512,55637.65383148193,47546.929847717285,66536.60126495361,54317.6763458252,49758.0903968811
