"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,,70290.43364620209,,,,,103380.18550872804,103455.9336013794,84153.33297348022,100961.5862121582,99593.91695404051,94216.07542037964,131250.99040222168,124314.69924926758,120751.33944702148,133011.90544128418,126422.62109375,121834.67178344728,137768.03749084473,136519.58813476562,134908.79737854004,137886.71334838867,136906.14071655273,134760.56259155273,137561.64671325684,137730.65971374512,138065.2165222168,137789.38761901855,136553.58157348633,137161.4288330078
,,,,,,,,,,,,1.9639281735537148e+23,,,,,,140380.0043334961,132671.77702331543,178045.1055908203,141786.40490722656,143041.85758972168,134590.57083129883,133703.92337036133,127636.15184020996,123522.85757446288,135204.90998840332,128263.06010437012,123056.8975982666,136806.85914611816,138184.57257080078,138008.71951293945,137313.04638671875,136829.98153686523,136085.8135986328
,,,,,,,,,,,,7.979001575054591e+22,,,,,,139863.43980407715,114967.69915771484,106084.2246170044,132281.9295501709,,205795.0176544189,126867.04176330566,115721.7921142578,107770.11358642578,128749.7315673828,116720.94387817384,109210.20663452148,137375.2489013672,136415.91618347168,135446.01150512695,137237.61331176758,134796.04483032227,132795.35662841797
,,,,,,,,,,,,6.219011623774871e+22,,,,,,212482.0804138184,103661.19245147704,134721.0117034912,182057.73095703125,,,119384.9955291748,103536.03887939452,93049.4938735962,121252.30513000488,104413.1183013916,95288.46481323242,136215.20332336426,133452.65615844727,131794.70643615723,135649.1885986328,131021.87594604492,128103.05192565918
,,,,,,,,,,,,5.064349724340088e+22,,,,,,138220.4310760498,113500.776512146,349455.9056854248,141388.0655517578,,,111019.40620422363,92508.69425201416,81043.20994567871,113070.6085205078,92440.89827728271,83210.10004425049,134562.23097229004,128823.2899017334,126809.73387145996,133019.25561523438,127417.75688171388,123669.32232666016
,,,,,,,,,,,,4.008949388773838e+22,,,,,,138235.68753051758,123608.50053405762,145132.73153686523,246713.7285461425,,,102164.8286895752,83698.58132171631,70737.69752502441,104504.41780090332,83831.58692932129,73188.26528167725,131771.8783569336,125129.16958618164,122324.57174682616,131104.71487426758,124287.1912689209,119232.93969726562
,,,,,,,,,,,,3.2858530622718784e+22,,,,,,138211.60775756836,,144532.54418945312,154334.98933410645,,,93777.70407867432,75676.96054077148,63976.82125854492,95212.71295166016,76196.05345916748,65294.62746429443,128965.69129943848,121758.96366882324,117979.69943237305,128586.22836303712,121254.43450927734,114539.82398986816
,,,,,,,,,,,,2.5947173084884413e+22,,,,,,138215.06010437012,,138875.67797851562,,,,87917.90741729736,69365.67388916016,57794.15522003174,87788.38833618164,69014.15049743652,57567.6212310791,126476.48136901855,118463.62591552734,113332.74325561523,126055.06884765624,117961.83604431152,109668.07167053223
,,,,,,,,,,,,2.085556244994428e+22,,,,,,138214.4439239502,,138816.52365112305,,,,80182.85655975342,64330.17852783203,51659.21480560303,80815.40343475342,64544.41712188721,53157.65330123901,124144.2042236328,114862.4379272461,108624.11180114746,123362.23275756836,114532.57411193848,104680.90008544922
,,,,,,,,,,,,1.7149099371592273e+22,,,,,,138204.19198608398,,144289.0145111084,,,,76212.19717407227,58975.77828979492,46650.00169754028,75601.2673034668,58193.17318725586,45275.917919158936,121907.6922607422,110814.39628601074,104261.33363342284,120676.02474975586,110560.689453125,100063.2067565918
,,,,,,,,,,,,1.322453044037198e+22,,,,,,138199.0723876953,,138675.47200012207,,,,69471.44313049316,54139.93062210083,42087.43003845215,70841.5025024414,54308.2734451294,41953.53762817383,119561.61004638672,106750.74630737305,100066.32551574708,117987.01846313477,106539.14463806152,95759.49822998047
,,,,,,,,,,,,1.1033345280232854e+22,,,,,,138208.019821167,,143786.07844543457,,,,66891.49142456055,51499.79733276367,40016.97565460205,64992.19772338867,50878.994857788086,35728.01647567749,116990.20043945312,102625.70710754396,96137.80407714844,114993.24389648438,102718.22048950195,91773.08756256104
,,,,,,,,,,,,8.794505480679104e+21,,,,,,138166.55375671387,,138741.01943969727,,,,60586.35108184815,47066.3568649292,36155.033836364746,60842.35549163818,47603.922229766846,33229.71017456055,114405.93045043944,98739.21775817873,92362.0043334961,112226.92149353027,99154.95474243164,88153.18027496338
,,,,,,,,,,,,7.054360678329475e+21,,,,,,138162.7353668213,,142978.69828796387,,,,55839.75666809082,43653.549015045166,35184.91047286987,57002.50542449951,45388.419818878174,30403.45298576355,111784.5197906494,95165.6855316162,88773.62125396729,109353.67742919922,95939.96963500977,84875.23307037354
,,,,,,,,,,,,5.598636909847049e+21,,,,,,138189.50128173828,,138718.43937683103,,,,51992.24409866333,40867.82450866699,31157.161024093628,53137.15577697754,42331.97090530396,28248.2578125,109165.33438110352,91633.87626647948,85457.53005981445,106704.05210876463,92923.43622589111,81522.23664855957
