"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,115127.8141708374,,114912.418800354,115353.3713760376,,115212.64149475098,115135.30198669434,108167.86394500732,103421.74182891846,114686.6272277832,106529.55264282228,103269.56376647948,130887.54112243652,125268.53115844728,120856.2078552246,130024.37301635742,125026.26741027832,124776.02438354492,137161.31033325195,136985.5789642334,137102.44577026367,137199.42361450195,135778.2004547119,135880.78466796875,137547.94062805176,137654.17085266113,137527.60356140137,137288.83221435547,137289.30682373047,137713.68229675293
,,,,,,102357.03520202637,,,96313.98390960692,,,82600.78963470459,68697.83989334106,60500.23324203491,83486.92671966553,66279.95222473145,59536.3285484314,110754.9659576416,97600.72798156738,88579.88634490967,110323.60511779784,96692.8936767578,91797.0918121338,132327.86012268066,128376.42390441896,126775.29495239258,130510.7791595459,125622.62425231934,122440.09080505373,137099.73976135254,137703.29354858398,138071.63829040527,136853.27729797363,137665.06088256836,136081.013961792
,,,,,,,,,5.159266663446027e+37,,,56488.39083480835,44245.34948158264,44624.62630844116,59828.40247344971,40546.97779464722,44396.050161361694,92639.80476379396,75133.91357421875,64866.43386077881,93941.20580291748,74332.62297821045,68935.86158752441,123069.72924804688,116690.9355316162,113482.837890625,122327.13514709473,114877.1113433838,108429.57650756836,137446.82487487793,135719.3755645752,135654.24639892578,137195.86682128906,135878.35189819336,131906.27401733398
,,,,,,,,,2.1201447348710964e+36,,,37984.62739562988,31463.89238166809,39786.68350028992,41123.14140319824,32230.411418914795,35873.72891616821,78003.74448394775,59335.0786895752,50262.80746078491,79215.61106109619,59261.08791351318,54311.22527694702,114996.87092590332,105082.03675842284,99134.46252441406,114268.85949707033,103748.419631958,95059.9048461914,136343.33464050293,132945.02481079102,131061.02226257324,134966.0071105957,132565.63693237305,126855.65084838867
,,,,,,,,,6.373706444417639e+34,,,37017.608669281006,26125.905323028564,32781.00366973877,31605.347122192383,32557.76522064209,33451.55974292755,66607.33489227295,48650.47885513306,40004.04085922241,67097.05735015869,48923.03842544556,43731.65103149414,106931.8702392578,93968.89741516112,86190.52687835693,106427.8560333252,93786.98481750488,82002.01658630371,134835.44290161133,128824.89468383788,125762.11563110352,132679.6760406494,128240.1524810791,122453.0260925293
,,,,,,,,,1.834874947613332e+33,,,28064.30001449585,38922.46933364868,31807.294813156128,40129.38058853149,37858.788845062256,26812.363270759583,57415.76572036743,41062.35377883911,33166.52790641785,57568.197441101074,41818.80081558228,36323.11834335327,99045.2725830078,84140.14116668701,75706.55593109131,98960.10093688963,84592.64479064941,71136.40412139893,131818.16241455078,125356.73533630373,121139.47882080078,129550.25903320312,124575.11793518066,118541.77085876465
,,,,,,,,,5.742771591197162e+31,,,29885.514063835144,37366.66104888916,37002.61506843567,28509.667572021484,25085.363206863403,33148.280662059784,50477.70727920532,35021.516040802,26794.136220932007,49472.80247879028,35718.23679351807,31574.2322101593,92026.66146850586,75818.37097930908,67594.36722564697,92360.74784088136,76990.6000213623,61874.55332946777,128781.44482421876,122261.22248840332,116706.79750061037,126693.61659240724,121010.5773010254,114337.01998901367
,,,,,,,,,1.8097226508981497e+30,,,24505.96070766449,26647.290376663208,32019.923253059387,27110.363862991333,27184.61495304108,27628.218662261963,45066.299823760986,31064.8927936554,23799.064905166622,43592.90985870361,31366.56934738159,26637.95129013061,85710.74728393555,68484.27007293701,60477.06529998779,85552.10975646973,70361.40264129639,54355.53354644776,126239.57275390624,119034.51863098145,112017.46061706544,124375.10346984863,117518.33932495116,109819.72059631348
,,,,,,,,,5.969209209176255e+28,,,16831.744775772095,15498.938873291016,24058.945630073547,17333.421096801758,28516.276304244995,20180.999497413635,40474.40521240234,27484.62345695496,21416.282685279846,38028.520751953125,27335.21584892273,24636.32993888855,79729.72159576416,62126.5111694336,55033.1587677002,79553.29847717285,64471.629219055176,47751.88441085816,123971.69639587402,115565.44912719728,107179.07148742676,122154.14668273926,114014.2942199707,105653.59449768066
,,,,,,,,,1.934261925197458e+27,,,18185.66107320785,23910.50852394104,29776.17347431183,17381.17547750473,14930.062027931212,15062.240126609802,36939.242681503296,24187.61463546753,20184.97311019897,33177.025007247925,25522.536262512207,21534.343015670776,74871.02201843262,56376.4783706665,50186.00150299072,74157.25283050537,59625.333976745605,42390.12446975708,121945.1206665039,111713.12040710448,102796.83486938477,119844.51751708984,110133.50567626952,101920.11515808105
,,,,,,,,,7.114248404260243e+25,,,16180.990725040436,22814.52993488312,25347.126393318176,17434.90774345398,16739.05428647995,15881.50101661682,33374.34464645386,22528.148778915405,16907.71567249298,30232.581550598145,22146.66079139709,20472.1290435791,70076.57661437988,51032.51973342896,45986.77033615112,69654.02495574951,55274.195457458496,37856.23974990845,119784.7346496582,107665.54319763184,98607.58773803712,117648.89418029784,106584.185546875,98107.89567565918
