"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,95549.41207885742,92503.49586105348,91773.60417938232,97638.10809326172,94263.07307434082,,107100.42532348631,96522.24407196043,89614.6759185791,106717.85022735596,95933.92265319824,90505.24828338625,131011.26969909668,124059.6831817627,122375.58467102052,131288.00131225586,125271.00282287598,120596.16500854492,137835.45219421387,137300.00134277344,134476.72424316406,136961.2079925537,136043.43533325195,136527.45114135742,137774.14421081543,137557.09465026855,137271.04557800293,137544.13047790527,137778.77647399902,137764.01008605957
,,,,,,65967.27117156982,,59719.14328765869,,66430.63171005249,,63420.011795043945,46797.04072189331,40941.02396392822,61397.75953292847,48242.74744796753,43551.73052597046,107112.3021850586,92648.43631744383,84758.38017272949,109328.69850158691,94879.67343902588,84225.93514251709,135457.21772766113,128918.48892211914,120470.08720397948,133317.8885192871,124900.04641723631,124265.482711792,136477.84963989258,137726.85362243652,136676.51162719727,137625.92532348633,138196.9803161621,137297.5569152832
,,,,,,,,52169.69265174866,,,,42250.41822814941,32586.069332122803,36759.21765136719,40522.28178787232,38651.0770816803,25740.845783233643,85395.98518371582,68791.5850982666,59681.33332443237,88114.00804138184,71500.39698028564,61673.82307434082,127075.64408874512,115952.12812805176,104606.5891418457,124333.9860534668,111219.70727539062,108785.1037902832,137269.7084197998,135637.62628173828,132610.60787963867,138309.23622131348,136665.50090026855,134642.39276123047
,,,,,,,,57642.10803604126,,,,29396.910779953003,20994.17674827576,32967.17318153381,31529.27733802796,28190.88193130493,17785.639576911926,69770.69169616699,52857.69621276856,43739.06267547608,71559.08461761475,56275.71829986572,47605.33651351929,119492.87860107422,103107.45703125,90774.38445281982,116653.52296447754,98102.24403381348,94040.53192138672,136988.03540039062,132433.86836242676,127963.04026794434,137522.2269897461,133928.5827331543,129709.27641296387
,,,,,,,,64189.73713493347,,,,22298.23470211029,15556.835845947266,25953.19538593292,22990.331308364868,38864.50861740112,14285.182460784912,58540.42509460449,41562.74057769776,33481.076486587524,59685.14068984985,45411.70201873779,37624.59331893921,111275.39964294434,91894.50759887695,79194.69617462158,107870.5824432373,87143.6163406372,82590.2294921875,135367.2964630127,128735.80377197266,123954.64395141602,136377.82427978516,129301.0200805664,125012.5975189209
,,,,,,,,69387.86783599854,,,,20661.91030883789,12433.682302951813,21437.24770450592,25303.509530067444,42990.37267494202,18665.480345726013,50066.602336883545,34091.29075241089,27342.46230506897,50995.951137542725,37091.44765472412,30615.51173019409,102660.50944519044,82394.22507476807,69654.4312286377,100059.47557067873,77771.86665344238,73111.2071685791,132905.6206665039,125270.59396362305,120286.29637145996,134202.05934143066,125535.7561340332,120856.48327636719
,,,,,,,,,,,,16140.23983860016,10713.439814090729,13435.120801448822,16980.985543251038,26123.016429901123,12897.959624290466,43755.96899795532,28793.70035362244,23400.489027023315,44113.42283630371,30757.64499473572,25690.27936553955,95176.513671875,74008.81397247314,61511.478515625,92732.27531433104,69943.57816314697,64916.08492279053,129859.14483642578,122115.85987854004,115801.15501403809,131256.72276306152,122194.23803710938,116797.12013244629
,,,,,,,,,,,,14052.214313983915,9659.883251667025,10622.279620170591,15173.429651737211,24229.55054664612,10831.660677433014,38423.26126480103,24946.221355438232,20616.097967147827,38362.82816696167,25859.2774925232,22458.74383354187,88526.4193725586,66663.5126953125,54743.08264160156,86320.79788208008,63162.06525421143,57878.77560424805,126985.1217956543,118767.11061096191,110800.89587402344,128138.96990966795,118764.22457885742,112112.75941467285
,,,,,,,,,,,,12514.099507331848,8849.491168022156,9472.934289216995,13218.873062610626,13293.628341197968,9860.191886901855,34360.74461746216,22429.57857131958,18489.82306289673,33537.097286224365,22482.584899902344,19961.7534866333,82153.86515808105,60335.287101745605,49064.92645263672,80020.07649230957,57351.396812438965,52336.39147186279,124560.86836242676,115092.034866333,106210.61141967772,125669.7247467041,114852.3365020752,107285.04371643066
,,,,,,,,,,,,11298.873653411863,37776.991652965546,8707.121602535248,14494.16542816162,12831.945416927338,8992.877839565277,30666.10980987549,20440.23052978516,17063.135298728943,29909.88765335083,20275.232398033146,18074.07201385498,76591.6075515747,54871.19673538208,44202.3462677002,74341.72985076904,51966.29511642456,47287.94931411743,122293.78285217284,111089.41876220705,102174.79626464844,123339.20417785645,110713.03706359863,102827.76892089844
