lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,96037.76415252686,86133.86163330078,117179.27934265137,135187.81799316406,137517.86695861816
,88814.68549537659,41305.10098075867,78086.01837158203,121014.44847106934,137733.12356567383
,138188.833984375,26745.65776062012,55236.47819519043,105185.6107788086,134527.90797424316
,138197.1905822754,19841.2575378418,41909.477840423584,90840.51890563963,129167.41694641113
,138162.8173675537,14420.824834823608,33419.79772567749,78609.29216003418,123924.96975708008
,138172.20909118652,12275.978093624117,27946.660202026367,68604.32164001465,119333.53590393066
,138168.04196166992,11208.504213809969,23923.97090911865,60006.27973175049,114366.32887268066
,138152.64868164062,10166.538763046265,21200.72288131714,53009.81175613403,109174.11700439453
,138168.47819519043,9437.653612852097,18941.038323402405,46749.68900680542,104410.32824707031
,138141.94985961914,8942.798449993134,17525.301021575928,41534.46841430664,99824.17291259766
,138160.56227111816,8489.503247737885,16124.129680633543,36986.98878479004,95449.34799194336
,138156.63848876953,8083.3663157224655,15034.67885875702,33324.97542190552,91232.88415527344
,138131.80465698242,7662.706671953201,14106.279287338257,30567.733322143555,87181.6891708374
,138137.99739074707,7304.659569978714,13335.098684310911,28406.515405654907,83401.69732666016
,138130.72827148438,7122.403778553009,12649.32075881958,26470.110496521,79798.04434204102
