lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,,,120464.154586792,115550.72177886964,134657.58346557617
,,,135999.63486480713,102131.61962127686,52314.613651275635
,,,147809.75105285645,128315.01118469238,27922.021226882935
,,,146180.2899169922,104932.18103790285,24090.8871383667
,,,145595.74165344238,125899.67680358888,23499.099966049194
,,,144351.49865722656,115290.1244354248,91481.26308441162
,,,144306.3695678711,122034.14771270752,110305.91352844238
,,,143265.86953735352,140796.87284851074,100420.5308380127
,,,142359.70484924316,140266.21673583984,92848.66960906982
,,,142627.98123168945,139831.30390930176,86876.06986236572
,,,141980.28396606445,140462.97059631348,84411.80905151367
,,,142586.77073669434,140038.3819885254,93143.06446838379
,,,142422.82284545898,139683.6605682373,98849.22972106934
,,,142093.4965057373,139474.24406433103,103041.29788208008
,,,142263.5467529297,139384.67037963867,98196.08877563477
