"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
14743.259237766266,25215.909415245056,16910.604690134525,19206.472781211138,19438.31375348568,58753.44004762173,9840.863290175796,10627.05128389597,10502.96358537674,13330.354808688164,10616.766993373632,9336.69612441957,10796.849688887596,9828.362508952618,9058.22057966888,11837.972603917122,9687.155470848083,10162.7111235857,18507.18853330612,15286.87888932228,14429.197610974312,18373.37557125092,14930.899884700775,13832.89112317562,31070.89397239685,26310.603393554688,23570.456999778748,31353.19043159485,25870.326395511627,23495.540991306305,51753.8681602478,42919.669885635376,40545.54409790039,53180.0543384552,44969.13072776794,41388.66052055359
3673.8570086359978,5022.972245827317,5215.335424125195,3672.630467772484,4806.163376301527,5076.725692898035,2795.5948117375374,2958.479463741184,3378.4173339009285,3404.624717444181,3258.689696729183,3351.504194959998,2858.0725311636925,2660.491866782308,2644.424364373088,3202.4059360325336,2756.5447142720222,2793.2785305678844,5023.304843127728,4004.207344144583,3824.506569206714,5077.628768265247,4036.944143891335,3818.931781172752,10263.047095775604,7851.982351064682,6747.970356225967,10444.619309663773,7456.622647047043,6588.5633199214935,21846.625385284424,16771.07018470764,16387.904105186462,22733.58761692047,19253.034774780277,16114.3501329422
3128.954131703824,4680.910620182753,5338.477590635419,3527.673393666744,4524.087207227945,4417.841280400753,2161.878188189119,2208.641048334539,2713.188476033509,2837.363215126097,2595.293383590877,2545.0416953265667,1987.1431479230523,1880.4516487568617,1709.20279489737,2227.428746163845,1856.6461053043604,2012.587843567133,3316.0501624643803,2675.814263701439,2592.435916110873,3473.321296572685,2797.1481968313456,2575.114199087024,6337.655141115189,5238.871541976929,4507.299918651581,6956.814051985741,5148.6964492201805,4451.289732277393,16568.250044822693,11274.285060882568,10743.512344360352,17769.359923362732,12848.64156293869,10651.312469005585
3492.2645829990506,4591.776891432703,6042.429646082223,3631.530734285712,4741.209789127111,4224.515721455216,1678.2927828412503,2015.5805895365768,2456.075365498662,2094.175312716514,2290.011679150164,2475.4224738087505,1503.7638584263625,1487.944048780948,1366.7211083956065,1667.4305631183088,1399.1264134589585,1457.165064107627,2589.275958493352,2110.687552638352,1994.347470872104,2575.178938686848,2146.087105602026,1922.9412843734024,4895.873131871223,4009.4722150564194,3509.7010050416,5323.57123196125,4017.434467971325,3443.9949959516525,12871.013768196106,8372.987398862839,7841.173204660416,13883.724246025084,9392.536829948423,7986.937043428421
3213.605070493184,4828.097264200449,6121.455076292157,3488.878880985081,4751.146928802133,4543.445211566985,1451.75020135846,1708.8644101805985,2161.637071825564,1912.774602977559,1873.0272801090032,1868.5621861247344,1201.560303868726,1133.8043965715915,1073.557553768158,1237.8239225316793,1087.498820173554,1172.3990079369396,2146.124158501625,1682.278781864792,1590.5391638260337,2172.076479524374,1749.4539536386728,1521.7719633430245,4091.6183354854575,3299.2349320054054,2895.8364890813828,4481.497379541397,3247.667640686035,2782.1300525665283,10341.725996494291,6863.5776720047,6373.538681745529,10948.086073875427,7653.781847715378,6555.179388642311
3280.6920778788626,5026.21942473948,6416.823949724436,3557.8915556520224,5108.225641787052,4840.099804572761,1075.5475646238774,1664.9445848134346,1883.671844150871,1791.6829106230289,1870.3143244404343,1894.583499638364,893.9470998961478,844.1076881894842,843.6007199315354,1022.2993364445864,942.3766268892214,1008.6788147054611,1767.384748570621,1384.712664283812,1269.8988969177008,1756.2411401420832,1429.010778658092,1235.5439958442005,3512.9226819872856,2771.287883669138,2454.4067025631666,3784.8484478592873,2828.4916096031666,2417.88994178176,8705.8976085186,5892.794902801514,5432.794626712799,9105.117654323578,6542.116876840591,5553.830136299133
3246.399875076488,5317.441859573126,6013.251821562648,3361.063015574124,5266.426703669131,4847.608925268054,1240.3139656903222,1370.3207103190944,1879.767729403451,1471.8808469884098,1515.9522909745574,1905.896041023545,771.9502905947156,867.0361352670006,778.6953354931902,871.6591263841838,810.8700785993133,906.7984557896852,1460.8971119336784,1114.0164502449334,1086.5002462994307,1491.0579571686685,1226.0626730881631,1019.91395274736,3091.8214975893497,2406.089369475841,2175.812286302448,3318.328993856907,2421.526992797852,2088.6196032315493,7555.316256046295,5287.941850841045,4817.045179605484,7836.640902280807,5799.841714501381,4907.305341124535
3189.21695205383,5513.536463409662,7699.8075325116515,3671.702584527433,4928.340489790775,5388.18902246654,999.8915650846902,1556.411898254184,1814.5788638181984,1336.0396835403517,1488.1450823186897,1690.191462344199,682.8089444872458,635.2065119509352,713.3562385981204,711.4694885842036,633.6955300185364,731.810581154481,1266.3818808794022,974.7227101698518,893.3353993687779,1229.8816471137106,1046.8730583041906,896.4136442281306,2717.9079295396805,2157.894153445959,1900.8343265801668,2897.630347341299,2109.4680673778057,1854.7602996379137,6708.626300811768,4772.736569523811,4366.241665780544,6909.170996904373,5202.410787463188,4381.970940947533
2733.397442113608,4696.714363642037,7172.029273331165,3594.477894224692,7131.820226776414,5786.114619508386,974.798250781605,1253.4920284198597,1866.918329140172,1214.006133542396,1631.5681548700668,1497.2198885971447,635.6613588449545,596.2617464010837,645.1304023926205,552.4499495695345,654.7622110866942,666.2049433822976,1094.4960408732295,828.8146876040846,782.750093834009,1119.520573804155,841.0537526980042,718.8009215872735,2492.331779897213,1872.204686522484,1659.0327763557434,2642.6023013293743,1942.2733550667765,1612.1144977360964,6102.169301748276,4399.523221313953,3916.901284754276,6231.68403172493,4789.396443843842,3983.9326927661896
3160.950694169849,4891.504385255277,6874.5815220326185,3718.965094804764,5857.784047394991,5595.824813034385,745.8215297826682,1326.0493774997303,1582.7656223610977,980.15204978158,1070.8918051414655,1410.8936794130132,455.48717653373023,609.0648413168965,638.9554261552403,641.8988370671868,500.6714566912269,504.6538878702559,911.850311706774,705.977413517423,678.0195220434107,870.194296579808,711.3576702233404,634.0426513860002,2273.382178068161,1713.9080954566598,1503.4197883680465,2328.0467461645603,1728.005618557334,1371.6605073809624,5573.373053312302,4031.184208035469,3613.910084068775,5659.093090415001,4427.891195476055,3629.824953556061
