"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
50136.03349097073,68994.22171109915,101694.43381339312,142967.06518387794,82835.66633164883,188502.05071520805,13717.880562782288,11030.14775237441,12824.15972274542,18864.296820878983,11159.32367876172,13594.7787450552,12970.093774795532,12561.516675710678,11711.842896580696,14580.882508158684,9537.746056497095,9155.350901454687,18048.80460691452,15289.76859807968,14047.985991597176,18302.74078512192,14305.558879852297,14315.893815636637,30387.72677707672,25635.810836791992,22975.17457485199,30190.09514713288,24161.31508827209,23565.71776819229,49880.023986816406,41953.89330863953,38693.3283662796,49943.54957771301,41372.804319381714,39792.19731903076
138786.16371154785,31049.900792121887,139550.06713867188,20941.04246854782,191393.9632263184,143176.80513000488,6590.424099504948,7978.109774172306,7824.564343094826,16220.87763595581,6280.164625823498,9009.092844724655,5564.371008485556,6214.663609743118,6025.128072828054,6011.061929821968,5679.189364910126,5305.17340695858,8310.160924196243,6999.685912847519,6859.810443103313,7274.931037783623,7817.100204825401,6388.475520431995,13531.621081352234,12036.085927009584,9965.164081573486,14455.436756134031,11202.317398786545,10038.425697803495,24177.16816139221,21866.37841796875,17618.457279205322,25289.407344818115,19388.148957252502,20213.81496810913
138350.5181274414,44720.29874229431,138654.6441192627,33094.97649478912,138570.86053466797,138512.46661376953,8614.364957392216,9112.0858142972,8294.185214161873,9325.12187039852,8302.193101167679,12018.622866630554,6060.05510699749,5581.808948934078,5405.804817080498,6162.43446201086,4968.133387178183,5762.557008743286,6755.721217513084,7182.174931228161,5184.51335978508,6864.466765284538,5679.033309698105,6788.772569656372,10838.63532447815,9376.046565294266,8152.931391239166,11661.958784103394,8616.537891864777,8012.991745948791,21605.40483188629,19163.37077522278,14632.613510131836,22913.49772644043,16464.02364730835,17320.329325675964
138436.77265930176,147265.95272827148,139177.30020141602,70890.13180565834,138537.54838562012,138847.63862609863,7287.644085407257,9391.6980150342,12205.21857535839,16886.086128234863,9065.693436682224,12226.903465747831,5791.200131177902,5579.207429468632,6292.646443605423,6518.821213662624,5470.986928105354,6382.662829488516,7001.710825681686,5460.213535487652,6312.433531761169,6367.216678857803,6271.422374010086,6425.043532967567,9314.816064357758,8082.334271192551,6768.28792142868,9767.718530654907,7512.825926542282,6960.695505142212,19446.332807540894,16777.116178512573,12420.196548938751,20880.529846191406,14142.76478767395,15039.002407073975
138323.1574859619,139083.7269744873,139266.50114440918,445751.8496894837,138512.69526672363,138812.45399475098,7931.55803501606,9044.01699733734,8703.16661119461,28043.557516098022,10214.320300132036,17055.455250263214,4998.041950583458,5366.008461683989,5142.94716784358,5231.333628356457,5299.052030384541,4514.800938427448,5248.522176861763,5746.431592643261,4987.438434123993,5884.997642159462,5721.256507396698,4990.953309983015,8170.699571609497,7143.885159492493,6217.995657920837,8574.865804195404,6828.562068939209,6182.029632925987,17511.71605205536,14705.612062454224,10815.676348686218,18991.04662513733,12349.81489276886,13110.603363513947
138282.99310302734,138815.51223754883,139088.95904541016,48197.73554897308,138518.36282348633,138545.8077697754,9711.16218417883,7642.403161734343,11999.876343607904,8831.098332762718,10682.275307178495,15582.82235312462,5114.18539917469,5207.775761723518,6266.825875759125,5481.740849614143,6483.708462372422,5796.360913783312,5274.056859433651,4695.164591491222,5270.601095825434,5239.879932165146,5383.38723641634,4815.217746436596,7526.737701654434,7108.350840091705,5784.097185134888,7389.861908197403,6109.444447636604,5758.12131857872,15801.628987312317,13070.8281955719,9613.898624420166,17198.031883239746,11004.36293888092,11494.510581970215
138322.97764587402,139297.8618927002,138789.17611694336,38030.88442516327,138587.16752624512,138589.86013793945,6658.195508718491,7712.745535969734,11194.701157093048,12512.465162992476,11465.643186450005,12571.820257425308,4983.75821980834,5223.557972490788,5537.948216319084,4865.529572457075,4868.554511070252,5155.836814522743,4817.329118609428,5247.600801825523,4372.314770936966,4848.497766524553,4431.520713597536,3872.31082496047,6545.665463685989,6059.416682720184,5695.378688573837,6939.134847402573,5680.632846474648,5114.855484127998,14328.08510875702,11704.814654827118,8835.25463294983,15701.80624485016,9778.036493778229,10270.056507110596
138378.5145111084,138891.86431884766,138797.75057983398,30448.326805591583,138699.0576171875,138787.44190979004,7894.156338751316,8060.06163340807,13693.123707413672,13778.72664141655,10411.08263039589,9851.508249163628,4697.371810406447,5699.050309002399,6037.4118956923485,5095.783990681171,4776.371389627457,3990.59771874547,4147.685879707336,4190.023478537798,5061.616731405258,4035.189538002014,3861.630473524332,4326.373656630516,6235.668742060661,5634.798559546471,4695.834043741226,6125.450056314468,5033.883106410503,4905.025368452072,13049.870567321776,10711.897586345673,8144.046235084534,14382.078991889954,9364.977165699003,9518.461000919342
138365.37825012207,139015.1170654297,139020.28881835938,28624.9077000618,138596.08415222168,138464.7576904297,6478.29477122426,9062.32652592659,11145.962703943253,15697.246093273165,11594.385405182838,13644.084109783173,4109.0577391684055,4947.921201199293,5602.201392188668,4689.31055533886,3794.0552177131176,4065.714763730765,3752.442728459835,3790.4423167705536,3680.8125399053097,3862.577424108982,3814.735981702805,3664.840713858605,6173.67199921608,5148.26226747036,4643.230631232262,5836.781862139702,5043.571416139603,4375.637715578079,12043.469009876251,9758.588151454926,7632.379336357117,13155.3494348526,8339.215744495392,8643.459140777588
138389.41975402832,138653.7307281494,138874.54191589355,120594.63333129884,138764.0962524414,138906.36479187012,6441.905178964138,10742.43719625473,10728.159006923435,7196.7025846242905,10647.331596642733,13649.23151910305,3767.322140544653,5759.160994887352,6127.433001637459,4677.420396715403,4502.012413039804,4610.237804830074,3659.99162787199,3557.077957391739,3719.510298669338,3686.08033233881,4137.834879994392,3216.04825912416,5646.303250432015,5149.567693471909,4118.88554495573,5357.792957663536,4388.030820906162,4014.0506089925766,11120.324470043182,9110.145109176636,7256.414350271225,12109.15635728836,8066.290522813797,8128.219808578491
138546.29664611816,138951.59812927246,138904.1595916748,21504.518248319622,138796.94799804688,138685.79963684082,6222.3790754675865,7914.832148462534,12873.267282545568,8882.728776574135,10074.808966100216,11287.331414341928,3153.548774808645,5362.679047673941,4546.430666804314,4783.218244925141,4569.411469459534,3783.584474951029,3365.5214047431946,3422.456096202135,3219.186439692974,3287.2447903752327,3477.136348962784,3042.170567661524,5404.631787896156,4210.811724066734,3875.653721630573,4820.597656846046,4206.094418644905,4000.7147137522697,10328.287026405334,8544.8554520607,7020.765968084335,11178.222663879396,7643.4490694999695,7675.466481924057
138511.1895751953,138847.75549316406,138989.60371398926,23751.34779882431,138837.9104309082,138978.77894592285,5103.089248210192,10337.089210927486,13545.863557696342,10799.98126977682,12133.505187928677,13354.518791556358,2994.421982839704,4919.899892419577,5397.883174717426,4126.406209662557,4183.6191972494125,4048.085284873843,3036.330419957638,2690.772125095129,2919.1862931251526,3125.7965682148933,3361.4293527007103,2921.13387568295,5012.036696434021,4325.1722702384,3756.31337505579,4676.829038262367,3860.606676399708,3632.117027640343,9680.568059921265,7964.829078435898,6503.101808309555,10506.90122938156,7231.982046842575,7233.131685972214
138294.89486694336,138808.18397521973,139049.1834716797,33160.954656124115,138687.63186645508,138900.02990722656,6292.732152432203,7803.302207410335,11276.644503355026,10071.556702971458,10684.803461670876,13181.448480844498,3128.4411597698927,4295.597119033337,5374.920013576746,4501.925714671612,4336.598088487983,4041.10689163208,3144.8075412511826,2607.495838612318,2792.754824280739,3088.7507639825344,2894.4206606447697,2490.741974040866,4769.380613207817,3859.6989290118217,3413.5346325933933,4357.016826868057,3724.657613992691,3263.47757679224,9171.344295978546,7548.661660194397,6263.763401508331,9784.78849887848,6854.759772539139,6840.680903196335
138561.62007141113,138679.18685913086,138716.80180358887,19866.09986400604,138770.34190368652,138688.0658569336,5438.349524468184,9752.167556464672,9926.388031125069,6070.152644246817,7633.76198130846,13464.102818965912,2660.982241258025,4593.68355858326,4901.472490906715,3568.238223582506,3473.6869892627,4247.874399751425,2984.1262361109257,2884.880531728268,2698.9486368000507,2666.2401192486286,2537.401434808969,2177.245091840625,4581.034988641739,4198.5904083848,3301.1939871907234,4311.297738194466,3446.153574168682,3414.9153347611427,8751.776422023773,7272.785015583038,5930.383422374725,9267.557906150818,6612.856352090836,6577.7412230968475
138490.16047668457,138728.02612304688,138885.5771484375,30325.99427127838,138842.22547912598,138643.4676361084,5779.365354716778,13368.258172154428,13797.85207939148,9699.281624734402,12722.225887417791,12990.001040577888,2379.2640562206507,4165.310827493668,3285.043412804604,3721.1140006780624,3381.6093440055847,4273.5889357328415,2676.229127764702,2460.776643425226,2294.08070808649,2593.103541702032,2422.411525711417,2238.575510136783,4241.2547519207,3514.704282581806,3060.0119773745537,3996.569689750672,3323.728823721409,3089.379563033581,8334.940888881683,6862.270468235016,5770.869275808334,8696.638049125671,6344.06801533699,6348.671177148819
