"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,20897.921081364155,23815.922518908978,15829.125556051731,23340.065649867058,20127.8535425663,16772.74813851714,30432.61068367958,23650.86009788513,21212.312844991684,30826.810960292816,24192.03107857704,21258.92673492432,56133.36967086792,43463.678168296814,40728.46622467041,50675.51563453674,44958.92921924591,40122.26345348358,110690.7374343872,89782.88905334473,69088.05179595947,105588.0287361145,81665.94953155518,71947.93054008484,137440.7432861328,136093.49028015137,134607.68196105957,137501.22885131836,136050.02291870117,133016.88761901855
,,,,,,,,,,,,,,,611167.8829193115,,,15995.434015274048,13948.87855052948,25994.141751289368,16591.37253189087,12023.51094198227,10570.441796302795,32189.707263946533,26271.23844909668,21784.51873016357,31727.42797660828,25393.29975128174,22491.81009101868,131224.775390625,84100.06410217285,60818.68281173706,131413.40489196777,83267.45238876343,52035.643074035645
,,,,,,,,,,,,,,,141115.60942077637,,,14927.418247699738,8233.893255472183,7606.474414110184,10869.11767244339,8367.727035045624,41587.04793834686,23876.394716262817,18264.80370140076,14720.70325088501,23361.196767807007,17688.05811882019,15319.220109939575,72615.50447845459,34701.030834198,31100.5304145813,73657.99605941772,33843.32800865173,29717.448013305664
,,,,,,,,,,,,,,,,,,13184.256132602692,6437.672063708305,6253.446824789047,8320.327151536942,6935.358823299408,7534.862099409103,18972.49769020081,13568.179839134216,11135.254282474518,18413.97186851501,13464.276966571808,11628.238109111786,36669.44429779053,28726.79451942444,26267.802936553955,37539.44581604004,28093.52759361267,25522.016082763672
,,,,,,,,,,,,,,,,,,6941.074733495712,5406.923068642616,4930.041551709175,6938.08450293541,5354.540535092354,6729.032159328461,15342.169607162476,10876.052433490751,9111.37710905075,14931.671638965609,10912.16640996933,9399.014461159706,30793.885765075684,25868.017305374146,23125.614042282104,31340.858350753784,25267.49622154236,22930.24255180359
,,,,,,,,,,,,,,,,,,5881.155654668808,4728.806204974651,4224.583514094353,10842.253485322,4566.900951623917,4726.8229593634605,12988.710331439972,9260.342500925064,7965.108761310577,12483.211994171144,9339.544849157332,7964.159212350845,28008.88929367065,23751.81376552581,20473.20579528809,28369.90929412841,23004.29162597656,20608.591259002686
,,,,,,,,,,,,,,,,,,5221.384383261204,4064.3678857684135,3670.563063621521,5627.791099429131,4009.697903096676,3963.083849966526,11380.9339928627,8020.875965118408,7016.726637601852,10979.15501499176,8080.478346824646,6927.41411626339,26099.19273376465,21892.2444229126,18312.137747764587,26329.321187973022,20935.26732635498,18413.218586921692
,,,,,,,,,,,,,,,,,,4681.027049541473,3570.6433162093163,3290.3319497406483,4997.367956399918,3566.779021859169,3539.8571819365025,10071.964255571364,7250.446301221847,6233.646817088127,9767.371784687042,7214.549275875092,6668.285146951675,24631.416791915894,20152.485587120056,16545.85427093506,24822.92357063293,19029.226068496704,16454.1766204834
,,,,,,,,,,,,,,,,,,4204.113969862461,3268.130419552326,3019.641171336174,4589.711735248566,3579.8298882842064,3138.4457662701607,9095.621322870256,6609.600105762482,5843.07505351305,8780.892086029053,6612.173564195633,5693.854494571686,23176.94547843933,18484.77817440033,15151.910254478456,23379.257091522217,17339.86046886444,14984.721632003784
,,,,,,,,,,,,,,,,,,3868.98088914156,2981.4751508682966,2681.823450893164,4114.886565566063,2992.832761257887,2829.0301444232464,8324.055697441101,5979.25370156765,5301.215047836304,8048.234433412552,6088.166304945946,5233.938253581524,21817.33644104004,16983.69871520996,14127.91792488098,22019.205760002136,15749.711647987366,13643.076632499695
,,,,,,,,,,,,,,,,,,3556.3919011950493,2717.8771239966154,2521.2650696486235,3773.047695934773,2747.9830644130707,2610.9726985991,7761.074232578278,5547.5415776968,4846.9967212677,7426.892807602882,5565.414329648018,4921.537797868252,20521.0606136322,15637.504139900208,12839.576445579529,20675.20946121216,14554.483322143557,12425.705983638763
,,,,,,,,,,,,,,,,,,3327.029554873705,2512.9381488859653,2289.388019785285,3557.4301691651344,2494.48232229054,2463.0287307798862,7120.647780895233,5277.765088677406,4518.224774122238,7088.765018582344,5246.864758014679,4564.47462105751,19273.195026397705,14491.877487659454,12005.692774772644,19467.34198951721,13415.378252506256,11606.582946777344
,,,,,,,,,,,,,,,,,,3715.632298409939,2647.384042531252,7429.658923149109,3263.724940806628,2349.611271247268,2207.5939100310206,6786.56739282608,4935.323357582092,4256.780114471912,6544.123359203339,4929.029150366783,4246.700023949146,18304.17541694641,13444.195492744446,11336.552545070648,18278.173069000244,12460.085336208344,10794.956084728241
,,,,,,,,,,,,,,,,,,3233.946555942297,2343.1492609530687,2671.480048060417,3116.980239599943,2200.717263847589,2080.143159687519,6283.973018407822,4712.992390632629,4054.04511845112,6186.909644007683,4656.970170021057,4001.050805151463,17082.822598457336,12432.33383846283,10540.52665901184,17170.156769752502,11581.525011062622,10003.665813922882
,,,,,,,,,,,,,,,,,,2735.920315697789,2107.945538125932,2303.55510109663,2903.619966834784,2071.9958772212267,2068.225138001144,5957.38015973568,4527.398131132126,3803.402974128723,5913.166505217552,4464.416471540928,3859.311943411827,16151.739986419678,11668.038165092468,9844.28363251686,16053.94075870514,10945.01345729828,9646.998514652252
,,,,,,,,,,,,,,,,,,2727.965595781803,2015.5410518199203,2704.9560535103083,2689.563196837902,1878.40755482018,1843.290622197092,5704.210245370865,4209.357561171055,3607.667413532734,5522.89184987545,4234.773352861404,3651.593226671219,15188.124257087708,10904.399626255035,9354.474751472471,15199.313910484314,10304.45632982254,8910.884943246841
,,,,,,,,,,,,,,,,,,2433.4006805568933,1851.6312301903963,1984.46097483486,2532.776421040297,1744.8303264677525,1740.109627455473,5440.82325053215,3951.577764749527,3887.720244407654,5428.54172283411,3958.271904885769,3435.444688141346,14455.66029071808,10282.721042633057,8846.50658607483,14291.531823158264,9839.571997642515,9295.400624752045
,,,,,,,,,,,,,,,,,,2327.713061392308,2051.263241119683,1926.86721431464,2431.731790393591,19120.326683163643,1629.7909559682012,5310.293885469437,3812.062340795994,3312.563726663589,5078.444690465927,3858.212720155716,3316.6979298591614,13709.49697971344,9697.746040821075,8580.817523241043,13608.474571704865,9348.584684610369,8068.513706445694
,,,,,,,,,,,,,,,,,,2206.89485783875,54888.43029403687,1816.070369772613,2281.403943359852,2982.497739136219,1526.7052701562643,4905.018680095673,3650.983363628388,3149.059429228306,4894.122120261192,3652.562974393368,3152.5536087453365,13235.234919548036,9224.866101264954,8226.502846717834,12890.23709344864,8908.480925559998,7616.71712064743
,,,,,,,,,,,,,,,,,,2038.93817473948,8629.196904063225,2971.3460207358003,2187.2911657840014,2476.3100589066744,1730.269729733467,4753.366721570492,3474.1385101675987,2995.5149098932743,4700.146489500999,3561.079708337784,3004.4250018894672,12436.649802684784,8931.837656497955,7745.531443834305,12187.923407554626,8572.156544923782,7374.047518134117
,,,,,,,,,,,,,,,,,,1970.142905965448,5101.177226066589,2176.025184392929,2074.655240558088,2331.656297013164,1451.9233523849398,4521.036368608475,3640.514842987061,2861.5253703296185,4479.231295824051,3427.309634566307,2896.630635678768,11945.67084121704,8484.391432762146,7339.672070026398,11657.867975234984,8410.48559474945,7050.861102342606
,,,,,,,,,,,,,,,,,,1906.3491222709413,5690.914299249649,1482.3584177345035,1893.3819843530653,1951.8198139071465,1309.9151526875794,4454.276211500168,3212.418527007103,2807.015733510256,4320.176255404949,3273.7365969717503,2810.0456331968307,11433.069350242617,8080.252769947052,7174.5359852314,11100.945102214811,7814.019757032394,6691.6075558662415
,,,,,,,,,,,,,,,,,,1799.7626991719007,3737.461937308312,1391.393201034516,1864.193761691451,1736.4081546738744,1264.830875840038,4223.652046203613,3111.5269261300564,2688.699936807156,4218.6558675169945,3109.503027945757,2939.956632047892,10993.485922813416,7834.135158538818,6729.299592971802,10635.451810359957,7802.907423734665,6634.15008687973
,,,,,,,,,,,,,,,,,,1695.933795914054,3488.071835517884,1307.1635816656053,1740.9158372208476,1586.9170178323984,1159.6850662231443,4114.37345957756,2988.740890294313,2585.691737473011,4046.6785935759535,3093.6736373603344,2561.6124132573605,10631.962052822111,7500.836007833481,6701.1636798381805,10420.007767677307,7227.099491119385,7301.866993665695
,,,,,,,,,,,,,,,,,,1638.8787350431085,2798.3683571219444,1187.9821642991155,1653.5017891302705,1448.5293578282,1112.0684344731271,3987.491052269936,2859.240123540163,2463.768280237913,3899.30630004406,2954.036298394203,2449.0276260375977,10147.307031869888,7235.324792027473,6256.376395821571,9838.714302539824,7223.125189781189,6239.119655370712
