"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,72349.05107927322,,,39212.90838778019,42115.2244951725,,36751.445687294006,30149.866394281387,24785.610391378403,35251.53711462021,27818.31440889836,25191.06146144867,58996.9840221405,45674.17938995361,40839.12851142883,60238.752475738525,46404.46098804474,40850.14292860031,98469.73087310792,81310.25635910034,78028.75051498413,111199.62112808228,83298.97093963623,71315.82984924316,137465.0164794922,136019.62530517578,135816.85400390625,137488.6474456787,135668.87898254397,133180.06677246094
,,,,,,8175.118524849415,,,6030.2898861169815,5270.199653148651,,8330.198484182358,6023.177026450634,5236.259970188141,8217.640351057053,5819.876829743385,5508.955969929695,16740.811973571777,12345.72058391571,10530.358876943588,16978.906777381897,12541.902413845062,10565.04613018036,33154.48154067993,24824.81248664856,22491.68414211273,36540.85707092285,25487.69133758545,21701.4312915802,131936.80926513672,79963.94480133057,72992.06631851196,131777.329788208,75992.05047607422,58056.675216674805
,,,,,,,,,3541.0691762566566,3154.550228372216,,5313.557139635086,4148.21099165082,3387.351291388273,5108.948878347874,3756.703251302242,3576.769960522652,10800.336327552795,8335.286082267761,6786.205277085304,10916.19192481041,8445.532581567764,6901.716565966606,23111.69019508361,16596.762983322144,14948.893644332886,24306.57489776612,17425.46115875244,14651.312712669373,82009.62467956543,34702.86022567749,31556.346824646,73822.49339675903,34344.00893974304,32498.806413650513
,,,,,,,,,2650.05032607168,2110.3184335008264,,3873.591502726078,2950.1256861686707,2577.483703017235,3919.399285197258,3286.1642635688186,2707.778541237116,8183.380270004272,6190.065044283867,5238.100143432617,8422.726144075394,6456.019355535507,5244.645456850529,17837.51621246338,12542.097959518433,11127.999257564545,18858.95333480835,13387.449199676514,11469.844586849213,41884.2240562439,28927.787853240967,26576.48599624633,38280.876537323,28210.176034927368,27129.063821792603
,,,,,,,,,,1776.7084409371018,,3297.875170946121,2296.504726976156,2121.1772451773286,3196.54419964552,2312.4883673489094,2210.221441820264,6974.761956214905,5089.083247959614,4319.68260705471,6881.446073055267,5193.599813342094,4366.2662088871,14330.249660491943,10334.728389978409,8979.903091430664,15073.97936630249,10636.908013820648,9510.015965223312,32773.14862823486,25802.21565437317,23920.879789352417,31822.77127456665,25093.829431533813,23558.26166152954
,,,,,,,,,,1429.2727116942406,,2777.681715637445,2121.348701298237,1715.968471929431,2635.3298092633486,1939.1181786432865,1664.0965492874384,5776.193377494812,4317.093600928783,3582.808184921741,5872.810541272163,4418.246367871761,3836.326848566532,12324.182752609251,8825.932891607285,7774.359512090683,12406.30813407898,8983.663362979889,8144.21581196785,28981.16358757019,23290.39192771912,21718.1122341156,28562.900243759155,22522.75960922241,20882.057277679443
,,,,,,,,,,1093.8967519067228,,2251.094053968787,1685.352091126144,1432.6305567324162,3535.5321310162544,1671.7102097570896,1446.5101931393149,5108.329366445541,3747.7347697615614,3212.846454679966,5213.835725426674,3883.9182421565056,3197.0221398472786,10479.163268089294,7877.870567560196,6790.226055622101,10832.41071677208,7807.253099441528,7207.675139307976,26385.809354782104,21064.973832130432,19373.553621292114,26339.6779460907,20244.78512096405,18379.50308895111
,,,,,,,,,,780.2442086823285,,2013.2121613770723,1381.3184390589597,1256.297468509525,2104.9041166603565,1355.1831855401397,1283.2819753661752,4569.479545235634,3320.60011947155,2764.142736166716,4534.814160108566,3337.617375046015,2840.1504185199738,9306.684106349943,6986.526413202286,6094.4799699783325,9573.954660892488,6927.786218285561,6458.368016958237,24492.173233032227,18933.63028907776,17409.014823913574,24718.27516746521,18187.282188415527,16365.71287059784
,,,,,,,,,,741.4766746181995,,1799.775620907545,1156.6053317934277,1130.388175860047,1888.490263856948,1160.0635021999478,1023.267932806164,4167.120562016964,2945.22572657466,2467.1572076380253,4117.779675781727,3073.452153131366,2492.4780397713184,8435.5123026371,6383.098804354668,5647.827118039131,8537.422058582306,6213.046621441841,5798.356490850449,23084.54013442993,16967.531008720398,15644.302793502808,23030.47854042053,16421.034754753113,14670.173205375671
,,,,,,,,,,20336765.38045156,,1639.3005111068487,964.896882582456,830.5293792486191,1869.1990322098136,1472.4358785059303,848.8769380804151,3660.292494833469,2626.3029485940933,2240.021253749728,3778.911789149046,2767.9246302843094,2252.550196900964,7745.343143463135,5950.047791600227,5046.528161168098,7836.336915969849,5736.466241419315,5358.793004393578,21558.320833206177,15455.778067588806,14047.316578388214,21706.7963886261,14865.206825256348,13295.611197471619
