"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,56375.05824971199,57155.1815598011,108687.95998573305,41065.41526269913,,,37916.95512104034,28250.11633634568,25138.076877832413,36668.94748878479,29508.75350427628,24792.53959298134,59133.72833251953,50924.48406410217,39396.9152841568,56600.94432067871,45558.32377433777,43071.25278568268,102959.58904647829,88467.32103729248,73270.70747947693,97606.3493423462,77710.98789024353,76564.28666114807,137192.24862670898,135639.0535736084,134938.5535888672,136976.44555664062,136187.63946533203,133384.6808166504
,,,,,,,6466.402576327324,9516.419298052788,6150.897908449173,,,8230.280111670494,6175.098372936249,5589.891882419586,7776.197345614433,6208.036749601364,5526.538450479507,16750.351181983948,12877.139797210692,10369.346397161484,16053.840893745422,11890.22272157669,11051.053066253662,32475.792154312134,26250.73931503296,22406.94842338562,32772.947231292725,24394.408548355103,22987.032480239868,129480.29460144044,75661.09022903442,64470.45115661621,123625.3519744873,86855.85066604614,56208.34394836426
,,,,,,,4108.699967831373,5461.169114947319,,,,5328.696496963501,4017.251857638359,3447.576535254717,4925.27236354351,4060.925609081984,3594.6114578545094,10917.990107536316,8059.547970056534,6908.945817351341,10578.547317028046,7924.089320421219,7169.017605662346,22875.26921272278,17945.05361175537,14892.326334476473,23428.97226142884,17090.871686935425,15420.62767124176,70523.70937728882,34328.58704566956,33195.24418258667,52200.301456451416,38425.41347885132,31070.435400009155
,,,,,,,,3139.290335983038,,,,4009.439531326294,3017.223942369222,2616.737170904875,3683.589539110661,2994.72939170897,2631.09368224442,8416.402921199799,6183.716381192207,5191.830177903175,8184.925257444382,6190.648001909256,5487.163295149803,17687.060989379883,13672.669276714323,11367.109029769896,18031.54082584381,13172.33005142212,11410.20707321167,38637.67288208008,28559.743028640747,27473.95853614807,33680.207483291626,30389.57972717285,26103.477430343628
,,,,,,,,2485.896750062704,,,,3246.5628284811974,2459.156188815832,2073.6928091198206,2996.0720606446266,2408.6889597922564,2154.002366565168,6779.992426037788,5011.291335582733,4258.202273249626,6719.101588010788,4916.13019323349,4559.164542675018,14304.129974842072,10781.14571428299,9077.087496042252,14508.696954727173,10679.220903873444,9212.75614309311,31557.31898880005,25509.17004013061,24168.40274047852,29228.161193847656,26709.860654830933,23047.363801956177
,,,,,,,,1716.3031726554036,,,,2799.989315122366,2093.279569908977,1747.2397559434175,2538.4738934785128,2035.723277464509,1757.7245723456144,5777.621070861816,4209.334867954254,3558.7734845876694,5798.997783064842,4212.712607681751,3797.727561235428,12024.854745388033,9111.376482486725,7739.007022380829,12256.018465995789,9062.23155593872,7778.589323997498,28104.775817871094,23101.991176605225,21481.53954696656,26840.16587638855,23612.10821151733,20270.638040542603
,,,,,,,,1447.7468154449016,,,,2344.8715829104185,1716.3279607146978,1383.4142576381564,2169.762985870242,1680.0536344759166,1461.3971587531269,4958.389924287796,3724.831748366356,3172.618945360184,5016.492376983166,3725.829919427633,3309.51369830966,10346.312740325928,7833.087589263916,6697.7512819767,10510.198079109192,7940.116349935532,6788.133261680603,25801.417682647705,20831.37393760681,19090.96766281128,25024.137469291687,21369.926277160645,17976.585523605347
,,,,,,,,1359.144523318857,,,,2164.0614734739065,1466.869946360588,1259.7665596455336,1829.9733664393425,1603.279398433864,1192.5175351686776,4520.496587872505,3233.441595375538,2740.7519746124744,4616.142944693565,3260.519220232964,2948.321534201503,9158.71317768097,6910.6884471178055,5994.3057762384415,9351.4037566185,7102.177528142929,6181.789778113365,23953.54773044586,18846.86095714569,16908.61250782013,23334.022718429565,19122.566475868225,15972.255301475525
,,,,,,,,1093.58679356426,,,,,1309.1575921438634,1134.7977455053478,1690.9315023720264,1256.1769765764475,1146.0288859717548,4084.9292746782303,2939.87390345335,2428.597818657756,4110.725494682789,2938.549098134041,2670.603890746832,8305.068255186081,6316.182081818581,5660.016252994537,8581.913171768188,6428.8250378370285,5537.765984177589,22207.61659526825,17043.360236167908,15127.051020622252,21859.4451713562,17351.488172531128,14332.58998298645
,,,,,,,,,,,,,1080.3150510303676,1044.668486431241,1682.3933695219455,1208.0766344070437,881.7301147729158,3607.076623350382,2647.8714620769024,2256.9876313209534,3767.073810040951,2572.724841699004,2362.8742857426405,7554.55481004715,5696.490688800812,4947.063411235809,7711.323905229568,5796.700700998306,5015.887081801891,20668.738132476807,15517.653561592102,13659.938893795012,20325.257543563843,15738.550868988035,13018.927876472473
,,,,,,,,,,,,,897.4369084276259,722.5366916423663,1428.3539477847517,993.320446588099,774.331759924069,3424.6136128902435,2358.930688202381,1982.7249515503645,3439.5926270484924,2395.377670675516,2122.751185491681,6937.181601405144,5244.389406204224,4602.08181977272,7172.6637506484985,5394.044276356697,4635.323844373226,19235.16819381714,14225.01577949524,12427.921347141266,18994.00371932984,14454.258397102356,11854.309666633606
,,,,,,,,,,,,,771.7828854769468,1267.445611242205,1275.429908450693,814.4576682448387,719.9322012886405,2997.2218509614468,2133.521029934287,1825.4893168509009,3118.0704450905323,2181.419624611736,1884.463483735919,6526.641832709312,4907.832947909832,4279.6296726465225,6701.616109728813,5003.080171704292,4309.536338567734,17945.249404907227,13223.361451148989,11483.59503173828,17875.36556148529,13288.174053668976,10945.171224594116
,,,,,,,,,,,,,659.1680504279211,572.7131839487702,1038.384304765612,791.0556485615671,504.11677556531504,2941.934969186783,1989.868766531348,1646.8719369769096,2935.737377583981,1988.495040744543,1729.071484670043,6133.35719871521,4480.035746395588,4029.075122714042,6227.239001274109,4758.293070554733,4080.4791045188895,16804.331912994385,12214.6252617836,10580.033254623411,16740.75242614746,12240.736137866974,10078.958317756653
,,,,,,,,,,,,,603.5284560788423,570.2814908083528,,603.4956498555839,426.7555999895558,2626.8863215595484,1833.5199264734983,1564.4282132573426,2688.51012262702,1821.8841626048088,1559.9678193107247,5688.464610219002,4272.1350147128105,3780.787040472031,5822.649808883667,4384.789286017418,3782.9807985425,15804.091605186462,11303.086569309236,9900.637041568756,15777.443977355955,11414.967321395874,9394.239481925964
,,,,,,,,,,,,,587.085730811581,361.0301022878848,,625.6327445665374,386.91088437638246,2407.027472138405,1722.1764837652445,1373.6705543771386,2574.8420451432467,1628.7146301418545,1445.0863443538549,5545.66545855999,4097.188620507717,3599.8606345057487,5582.611138224602,4293.325909852982,3642.835670948029,14836.395100593569,10677.334244728088,9265.586903333664,14847.413886547089,10759.604003429413,8754.48750948906
