"lr=0.01,steps=5,alpha=0.5","lr=0.01,steps=5,alpha=0.75","lr=0.01,steps=5,alpha=0.9","lr=0.01,steps=10,alpha=0.5","lr=0.01,steps=10,alpha=0.75","lr=0.01,steps=10,alpha=0.9","lr=0.003,steps=5,alpha=0.5","lr=0.003,steps=5,alpha=0.75","lr=0.003,steps=5,alpha=0.9","lr=0.003,steps=10,alpha=0.5","lr=0.003,steps=10,alpha=0.75","lr=0.003,steps=10,alpha=0.9","lr=0.001,steps=5,alpha=0.5","lr=0.001,steps=5,alpha=0.75","lr=0.001,steps=5,alpha=0.9","lr=0.001,steps=10,alpha=0.5","lr=0.001,steps=10,alpha=0.75","lr=0.001,steps=10,alpha=0.9","lr=0.0003,steps=5,alpha=0.5","lr=0.0003,steps=5,alpha=0.75","lr=0.0003,steps=5,alpha=0.9","lr=0.0003,steps=10,alpha=0.5","lr=0.0003,steps=10,alpha=0.75","lr=0.0003,steps=10,alpha=0.9","lr=0.0001,steps=5,alpha=0.5","lr=0.0001,steps=5,alpha=0.75","lr=0.0001,steps=5,alpha=0.9","lr=0.0001,steps=10,alpha=0.5","lr=0.0001,steps=10,alpha=0.75","lr=0.0001,steps=10,alpha=0.9","lr=3e-05,steps=5,alpha=0.5","lr=3e-05,steps=5,alpha=0.75","lr=3e-05,steps=5,alpha=0.9","lr=3e-05,steps=10,alpha=0.5","lr=3e-05,steps=10,alpha=0.75","lr=3e-05,steps=10,alpha=0.9"
,,,,,,22940.41049182415,17530.2721850276,18552.555844306946,21727.914021134377,20027.892936110497,23513.729407787323,29052.569215774536,24043.34427452088,21359.68193078041,27936.487701892853,24750.556162834167,22250.431593060493,55931.82650947571,44454.31908893585,38369.16967582703,54015.95995616913,45585.6817150116,38545.72116088867,100548.83582305908,82041.62656593323,77527.81499862671,97675.058177948,83118.97616195679,73580.99057769775,137751.40313720703,134174.7292175293,136402.64964294434,137237.00131225586,137466.91203308103,135809.0228881836
,,,,,,4133.523890376091,3319.818684220314,3411.23017346859,4258.556585550308,3590.013751283288,3937.424142718315,7090.815134048462,5438.927571058273,4845.588780999184,6936.009044766426,5744.492043614388,4901.7172809541225,15564.233080863953,11473.460108280182,10315.687028169632,15751.736143112184,12269.19783258438,10246.369679689407,30605.12986755371,24716.93070793152,22313.39777469635,29996.732215881348,25777.06254386902,22744.199872016907,134789.23965454102,64438.4836769104,83816.80249023438,127539.37301635742,127605.87550354004,71694.4326095581
,,,,,,2800.493250966072,2272.509353324771,2473.993292205036,2865.7256381064653,2336.3923526853323,2548.7002262845635,4597.252635717392,3502.577468663454,3236.7843371629715,4597.952312707901,3925.6158044934273,3336.6312553286552,10115.440843582152,7642.541006326675,6942.631095170975,10574.725768566132,8039.514331817627,6831.194276809692,22991.165851593018,17777.977159500122,14653.73989868164,22413.329711914062,18410.47046566009,15230.90074968338,100505.07381439208,33459.35675621033,33014.39673042297,61010.86136627197,49088.93564224243,32948.27096939087
,,,,,,2084.7252627313137,1657.5948587283492,1728.991748303175,2146.516158860177,1792.6113959401846,1876.4121891073885,3533.578461825848,2776.414649069309,2545.313218176365,3603.6566474437714,2998.367304295301,2559.955812320113,7645.220280885696,5988.046657681465,5445.639345943928,8185.371198892593,6180.655139088631,5255.038143157959,18016.95626354217,13484.08991241455,10925.51631641388,17704.19981098175,13749.611209869385,11274.020065784454,41799.25333786011,28706.14504623413,27447.576190948486,35426.57752990723,30971.26114463806,27569.703735351562
,,,,,,1699.9169837906957,1342.0193182900548,1372.9327669795605,1694.13882220909,1346.301684960723,1580.3255022987723,2981.9015128463507,2149.547078192234,1987.3406943827868,2860.709956854582,2322.6920774132013,2045.9519226923585,6362.22491133213,5034.767272531986,4503.435720741749,6753.789098739624,4992.62003672123,4300.099689126015,14557.681836128237,10672.7544131279,8805.39500617981,14284.751579284668,10956.904721736908,9059.406913518906,32275.98527908325,25650.15135383606,24508.686462402344,30430.71815299988,26986.568161010742,24533.327112197876
,,,,,,1428.8952430821955,1121.574278254062,1115.8718541208657,,1089.1166186407208,1239.5287982411685,2448.0949155837297,1809.5993529632688,1602.2425908595324,2452.635247796774,2016.0481402799487,1721.6862020120025,5555.138022542,4322.967452645302,3848.2759668827057,5835.381173372269,4279.542698502541,3662.1097037792206,12349.35989522934,8956.898467540741,7485.258387804031,12028.515406131744,9090.549995660782,7678.299286842346,28955.32149887085,23192.76837062836,22140.63052368164,27721.56115531921,24427.92053604126,21949.927991867065
,,,,,,1129.503664975986,773.853698592633,822.0931533155963,,885.8846171554178,996.283724822104,2100.0689504370093,1462.6166250258684,1411.9229428097606,2092.1357826348394,1669.502595692873,1410.07556367293,4823.572021245956,3791.378513872624,3345.028528571129,5115.578636169434,3722.8148921132088,3203.130823433399,10843.971784591677,7810.275088787079,6520.019613265991,10407.427221775057,7945.063154697418,6754.038054704666,26695.364974975582,20931.1162147522,19984.292254447937,25589.62011909485,22334.566764831543,19641.365352630615
,,,,,,873.6058947183192,697.2299534757622,678.9910886036232,,786.5473281014711,851.235664036125,1829.4452897757287,1332.7391541972756,1184.313123870641,1884.266031511128,1493.0264857448635,1215.1808133386075,4303.193257272244,3363.674980849028,2965.478918612004,4544.957827031612,3290.1931874156,2779.122395277024,9544.548249959946,6898.349904537201,5852.959257125855,9136.254180908203,7025.59741806984,5987.424934625626,24978.306497573853,18928.36859512329,17976.963695526123,24013.58842086792,20363.26951599121,17532.457476615906
,,,,,,742.119859309867,565.5558426247444,646.7399698644876,,568.3185997600667,640.62945446698,1597.258138373494,1133.3419454693794,991.4725764468312,1610.9004156962037,1274.549783270806,1059.637046661228,3939.135431706906,3036.0944098234177,2681.8851046562195,4119.139189362526,2938.3972984850407,2519.974726349116,8582.63185620308,6276.722341656685,5353.914100527763,8210.592576742172,6333.9025621414185,5483.93014216423,23557.808420181274,17266.475875854492,16158.568619728088,22632.607528686523,18560.29166030884,15714.712211608887
,,,,,,582.9325174908154,476.8183457608102,539.436300720321,,461.8288695490919,527.3753754510544,1409.6550773754716,937.565424669534,813.6132720932364,1415.1349757611752,1028.5434763859955,837.7809443194419,3612.6568345725536,2737.3980089724064,2341.076516672969,3776.761655569077,2671.114683955908,2232.082725256681,7917.132900953293,5766.780242085457,4893.324638366699,7506.975279092789,5774.31812274456,5016.899844527245,22132.1647605896,15848.743341445925,14711.942927837372,21397.02616882324,16937.255460739136,14195.71561574936
