SGD,Adam,OGDA,ExtraAdam,ExtraSGD,Lookahead-SGD,Lookahead-Adam,Lookahead-OGDA,Lookahead-ExtraSGD,Lookahead-ExtraAdam
109691.95832824708,97991.65042114258,111843.72915649414,87456.67758178711,115011.51333618164,109873.31756591795,95764.84939575195,113168.57682800292,115133.73565673828,100850.98031616211
100786.79299926758,90795.23399353027,104683.46049499512,76977.17678070068,114518.82264709473,104755.87072753906,84947.10237121582,106956.6679840088,114946.28080749512,89791.97372436523
91049.920211792,84994.8861694336,100657.68948364258,72896.3662185669,113750.97891235352,99691.99559020996,79769.08633422852,104805.8356781006,114803.99897766112,83475.95227050781
84955.73248291016,81562.04795837402,96956.26347351074,69839.3847732544,112011.42324829102,93375.5205078125,76322.6330947876,102521.970413208,114929.39546203612,81416.31451416016
80676.98963165283,77827.37069702148,94546.55688476562,67845.40085601807,107033.92431640624,88219.4146118164,74182.04792785645,100261.88656616212,114992.86032104492,78050.49725341797
77707.21100616455,76180.0926361084,93104.2823486328,66357.28382873535,104672.62930297852,85080.49021911621,72036.55806732178,98293.29733276369,113940.61067199708,76428.8539276123
75098.5355758667,74989.91718292236,91664.63565063477,64564.17481994629,103612.7165222168,82185.22283935547,70315.14373016357,96550.90194702148,113108.08219909668,74858.05452728271
73301.6706237793,73599.83393859863,90424.16352844238,62733.25802612305,102834.29866027832,79823.35723876953,68982.36870574951,94818.91659545898,111896.68313598631,73248.19171905518
71576.87992095947,72645.30850982666,88738.70652770996,61691.97821807861,102308.21784973145,78534.08346557617,68222.32920074463,93681.93000793456,109930.24771118164,72646.99454498291
70184.12369537354,71774.42443084717,87560.93452453613,60479.34316253662,101739.60144042967,77151.0790939331,66921.91115570068,92792.54516601562,107562.05870056152,72159.00925445557
68684.21903991699,71029.08573150635,86293.0503692627,59107.34964752197,101142.62577819824,75663.95082855225,66337.52380371094,91839.93319702148,106107.05529785156,71416.75632476807
67314.99563598633,70236.26021575928,85268.03202819824,57986.99779510498,100834.87747192384,74271.40840911865,65350.93251800537,91018.26860046388,105386.7491760254,70602.35398101807
65753.1361618042,69357.76505279541,84085.94239807129,56611.64287567139,100173.54682922363,73366.28051757812,64601.31776428223,90307.39778137208,105035.23933410645,69776.32219696045
64827.06664276123,68734.24340057373,83516.88400268555,50640.217277526855,100273.60363769533,72093.21685791016,64356.92961883545,89660.43563842773,104228.82104492188,66247.7466506958
63397.83087158203,68316.80079650879,82401.27001953125,47979.57186126709,100013.6827697754,70859.09884643555,63360.76087188721,88505.31332397461,104019.89993286131,65797.74066925049
62327.69661712647,67683.846824646,81462.84953308105,46985.70820617676,100013.33123779295,70135.76072692871,62915.68804168701,87874.75875854492,103951.0818939209,65723.68655395508
61277.018966674805,66737.80673217773,80708.57740783691,45840.98205566406,99833.12242126463,69205.78470611572,61977.29593658447,87442.20175170898,103880.6138458252,65342.400482177734
60209.04401397705,66411.21947479248,80189.98918151855,45221.65808105469,99792.47341918944,68107.54364776611,61338.688049316406,86720.63716125488,103806.69668579102,65045.4271774292
58966.40258026123,66031.72727966309,79369.43061828613,44643.72791671753,99771.97927856444,67217.02606964111,61247.3229598999,86082.28884887695,103778.58085632324,64987.010398864746
58246.25328063965,65477.59154510498,78760.05278015137,44194.658016204834,99708.62127685548,66332.58916473389,60443.70439910889,85741.24095153809,103704.03196716309,64743.346824645996
57071.71367645264,64538.77055358887,77959.49431610107,43507.37880706787,99649.73474121094,65438.36714935303,59937.24343109131,84918.57507324219,103693.27613830566,64637.6130065918
56190.93412780762,64595.60762023926,77343.94458007812,43073.68256759644,99613.2854309082,64633.05310058594,59285.32819366455,84358.42956542969,103604.78477478027,64442.65271759033
55353.02227020264,64080.79472351074,76717.46824645996,42626.11655807495,99499.00555419922,63949.14779663086,58602.34258270264,84062.98348999023,103584.46601867676,64174.871322631836
54306.29587554932,63311.06562805176,76128.82011413574,42008.7636756897,99483.19241333008,63060.28650665283,58321.578605651855,83491.54490661621,103503.76554870604,64112.09287261963
53523.25624847412,62948.31795501709,75583.51864624023,41647.604846954346,99473.61654663086,62042.51250457764,57912.27082061768,83161.70454406738,103446.93139648438,64006.19103240967
45121.614166259766,57080.77405548096,72328.10126495361,,99325.59945678712,55919.50392150879,52300.85063934326,80293.12057495117,103415.0379486084,
43226.28397750855,55483.45673370361,71843.03527832031,,99349.56484985352,54674.11274719238,50983.76734924317,80039.04769897461,103380.6983795166,
42452.94788360596,54691.81616973877,71697.89561462402,,99358.97625732422,54242.76015472412,50659.89331817627,79833.48725891113,103375.2883605957,
41959.17336654663,54309.933013916016,71595.41939544678,,99360.99853515624,53752.88269805908,50434.7488861084,79669.15333557129,103362.4779663086,
41592.6600189209,54011.281074523926,71366.9547958374,,99355.64596557616,53753.19514465332,50315.69113922119,79623.22430419922,103362.48078918456,
41305.10665130615,53741.25412750244,71272.02086639404,,99387.9467010498,53652.16270446777,49981.31396484375,79509.90951538086,103360.60206604004,
40866.83624267578,53201.49375915527,71152.32103729248,,99389.06964111328,53148.46868896485,49948.7229385376,79394.28617858887,103327.75492858888,
40626.08100891113,53184.42392730713,71180.57358551025,,99353.82843017578,53063.25897216797,49883.37477874756,79291.61042785645,103334.68495178224,
40200.05290603638,52953.45832061768,70850.13793182373,,99359.36656188963,52871.91700744629,49478.90167236328,79122.61227416992,103319.08016967772,
39867.541400909424,52583.99429321289,70773.94682312012,,99327.44850158691,52618.61640167236,49377.85840988159,79076.52819824219,103331.2131652832,
39781.21360397339,52243.96004486084,70670.39682769775,,99340.1629638672,52529.702209472656,49247.16595458984,79071.63447570801,103314.74002075195,
39578.35145187378,52204.04471588135,70583.9222946167,,99324.60543823242,52241.96369934082,49189.43223571777,78964.55798339844,103318.4458770752,
39244.35076522827,51783.9285736084,70620.15954589844,,99304.20848083496,52097.201347351074,49173.23120880127,78960.35997009277,103290.9059906006,
38861.25680541992,51576.881172180176,70425.6421508789,,99309.54641723631,51714.51670074463,48823.921142578125,78854.60806274414,103297.9589996338,
