SGD,Adam,OGDA,ExtraAdam,ExtraSGD,Lookahead-SGD,Lookahead-Adam,Lookahead-OGDA,Lookahead-ExtraSGD,Lookahead-ExtraAdam
109301.74447631836,84006.46130371094,111507.47358703612,76338.6442565918,114957.60577392578,109475.07708740234,87704.67388916016,113863.98258972168,115054.42684936523,90021.63604736328
93074.30908203124,70568.81178283691,100877.35621643066,60918.3996963501,114607.67727661131,93426.95288085938,73394.71133422852,107412.06372070312,114946.77479553224,74327.37757873535
79926.1781463623,64184.86460113525,95394.8969116211,52680.31463623047,114090.88356018066,82059.63206481934,67370.05284118652,101445.63706970216,114839.0711364746,67606.9125289917
72970.22827911377,59640.12805938721,90021.42260742188,47062.63904571533,113011.46411132812,75896.02868652344,63112.94289398193,97744.93479919434,114715.17094421388,62560.40426635742
67805.63754272461,55512.02089691162,86148.41398620605,42481.77091217041,110060.62728881836,71257.34992218018,59167.66537475586,95056.60726928712,114563.81036376952,58616.67572784424
63520.9976272583,52165.49964904785,82902.23020935059,38617.12711715698,104947.50495910645,67454.44181060791,55958.9130859375,92487.072265625,114371.48458862305,55408.228118896484
59553.34443664551,48712.12908172608,80275.65980529785,34931.4621963501,102200.98629760742,64353.6046295166,52576.52210235596,90100.2929840088,114120.60554504396,52486.36912536621
55633.31874084473,46322.02982711792,77868.97241210938,31222.48708343506,100780.67933654784,61491.31925201416,50061.49039840698,87922.44551086426,113771.89399719238,49896.06433868408
51950.1321105957,43752.06762313843,75940.44235992432,27639.49256324768,99583.4062652588,58397.64529418945,47642.37759399414,85555.80499267578,113250.32284545898,47602.78101348877
48193.218017578125,40876.24475860596,74326.15119934082,24295.72815895081,98594.65492248537,55777.09867095947,45822.54662704468,83555.43347167969,112425.074508667,45425.17394256592
44391.568359375,38665.508644104,72798.08253479004,20693.81950378418,97769.23139953612,53287.48679351807,43969.39672088623,81831.95512390137,111028.67080688477,43254.56148529053
41029.07160949707,36067.83650970459,71186.81825256348,17399.956573486328,97062.14840698242,50724.55958557129,42177.94129943848,80607.38067626953,108794.03358459473,41275.7876701355
37428.39344406128,33838.51936340332,69863.49262237549,14274.437539100649,96313.54679870604,48381.24523162842,40672.85509109497,79310.78506469727,106035.00830078124,39442.119411468506
34074.7364692688,31262.651430130005,68776.0507736206,9784.007786750792,96448.35237121582,45837.46817398071,38951.27761077881,78057.63250732422,104641.46321105956,31578.12987136841
30443.27499580384,29487.0124912262,67121.26624298096,7814.502032279968,96374.2528076172,43382.59157180786,37345.1671333313,77010.07646942139,104427.72073364258,30584.86005783081
27260.58110618592,27314.40694999695,66440.5316772461,6874.442870140076,96306.75904846191,40860.178424835205,35865.51958847046,75996.98254394531,104230.3630065918,30026.753608703613
24220.810653686523,25126.87136650085,65060.31562805176,6152.801241874695,96234.12438964844,38268.23110961914,34614.32584762573,75129.84326934814,104043.01232910156,29576.875164031982
21361.49554824829,23876.080167770386,63918.19103240967,5547.157573223114,96165.2942199707,36055.91191864014,33077.7106552124,74260.89572143555,103867.25965881348,29148.010292053223
19009.162435531616,22057.75850486756,62880.35219573975,4992.647514104843,96092.61798095705,33524.11117553711,31852.185119628903,73407.78396606445,103700.9467010498,28812.57841873169
16681.779057502747,19993.598218917847,62029.604637146,4540.97590303421,96025.96383666992,30730.211109161377,30305.61745452881,72851.89624786377,103544.57162475586,28468.181884765625
15342.733846664429,18332.58529663086,60784.297706604,4081.8463909626007,95955.70413208008,28307.767597198486,29351.870441436768,71745.18217468262,103398.05639648438,28136.663764953613
13700.661730766296,16732.953797340393,59846.632568359375,3670.0852422714233,95875.40826416016,25682.5754070282,27851.8017578125,71075.4687576294,103257.54376220705,27795.899995803833
12561.337938785551,15886.3674659729,58880.41678619385,3298.5151269435883,95810.2900390625,23135.098337173466,26622.372806549072,70439.15173339844,103127.50355529784,27511.578483581543
11125.89260673523,15522.289752960203,58087.59967041016,2956.4090588092804,95736.22102355956,21101.434425354004,25303.934873580933,69571.34284210205,103002.58578491212,27195.494026184082
11314.97950553894,13423.768090248108,57146.32945251465,2630.613004922867,95664.69125366212,18589.0597448349,24110.87257003784,68959.9592590332,102885.49272155762,26875.381994247437
3805.801212668419,6387.085607528687,52813.60778808594,2122.955237865448,95679.56608581544,8415.982407093048,17547.575309753418,65633.14443206787,102818.72982788086,25836.963569641113
1651.8270983099935,4862.042501926422,52243.771308898926,2043.209697723389,95670.04190063477,6642.970733165741,16426.04047012329,65310.562492370605,102807.37071228027,25742.45783996582
1157.1454436779022,4277.157741546631,51961.06620788574,1993.4742521047592,95662.90757751463,5845.921497344971,16011.031337738035,65145.345138549805,102796.15678405762,25706.241537094116
917.3674041628838,3851.178272128105,51751.975730896,1955.3238971233368,95655.39247131348,5310.7953453063965,15655.963067054749,65010.78984832764,102784.80192565918,25660.047218322754
766.3224378824234,3502.9007687568665,51574.65114593506,1919.1698862314224,95647.8402557373,4883.463223218918,15385.85624408722,64866.24301147461,102773.6160736084,25628.998140335083
