SGD,Adam,OGDA,ExtraAdam,ExtraSGD,Lookahead-SGD,Lookahead-Adam,Lookahead-OGDA,Lookahead-ExtraSGD,Lookahead-ExtraAdam
113448.81228637695,93646.71197509766,131757.54484558103,88427.65230560303,137960.68301391602,118920.86952209473,97043.00263214111,135124.81190490723,137779.52615356445,101687.85497283936
88750.3501586914,77122.67251586914,114549.49822998048,73393.8564453125,136552.6671142578,100604.83433532716,79526.03868103027,128023.20826721191,136494.208694458,86680.75553131104
82528.53450012207,72049.24826812744,105748.61518859863,67549.4351196289,133885.93392944336,91058.00134277344,73357.47975921631,116310.48504638672,135686.99258422852,81329.3494796753
72650.13105773926,68321.61948394775,101286.4305419922,62922.9002532959,134843.7347869873,85258.97199249268,69992.95224761963,109218.42414855956,133190.5825805664,77477.64832305908
71672.87509918213,65343.84467315674,98555.2664642334,58960.12522125244,133915.97145080566,80531.29730987549,66204.87664794922,105067.494140625,133484.5025024414,74280.58030700684
74140.99612426758,62701.50659179688,95552.54985046388,56065.87841796875,132664.51834106445,76766.44654846191,64002.16905212402,102469.1473388672,134301.24911499023,71677.08753204346
77709.8748550415,60095.79881286621,93363.57023620604,53868.99871826172,128900.08921813963,73133.76039886475,61908.25986480713,101198.5167388916,133419.4878540039,69785.99781799316
70718.10702514648,57967.19814300537,91747.19061279295,51353.67473983765,126674.22709655762,70673.73574066162,60010.24948883057,99342.41445922852,132224.63793945312,68357.89129638672
75048.80993652344,55510.144386291504,89915.00796508789,49596.82790374756,124779.6743774414,67514.22354888916,58638.48611450195,97689.89596557616,130501.74139404295,67430.68141174316
69127.17614746094,54014.65888214111,88454.977394104,47898.62752914429,122109.14338684082,67890.24437713623,57020.79161071777,97038.91654968262,129892.66163635254,67357.08647918701
73115.61905670166,52006.06131362915,87014.76036071777,46737.21606826782,119815.12854003906,65492.87747192383,55417.509521484375,95123.27571105956,129570.58152770996,66102.74169921875
69883.6005859375,51359.28203582764,85519.97778320312,45431.13683319092,117548.98776245116,62275.02380371094,53972.306396484375,94216.67028808594,128483.1015625,64516.11679840088
