"(0.003, 0, 0) C-1","(0.003, 0, 0) C-2","(0.003, 0, 0) C-3","(0.003, 0, 0) C-4","(0.003, 0, 0) C-5","(0.003, 0, 0) C-6","(0.003, 0, 0) C-7","(0.003, 0, 0) C-8","(0.003, 0, 0) C-9","(0.003, 0, 0) C-10"
103396.0884399414,103826.0998840332,103259.99299621582,104230.23851013184,102949.77000427246,103041.784866333,104590.41758728027,102967.09126281738,103257.31996154784,103717.90444946289
92450.04890441896,93655.6658782959,93017.8985748291,92613.67922973631,92989.05017089844,93523.51811218262,94508.5765838623,93022.74462890624,93007.97052001952,92667.5378112793
89818.22177124023,89604.89317321777,89709.24046325684,89473.24794006348,90215.78147888184,90428.248336792,90320.81044006348,90006.21954345703,89700.59413146973,89696.65699768066
87562.62083435059,87611.32286071777,87075.6830444336,88217.24708557129,87348.86798095703,87454.97064208984,88188.74772644043,87983.79844665527,88124.3712310791,87649.40574645996
85727.75592041016,85580.2880859375,85971.23249816895,86350.56199645996,85668.4338684082,85615.16687011719,85872.07345581055,85463.24632263184,85681.78617858887,85655.25416564941
84651.93438720703,84843.86054992676,84353.08819580078,84517.21618652344,84246.38510131836,84572.57363891602,84060.17918395996,84900.36233520508,84796.80584716797,84346.12678527832
84535.88957214355,83276.9186706543,83054.2918548584,83277.98793029785,82776.38229370117,83585.78465270996,83326.49562072754,83747.65986633301,83525.59455871582,83611.85171508789
82334.36108398438,82024.3680267334,82026.10729980469,81960.57803344727,83550.6888885498,81920.12615966797,81942.70294189453,82135.4204864502,82089.75312805176,82158.06242370605
81117.3934173584,81172.89614868164,81308.35223388672,81284.46208190918,82595.53684997559,81272.72093200684,81101.33163452148,81389.76165771484,81220.25366210938,81100.89186096191
80568.28559875488,80080.1590423584,80600.13053894043,80134.04643249512,81079.39698791504,80329.1037902832,80208.5570526123,80290.77716064453,80230.28610229492,80101.94802856445
79711.83407592773,79378.68849182129,79627.45370483398,79576.50685119629,80060.5933227539,79359.90733337402,79248.20600891113,79078.13954162598,79581.91261291504,79383.22743225098
78757.80039978027,78285.02090454102,78763.53021240234,78693.79934692383,78714.35679626465,78751.77491760254,78268.21578979492,78553.24055480957,78593.65794372559,78849.73867797852
77941.18292236328,77666.1060333252,77904.97633361816,77858.52143859863,77916.24806213379,77983.54875183105,77526.9409790039,77641.70504760742,77681.27325439453,77979.92277526855
77002.75567626953,76492.32945251465,77196.01657104492,76950.31814575195,77559.23916625977,76873.96310424805,76829.49069213867,76742.58087158203,77692.79333496094,77043.77127075195
75913.89921569824,75985.67547607422,76495.09051513672,76361.67127990723,76464.34327697754,76126.92868041992,76038.20150756836,76132.76982116699,76181.5118560791,76048.27404785156
75230.63562011719,74866.84177398682,75824.77359008789,75672.81047058105,75833.10148620605,75391.63804626465,75289.6503829956,75258.05404663086,75351.70625305176,75615.66111755371
74736.43753814697,74485.8549194336,75371.93994903564,74832.32490539551,75003.73822784424,74704.30221557617,74724.59532165527,74391.11599731445,74480.39625549316,74672.40087890625
74040.13103485107,73453.12827301025,74597.88774871826,73869.46891021729,74265.9584274292,74125.87109375,73907.63836669922,73612.84210968018,73677.63452148438,74138.84767150879
73229.7093963623,72400.20788574219,73577.7427368164,73397.26000976562,73300.54662322998,73265.42081451416,73398.11711883545,72514.87803649902,72820.48086547852,73136.14123535156
72443.36929321289,71746.48641204834,72801.60068511963,72360.58016967773,72748.06301879883,72478.99713134766,72581.5074005127,71997.67929840088,72131.77448272705,72518.92207336426
71546.78488922119,71123.67343139648,72107.40846252441,71634.54723358154,71972.21452331543,71894.52773284912,71600.60852050781,71194.66547393799,71703.31172943115,71616.884765625
71115.0876083374,70288.97318267822,71505.33425140381,70705.55962371826,71310.76916503906,71191.18711853027,71275.35188293457,70349.4529953003,70501.05844116211,70750.97471618652
70048.56350708008,69076.98110961914,71090.20860290527,69881.44108581543,70265.07665252686,70200.43811035156,70390.80577087402,69469.12171173096,69896.95819091797,69500.95135498047
69177.83570861816,68203.74195861816,69873.44332885742,68975.10444641113,69513.20868682861,69286.06970214844,69717.11738586426,68935.21333312988,68616.77947998047,68982.42515563965
68507.3441619873,67178.73162078857,69096.5647354126,68266.98238372803,68224.32928466797,68315.21747589111,69002.00114440918,67705.26828765869,67722.1213684082,68096.41117095947
