"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
98220.75517272948,98343.1096343994,97849.08753967284,98350.78129577637,98279.7575531006,97852.4782562256,98017.6646270752,97859.8139038086,98119.29536437988,97621.74655151367
89393.27076721191,89527.11712646484,89159.91409301758,89827.86421203613,89516.54379272461,89661.0034790039,89430.15419006348,89808.52415466309,89386.53791809082,89433.08158874512
86381.61950683594,86217.9740447998,85784.00802612305,86192.84593200684,86143.74200439453,86294.16038513184,86139.20880126953,86054.6264038086,86183.89654541016,86169.51103210449
83824.72079467773,83709.96656799316,83882.21435546875,84110.27047729492,83883.10374450684,83782.02920532227,83791.57470703125,84237.92056274414,84038.48347473145,83890.13014221191
82175.4373626709,82315.42584228516,82024.25271606445,82333.38952636719,82226.0043334961,82356.55773925781,81944.70037841797,82090.56063842773,81935.07429504395,82036.16401672363
80462.74600219727,80648.33921813965,80491.96485900879,80742.9526977539,80780.41290283203,80606.69847106934,80438.00971984863,80556.45547485352,80574.40441894531,80238.61520385742
79253.60087585449,79536.55065917969,79252.13513183594,79386.48037719727,79316.73663330078,79606.5845489502,78907.92683410645,79395.7640991211,79163.53477478027,79095.54035949707
77907.89218139648,78208.75575256348,77715.56660461426,78568.90800476074,77805.7141418457,77797.75651550293,77627.95610046387,78122.59507751465,78199.78057861328,77825.9976196289
76639.45829772949,77048.11071777344,76685.40116882324,76986.86209106445,76889.55168151855,76788.26867675781,76589.73889160156,76853.93098449707,76434.8656616211,76989.66468811035
75905.29850769043,75897.0114440918,75491.42015075684,75813.61389160156,75642.07234191895,75865.02735900879,75154.31750488281,75399.34854125977,75719.11262512207,75895.42295837402
74472.2685546875,74855.67631530762,74175.47605895996,74598.33714294434,74495.75727844238,74717.67813873291,74143.40855407715,74186.89715576172,74516.13861083984,74393.27309417725
73282.65790557861,73936.03511047363,73206.20630645752,73620.5610961914,73510.85894012451,73415.34769439697,73282.28129577637,73346.7767944336,73422.1517868042,73386.04002380371
72513.08738708496,72668.4868850708,72264.97183227539,72466.06783294678,72267.92678070068,72400.58609008789,72293.12310791016,72159.7236251831,72248.07173156738,72128.7017211914
71589.6044845581,71781.88700866699,71491.65072631836,71274.4430770874,71237.75141906738,71153.53611755371,71058.22760772705,71203.58599853516,71110.52220916748,71048.8211517334
70192.09191894531,70495.66261291504,70234.65410614014,70308.09520721436,70413.76145935059,70076.2440109253,70023.49255371094,70064.75228881836,70411.71998596191,70323.30084991455
69119.87130737305,69581.02510070801,69359.22292327881,69495.78140258789,69047.72679901123,69092.58271789551,69159.60083770752,68891.21988677979,69343.72243499756,68937.24821472168
68742.71881866455,68292.80093383789,67987.89015960693,68488.96556091309,68258.16635131836,67903.16899108887,68473.17819976807,68203.2583694458,68283.01150512695,68328.1365737915
67369.9368057251,67518.81578063965,67348.54795837402,67683.70182800293,67322.93991851807,67521.35511016846,66949.17435455322,67059.66320037842,67031.85553741455,67111.40337371826
66528.97476959229,66952.88366699219,66340.95391082764,66776.8703994751,66316.7947921753,66652.5372467041,66242.54355621338,66239.41287994385,66546.61767578125,66206.4751739502
65739.54947662354,65961.25508880615,65526.01242828369,65758.49617004395,65498.19729614258,65277.58895874024,65266.00456237793,65158.321952819824,65543.22333526611,65646.37558746338
64685.708984375,64974.8067779541,64253.618324279785,64791.065658569336,64525.906730651855,64508.43660736084,64390.19370269776,64155.1965713501,64724.1955871582,64588.427589416504
63600.35887145996,63935.74449920654,63752.03752136231,63645.45627593994,63774.90450286865,63244.17417144776,63624.28303527832,63140.67858886719,63567.59338378906,63369.46504211426
62838.04363250733,62759.67952728272,62351.08046722412,62627.12560272217,62844.29481506348,62407.38324737549,62289.60385131836,62270.33139038086,62446.33433532715,62414.40370178223
61876.07402801514,61931.216957092285,61634.97547149658,61541.63289642334,61428.14255523682,61245.92822265625,61672.09741973877,61137.8620300293,61749.29909515381,61404.42272949219
60686.25465393066,60836.55951690674,60308.094078063965,60785.15172576904,60720.55640411377,60183.33069610596,60155.680908203125,60431.38687133789,60743.65503692627,60072.256843566895
