"(3e-05, 0, 0) C-1","(3e-05, 0, 0) C-2","(3e-05, 0, 0) C-3","(3e-05, 0, 0) C-4","(3e-05, 0, 0) C-5","(3e-05, 0, 0) C-6","(3e-05, 0, 0) C-7","(3e-05, 0, 0) C-8","(3e-05, 0, 0) C-9","(3e-05, 0, 0) C-10"
102982.91940307616,101645.53747558594,101205.7265625,101455.1307220459,101392.03262329102,101850.0379333496,103912.4687652588,101844.28678894044,99270.53471374512,102629.27931213379
88914.7850189209,88449.09585571289,87862.56686401367,89051.81149291992,88706.79829406738,89306.93688964844,91433.21098327637,87207.01690673828,84860.0892944336,88703.32568359375
85982.30451965332,85657.58825683594,85783.5823059082,87378.1701965332,86882.3677520752,87749.57989501953,89159.21963500977,85329.16174316406,81614.46347045898,86017.2354888916
81876.16163635254,81298.09358215332,80507.78210449219,84592.20037841797,83876.70820617676,85717.70655822754,86923.17758178711,81233.59915161133,76182.6822052002,82472.91371154785
76092.02865600586,74925.80437469482,74515.03639221191,80207.17671203613,79825.80798339844,81637.35473632812,83351.33894348145,75972.27087402344,70017.69483184814,77557.60026550293
70035.49683380127,68362.3498916626,66837.77156066895,75175.03388977051,74678.6064529419,77602.26150512695,79569.73338317871,69710.81624603271,63337.61435699463,71183.1304397583
63819.77430725098,62828.40475463867,59535.999435424805,69380.89637756348,67852.75341033936,72768.70610046387,75241.33576202393,63965.39900970459,57063.852951049805,64901.44638824463
57598.752586364746,56145.54996490479,51981.31352233887,62841.33187866211,59631.44703674317,67602.78276062012,70602.29033660889,58722.22627258301,50604.06749725342,58142.32327270508
51803.5065536499,51627.79623413086,47423.57389068604,55036.31790924072,55991.961418151855,61326.23197937012,66013.09985351562,53500.642097473145,45603.576332092285,52929.31311035156
44677.04312133789,44495.574645996094,41917.217082977295,49503.18125152588,51441.24044799805,54951.50104522705,60361.523094177246,47248.73942947388,42445.59023666382,47588.3401260376
39570.82711791992,39032.91711044312,37373.04997253418,43114.15166091919,45783.49695587158,49408.13186645508,53629.06229400635,42128.975605010986,38489.840644836426,41799.517265319824
36610.62698364258,36090.788051605225,36828.756492614746,39327.215255737305,41336.39744567871,46796.58109283447,46521.72626113892,39621.96685409546,35112.4440574646,39065.857009887695
35515.142333984375,34504.635440826416,36064.58130264282,36132.10424423218,39103.371810913086,41518.63846206665,42740.46123504639,37078.88491821289,33322.684982299805,37388.961349487305
32516.52206802368,34077.877796173096,33683.57092666626,37158.85683441162,35477.316833496094,37627.00924682617,39929.1448135376,33535.24102020264,31865.38171005249,35131.19847869873
34445.159397125244,35175.30866241455,32815.98626327515,33696.51904678345,33555.101570129395,36159.25417327881,37988.33444595337,34262.8130531311,32292.241359710693,31273.612865447998
35049.04258728027,33858.836544036865,33854.582416534424,30627.827449798584,32377.05176925659,33167.38151550293,34625.03674316406,33663.211906433105,31708.39730072021,30310.431453704834
32398.57611465454,33467.085876464844,33466.16865158081,30444.090869903564,31518.93893814087,29724.82625961304,32580.26355743408,34076.90084075928,31703.37607192993,29633.517349243164
30034.14974975586,33554.21666717529,32813.50207519531,29976.03382873535,32902.85570144653,28782.298740386963,32838.829093933105,32401.51797485352,32221.61952972412,30124.432655334473
29219.478706359863,31888.953117370605,31656.45895767212,28570.58462524414,33874.36671066284,30044.464721679688,31146.859912872314,31712.658517837524,29185.128841400143,31135.655334472656
27996.57670211792,30243.486331939697,27871.8610458374,28993.6534576416,33055.62638473511,30433.377113342285,29076.48141860962,32124.567443847656,28801.05869293213,28621.54941177368
27467.967477798466,29430.216316223145,25483.985710144043,29773.21794509888,30965.305545806885,31429.631423950195,26385.66761779785,30746.707927703857,27092.574169158936,28270.92364501953
28234.297187805176,28960.445602416992,25710.56331062317,29597.839309692383,30846.77461624145,30156.707538604736,27242.331993103027,29036.14573287964,28708.88787651062,26296.03169822693
28349.77871322632,30614.685428619385,27101.54858970642,30033.99687576294,30948.721572875977,28931.27942276001,26679.413846969604,30177.73627090454,29308.14977645874,26713.452394485474
26720.894844055176,32319.73249053955,26716.9695892334,29177.136657714844,29670.177465438843,27985.36275672913,25859.9305267334,29098.88112831116,28646.184452056885,24725.300647735596
26758.773279190063,28197.07149124145,26028.240442276,27664.13022232056,31067.67890548706,28052.01108932495,26546.28085708618,27771.082489013672,29382.56010437012,24687.9319190979
