"(0.003, 10, 0.5) C-1","(0.003, 10, 0.5) C-2","(0.003, 10, 0.5) C-3","(0.003, 10, 0.5) C-4","(0.003, 10, 0.5) C-5","(0.003, 10, 0.5) C-6","(0.003, 10, 0.5) C-7","(0.003, 10, 0.5) C-8","(0.003, 10, 0.5) C-9","(0.003, 10, 0.5) C-10"
100062.09664916992,99556.18487548828,99957.57899475098,100114.83354187012,99997.01538085938,100208.31986999512,99776.2606048584,100216.5867767334,100186.1172027588,99716.30364990234
90919.64309692384,90788.71292114258,91057.9057006836,91114.8713684082,90885.0796661377,90896.50192260742,91222.50036621094,90543.19216918944,90808.7742614746,90931.03146362305
87872.11294555664,87987.96279907227,87955.49348449707,87659.3023071289,88061.72091674805,88165.37190246582,88439.55104064941,87650.18225097656,87790.84970092773,87912.1086730957
85778.08294677734,85984.50622558594,86000.40185546875,85785.5157623291,86037.65034484863,85816.01953125,86090.06930541992,85662.98526000977,85705.90762329102,85641.13259887695
84098.92315673828,84137.18115234375,84257.24865722656,84241.39343261719,84387.3154296875,83985.19641113281,84344.33502197266,83899.07719421387,83967.96311950684,84322.95434570312
83072.7756652832,82803.18894958496,82960.82432556152,82905.33688354492,82861.91835021973,82812.76013183594,83027.07458496094,82643.82116699219,82667.07499694824,83080.82411193848
82006.34669494629,81906.01028442383,81596.58293151855,81834.27719116211,82019.09214782715,81509.28713989258,81935.45768737793,81817.74169921875,81516.35598754883,82023.16891479492
80629.29676818848,80841.58215332031,80692.4038696289,80936.64093017578,80699.39660644531,80943.19758605957,80804.8657836914,80712.30795288086,80430.60116577148,80886.88917541504
79628.71272277832,79484.65466308594,79845.79281616211,79794.57215881348,79940.06497192383,79715.74877929688,79981.36862182617,79893.7261352539,79513.06669616699,79584.17399597168
78715.2314453125,78695.5111694336,78767.97950744629,78864.08056640625,78912.87110900879,78666.06694030762,78734.98072814941,78520.54783630371,78575.65242004395,78945.85676574707
77442.47813415527,77807.48483276367,78036.71084594727,77496.24383544922,77933.2621459961,77769.57893371582,77775.41859436035,77787.05097961426,77523.6417388916,77916.95088195801
76949.62341308594,77123.6195678711,76955.5445098877,76875.32389831543,77018.1764831543,76816.77592468262,77090.36051940918,76848.33697509766,76558.94596862793,77330.93830871582
75701.29493713379,76023.17565917969,75980.34194946289,75823.26209259033,76476.32723999023,75879.69096374512,75773.6107635498,76255.79797363281,75876.7552947998,76469.66941833496
75108.74237060547,75220.31809234619,75348.01901245117,75087.19121551514,75302.06703186035,75300.59098815918,75257.29772949219,75317.0584564209,75131.13430786133,75373.20896148682
74134.14630126953,74255.41775512695,74382.56344604492,74053.60642242432,74672.91027069092,74415.41201782227,74606.6912765503,74489.36660766602,74024.59242248535,74469.8042602539
73117.63105773926,73765.75369262695,73289.85823822021,73453.96786499023,73686.40837860107,73567.83855438232,73428.44348144531,73613.48385620117,73172.4096069336,73880.05101013184
72771.99544525146,72837.2986907959,72707.15338134766,72917.95812988281,72998.2725982666,72670.78189086914,72826.4501953125,72824.42092132568,72516.24415588379,72955.29806518555
71975.97378540039,71945.2846069336,71937.20935058594,71872.68217468262,72202.50107574463,72048.6019744873,72033.17506408691,71980.001953125,71857.50797271729,72239.8971786499
70721.92126464844,71244.24282836914,70831.3309173584,71178.79330444336,71452.83191680908,71179.81010437012,71077.24363708496,71175.82657623291,71246.287109375,71423.60681915283
70149.45149230957,70159.40185546875,70410.5608215332,70495.51240539551,70474.95022583008,70365.13661956787,70270.48571014404,70290.16247558594,70120.67300415039,70576.02799987793
69354.22277069092,69669.68618774414,69437.7391281128,69368.49016571045,69708.55410003662,69456.50157928467,69474.53872680664,69589.95478057861,69627.39401245117,69680.40985107422
69047.39324951172,68552.44995117188,68471.96354675293,68705.21900177002,68855.18337249756,68865.99662017822,68746.81393432617,68767.95523071289,68924.34985351562,68880.88116455078
67781.77589416504,67856.46161651611,67736.9990310669,68029.41998291016,67700.55715942383,68088.08892822266,68063.53520202637,68075.96042633057,67517.62577056885,68141.87031555176
66861.0466003418,66877.66718292236,66636.32953643799,67043.20154571533,67082.39395141602,67292.01751708984,67164.84408569336,67615.9330444336,66823.21113586426,67522.6008605957
65871.04165649414,66260.38961029053,66070.40385437012,66495.8646850586,66405.94289398193,66336.51460266113,66118.72065734863,66474.67330169678,66032.11323547363,66365.73526000977
