"(0.0001, 5, 0.9) C-1","(0.0001, 5, 0.9) C-2","(0.0001, 5, 0.9) C-3","(0.0001, 5, 0.9) C-4","(0.0001, 5, 0.9) C-5","(0.0001, 5, 0.9) C-6","(0.0001, 5, 0.9) C-7","(0.0001, 5, 0.9) C-8","(0.0001, 5, 0.9) C-9"
117064.48168945312,118611.61813354492,118049.7798614502,117843.39877319336,117270.72416687012,116360.08610534668,116949.7582397461,118055.29388427734,121457.0347290039
87723.05770874023,87828.42385864258,87904.71257019043,87070.51005554199,88562.24731445312,88441.77684020996,87479.73318481445,89378.83796691895,89195.8907623291
81509.44845581055,81923.18482208252,81804.93496704102,81154.76678466797,81984.85511779785,83170.30253601074,83580.78406524658,83024.8018951416,84196.34358215332
77218.14478302002,77210.02439880371,77837.76260375977,76702.29414367676,77594.92198944092,80276.13821411133,78689.25975036621,80643.42979431152,78352.83692932129
73611.25998687744,73214.6771697998,74010.0647354126,73052.40770721436,76474.35039520264,74370.54951477051,74774.9450378418,75789.22023010254,74159.9878692627
70116.41736602783,70359.09300994873,71793.27861022949,70236.33835601807,73566.61108398438,72122.67115783691,73637.52158355713,73352.08113861084,70426.57978057861
67111.93942260742,68085.68788909912,69193.33491516113,67157.926902771,71011.03709411621,70166.43723297119,70673.37760162354,69981.10707092285,67057.94076538086
64172.79180145264,64838.763580322266,67437.48252868652,65153.74758148193,65504.29698181152,67334.56773376465,67435.83069610596,67607.33772277832,64996.104804992676
62036.37316131592,62175.94454193115,66497.94494628906,62478.70893859863,64634.923652648926,65183.77629089356,66104.29948425293,66012.07409667969,61955.24289703369
60492.72702789307,59263.93392944336,62335.15971374512,60616.130767822266,60605.423416137695,63924.72261810303,63571.040199279785,63722.90950012207,59544.54072570801
57920.84118652344,56510.90769195557,61147.17670440674,58655.36404418945,58415.52640533447,61372.624282836914,61217.92842102051,61479.777671813965,56127.70796966553
55868.14067077637,55611.13139343262,58476.444900512695,56189.20431518555,57039.581047058105,58848.89279174805,59349.73279571533,60129.77061462402,54646.4048538208
53853.00270843506,51168.12227630615,57575.18264770508,54418.64301300049,55807.83322143555,56611.27523803711,57747.67729187012,56885.0516204834,52212.02997589111
51225.44705200195,48406.47054672241,55532.50382232666,52913.90370941162,53411.06927490234,55068.93595123291,54345.44178009033,55132.65167999268,50722.12759399414
50311.69481658936,46163.99738311768,52615.33862304688,51383.932388305664,50428.41335296631,53930.10841369629,52951.001037597656,52424.21736907959,45972.024993896484
48968.257957458496,45037.26268768311,52118.37574005127,49131.35972595215,48873.06091690064,53534.01219177246,49390.83595275879,49852.26123046875,43282.79401397705
47271.565395355225,41185.51433944702,49429.32460021973,46954.93232345581,47392.38569641113,49203.66870117188,47993.32891082764,47231.15504837036,40504.56086730957
45834.61543655396,40292.33728027344,48138.733070373535,43140.41250228882,45552.44050216675,47255.31643295288,45860.96723556519,47506.88914108277,39891.53414154053
44768.19060516357,38006.09674835205,45865.6354675293,44448.47662353516,44633.817752838135,46653.267391204834,45037.18087768555,42503.84182357788,37707.00819015503
42963.38609313965,34928.35641860962,44608.6159324646,43044.28687286377,42437.51929092407,44053.58515167236,42539.72986984253,40802.31639480591,35144.44887161255
42384.33325958252,34362.793087005615,43041.40602111816,40715.47482299805,40582.24507904053,42505.132568359375,40613.32780456543,39354.123500823975,33362.49448013306
40246.2353553772,32128.69976043701,42219.797565460205,38379.31050872803,39750.97365951538,41007.336948394775,40480.66109085083,39321.60649871826,33513.24208831787
39756.34795761109,31787.14289474488,38110.26930236816,36698.64813995361,38467.44631195068,37438.26543426514,38477.95475387573,37831.28010559082,30886.734409332275
37975.38443756104,29660.14693450928,37920.53273010254,36071.384216308594,37988.7890625,37864.928703308105,39916.60543060303,35953.4582901001,29916.906147003174
37181.78880691528,28240.64598464966,35456.09043884277,34911.665477752686,35712.90280532837,37230.32179260254,37660.260845184326,36955.124950408936,29039.858953475952
36357.88418960571,27260.1812324524,34022.38918685913,34412.256816864014,35532.86428833008,35689.094314575195,35536.00471115112,35159.87509536743,28666.24310684204
34920.91472244263,25941.15584373474,33516.844272613525,32753.79428863525,32843.40831756592,34374.86329650879,36061.54251861572,33476.591022491455,27790.559383392334
34490.568965911865,25930.737880706787,32485.39687728882,31206.13646888733,33093.00036430359,33662.49439620972,36180.18481063843,32654.446449279785,27065.957456588745
32645.270195007324,26641.33695411682,31786.38550567627,30028.31320381165,32338.58341026306,32391.409645080566,32798.19102859497,32014.31735229492,26786.13675880432
31070.11708450317,24089.713777542114,31029.172035217285,29531.78584861756,30807.35832023621,31096.69231033325,31785.78443145752,33184.51859283447,26740.864637374878
30151.03359985352,22793.13797569275,31405.450721740723,29208.84380340576,30916.107418060303,30893.66844367981,31512.68239212036,30514.561031341556,24995.523218154907
27842.91505050659,22633.87777900696,28537.263942718502,29338.51244163513,29208.340045928955,30570.30662536621,30032.110027313232,30221.961656570435,24353.60072517395
27851.0881023407,21858.93355178833,27462.82615280152,29160.556295394897,29088.58637428284,29399.389793396,29832.97430419922,27814.04001617432,27157.97947692871
26985.902015686035,22044.474250793457,26405.4955368042,28536.57057189941,27312.494464874268,29213.824419021606,29643.47823905945,26796.931568145752,23597.83533668518
26331.250106811523,21053.16866874695,26646.832942962646,28796.63057899475,28833.824321746823,29284.92323493957,30120.760221481323,27253.907985687256,22437.49307155609
26988.272396087646,20945.33342838288,25243.974990844727,27638.779977798466,27036.44099998474,28616.80454826355,28660.97312355041,29932.89175224304,23908.292530059814
25646.333959579468,20557.4033985138,24984.67624855041,27886.9024105072,26303.599966049194,28182.74724197388,28316.13372039795,27791.66414642334,25560.44434738159
23730.688543319706,20141.085832595825,23988.353828430176,26424.95128631592,25999.069957733154,27724.856273651123,27412.07459640503,25657.49842262268,25433.993314743042
24029.22885894776,22139.82523727417,24217.45335960388,24959.267107009888,25466.4546585083,25897.42823600769,27783.357606887817,27417.944608688354,26476.938344955444
23887.796508789062,19461.34419822693,23864.92734527588,24473.892446517944,26380.278059005737,25440.977807998657,26174.76103591919,25099.19540977478,24326.130694389343
24955.34044837952,20093.58030605316,24489.3247756958,23863.92721939087,26377.91766166687,24460.133003234863,26892.302431106567,25627.144538879395,21536.318145751953
22502.70822906494,19537.677260398865,23906.866220474243,24203.37240409851,25815.4478225708,25617.499086380005,26646.781589508057,25514.828874588013,23322.771993637085
22296.10628414154,18928.58411026001,23048.299743652344,24807.199420928955,24307.65513420105,25990.46757507324,27393.449335098267,25320.3671169281,23270.174100875854
21781.627883911133,19478.13138771057,23865.88281059265,22780.704725265503,24473.1422958374,24941.10120010376,26164.19537353516,25182.02885246277,23295.233295440674
22299.93086624145,18446.236567497253,22604.67809867859,22071.0098733902,23799.01402664185,24107.243898391724,26481.45021057129,25066.928970336918,21270.87441253662
21120.153842926025,19824.26595211029,22688.96124649048,22617.326179504395,23170.762042999268,23143.409286499023,26604.16444969177,24259.005542755127,20659.52556037903
21413.556159973145,18453.703550338745,22705.252747535706,20781.37887954712,22423.39318275452,23138.37826919556,26199.07964706421,25484.86728286743,21097.89242362976
20459.00059890747,17721.571133613586,23061.46424293518,21300.95911884308,22369.307889938354,22525.14181041717,26562.646194458008,24328.24249649048,19732.89254283905
20241.00390434265,18274.91066741944,23669.5975856781,20748.895526885983,20614.78236484528,22494.502267837524,26948.127634048466,22574.789796829224,21355.175238609314
19165.84372806549,16912.579027175903,24718.804864883423,21225.879051208496,21109.917254447937,23485.99354743957,25242.9906539917,24950.633445739742,19988.029255867004
